x,y,time
280,434,1727460530.628562
278,434,1727460530.63572
276,435,1727460530.6495948
276,434,1727460530.6660988
276,433,1727460530.6789389
276,431,1727460530.681449
277,429,1727460530.683661
277,427,1727460530.688164
278,424,1727460530.692748
278,421,1727460530.696191
279,416,1727460530.700368
280,411,1727460530.703637
280,405,1727460530.71094
282,393,1727460530.7181041
284,378,1727460530.7266529
285,370,1727460530.728854
287,362,1727460530.733504
289,355,1727460530.737928
291,348,1727460530.743983
293,340,1727460530.7454789
294,332,1727460530.750129
297,325,1727460530.7541099
298,318,1727460530.7601862
300,311,1727460530.762707
302,305,1727460530.766931
304,298,1727460530.7707908
306,291,1727460530.777863
308,284,1727460530.7794418
310,278,1727460530.7836301
313,271,1727460530.7886012
316,264,1727460530.793448
318,257,1727460530.795996
320,250,1727460530.8007638
322,242,1727460530.8045912
324,235,1727460530.812053
325,228,1727460530.813174
328,221,1727460530.8174322
330,213,1727460530.8211572
332,205,1727460530.828552
335,196,1727460530.830327
338,189,1727460530.833798
341,182,1727460530.8374588
343,175,1727460530.8459342
346,167,1727460530.846539
348,161,1727460530.850435
350,154,1727460530.854539
353,149,1727460530.8625762
355,144,1727460530.863196
359,140,1727460530.8675652
361,136,1727460530.870786
363,133,1727460530.878944
365,130,1727460530.8798919
366,128,1727460530.8844092
368,126,1727460530.8875022
369,125,1727460530.8966851
371,124,1727460530.897599
373,123,1727460530.9008908
374,122,1727460530.903894
376,122,1727460530.9125938
378,122,1727460530.914465
379,122,1727460530.917587
381,122,1727460530.9210858
382,123,1727460530.9286542
385,125,1727460530.9341068
387,126,1727460530.93929
387,129,1727460530.945573
389,132,1727460530.947124
390,135,1727460530.9515269
391,138,1727460530.956068
393,142,1727460530.963348
394,146,1727460530.9637592
396,152,1727460530.9701152
397,157,1727460530.9705238
399,164,1727460530.979722
400,169,1727460530.9805288
402,175,1727460530.984288
403,181,1727460530.9875572
405,188,1727460530.9963672
406,195,1727460530.9975119
407,202,1727460531.00109
410,215,1727460531.01315
411,222,1727460531.013813
412,229,1727460531.017452
414,236,1727460531.020849
416,244,1727460531.0274692
417,251,1727460531.029685
419,258,1727460531.034156
421,265,1727460531.037993
423,273,1727460531.043909
425,280,1727460531.046091
427,288,1727460531.0508978
428,294,1727460531.0551832
430,301,1727460531.05967
432,308,1727460531.063005
433,314,1727460531.066545
434,321,1727460531.070969
437,328,1727460531.0762932
438,333,1727460531.079377
440,339,1727460531.084085
442,344,1727460531.087716
444,350,1727460531.092593
446,355,1727460531.0962071
448,360,1727460531.100587
449,365,1727460531.104911
450,369,1727460531.1095848
452,373,1727460531.113248
453,377,1727460531.117339
453,380,1727460531.120679
455,384,1727460531.126648
456,387,1727460531.1308649
457,390,1727460531.133905
457,392,1727460531.1377761
459,394,1727460531.142619
459,395,1727460531.146868
460,398,1727460531.1510131
461,398,1727460531.154143
461,399,1727460531.159468
461,401,1727460531.1635149
461,402,1727460531.1758232
285,310,1727460531.5164568
286,310,1727460531.52288
287,310,1727460531.529315
289,311,1727460531.5306969
290,311,1727460531.534304
291,311,1727460531.5380359
294,312,1727460531.542721
295,312,1727460531.546855
297,312,1727460531.550909
299,312,1727460531.5542452
301,312,1727460531.561766
303,312,1727460531.5629492
308,311,1727460531.571123
311,310,1727460531.5779068
314,310,1727460531.579777
317,309,1727460531.585153
320,308,1727460531.588744
323,308,1727460531.592675
325,307,1727460531.596185
328,307,1727460531.600366
330,307,1727460531.604347
333,306,1727460531.609801
336,305,1727460531.614251
339,305,1727460531.617472
341,305,1727460531.6204832
344,305,1727460531.626136
346,305,1727460531.630143
349,304,1727460531.633513
352,304,1727460531.6400268
355,304,1727460531.643025
357,304,1727460531.645628
360,304,1727460531.652359
363,304,1727460531.655253
366,304,1727460531.659275
368,304,1727460531.6633759
371,304,1727460531.668044
373,303,1727460531.672362
377,303,1727460531.676167
380,303,1727460531.679939
382,302,1727460531.684219
385,302,1727460531.687746
388,302,1727460531.695265
390,301,1727460531.6961641
392,301,1727460531.700568
400,299,1727460531.713151
403,299,1727460531.716917
405,299,1727460531.722355
408,298,1727460531.7288792
410,298,1727460531.730036
412,298,1727460531.735295
414,298,1727460531.738545
417,298,1727460531.74349
419,298,1727460531.7470038
421,298,1727460531.750709
424,298,1727460531.755144
427,297,1727460531.7608829
428,297,1727460531.7635489
430,297,1727460531.7688892
433,297,1727460531.776583
435,297,1727460531.784108
437,297,1727460531.787625
438,297,1727460531.793452
439,297,1727460531.798388
440,297,1727460531.800478
441,297,1727460531.805449
443,297,1727460531.813225
