x,y,time
324,166,1727460145.722355
323,167,1727460145.7277172
312,171,1727460145.7907689
312,172,1727460145.791164
306,175,1727460145.822525
305,176,1727460145.8237598
304,176,1727460145.832292
302,178,1727460145.844676
301,179,1727460145.848053
300,180,1727460145.848458
298,181,1727460145.8574731
298,182,1727460145.865154
297,183,1727460145.8656719
296,184,1727460145.872133
295,184,1727460145.8737211
294,185,1727460145.881398
293,186,1727460145.882466
292,187,1727460145.888886
291,187,1727460145.890608
288,190,1727460145.904626
287,191,1727460145.907218
286,192,1727460145.914277
285,193,1727460145.916726
284,194,1727460145.922595
283,195,1727460145.924263
282,196,1727460145.9310322
282,198,1727460145.9325151
281,199,1727460145.938399
280,200,1727460145.9402409
280,201,1727460145.947764
279,203,1727460145.948427
278,204,1727460145.955276
278,205,1727460145.957241
277,206,1727460145.964607
277,207,1727460145.966392
275,209,1727460145.971949
275,210,1727460145.973984
274,211,1727460145.981292
273,213,1727460145.982307
272,214,1727460145.988896
271,216,1727460145.990905
271,217,1727460145.997748
269,219,1727460145.999548
268,220,1727460146.006002
268,221,1727460146.0078158
266,223,1727460146.0140631
266,224,1727460146.015876
265,225,1727460146.0224042
264,226,1727460146.0234308
264,227,1727460146.031394
263,229,1727460146.032324
262,230,1727460146.039832
262,231,1727460146.041547
262,233,1727460146.047704
260,235,1727460146.049719
260,236,1727460146.0552828
260,238,1727460146.057357
259,239,1727460146.064491
259,241,1727460146.066506
259,242,1727460146.0719428
259,244,1727460146.0733519
259,245,1727460146.081279
258,247,1727460146.0824552
257,248,1727460146.0881002
257,250,1727460146.090698
257,251,1727460146.0980291
257,253,1727460146.099166
256,254,1727460146.1056561
256,256,1727460146.1079319
255,257,1727460146.114523
255,259,1727460146.1167629
255,261,1727460146.1226351
255,262,1727460146.123521
255,264,1727460146.1308002
255,265,1727460146.132658
255,267,1727460146.138889
255,269,1727460146.14022
255,270,1727460146.14797
255,272,1727460146.149107
255,273,1727460146.1556978
255,275,1727460146.1571
255,276,1727460146.164549
255,278,1727460146.166191
255,279,1727460146.1726599
