x,y,time
233,170,1727461088.6996439
232,171,1727461088.711824
231,172,1727461088.7149582
230,173,1727461088.726212
230,174,1727461088.7323918
230,175,1727461088.734215
230,176,1727461088.741065
230,177,1727461088.748707
230,178,1727461088.757528
230,179,1727461088.7601411
230,182,1727461088.7773912
230,183,1727461088.7821162
230,184,1727461088.789973
230,186,1727461088.790506
230,187,1727461088.7931929
230,189,1727461088.798922
230,193,1727461088.8069031
230,195,1727461088.8099189
230,198,1727461088.814719
230,200,1727461088.8183591
230,202,1727461088.824554
230,205,1727461088.826442
230,207,1727461088.832009
230,211,1727461088.840089
230,213,1727461088.844973
230,216,1727461088.850187
230,219,1727461088.85197
230,220,1727461088.8586109
230,223,1727461088.86045
230,225,1727461088.8665862
230,228,1727461088.873371
230,230,1727461088.873779
230,233,1727461088.878391
231,240,1727461088.8913338
231,243,1727461088.893214
231,245,1727461088.8988218
231,248,1727461088.901834
232,250,1727461088.908441
232,252,1727461088.911655
232,254,1727461088.91659
232,257,1727461088.922899
232,259,1727461088.923757
233,262,1727461088.927734
233,265,1727461088.932109
234,267,1727461088.9399621
234,270,1727461088.940363
234,272,1727461088.943563
235,278,1727461088.951039
235,281,1727461088.9573581
235,284,1727461088.9620512
236,286,1727461088.965556
236,289,1727461088.972814
237,292,1727461088.97489
237,295,1727461088.978205
237,298,1727461088.981854
237,301,1727461088.9900181
238,305,1727461088.9913018
239,308,1727461088.9941099
239,312,1727461088.9996212
239,316,1727461089.006727
239,320,1727461089.007136
240,324,1727461089.0119722
241,328,1727461089.015053
241,332,1727461089.018584
241,336,1727461089.0253649
241,340,1727461089.0273778
242,344,1727461089.032749
242,348,1727461089.039902
243,352,1727461089.0405388
243,355,1727461089.044226
243,359,1727461089.048772
243,362,1727461089.0516999
243,365,1727461089.058528
243,368,1727461089.059971
243,371,1727461089.066307
243,373,1727461089.07328
243,375,1727461089.0740092
243,377,1727461089.076895
243,378,1727461089.083591
243,379,1727461089.0899572
242,381,1727461089.090344
242,382,1727461089.093339
241,383,1727461089.098978
241,384,1727461089.106775
241,385,1727461089.107147
240,386,1727461089.112277
239,388,1727461089.114979
239,389,1727461089.1182568
227,178,1727461089.5343318
228,179,1727461089.566994
229,179,1727461089.577528
230,180,1727461089.589407
232,180,1727461089.5905669
234,180,1727461089.6016278
235,180,1727461089.6104288
237,181,1727461089.610986
238,181,1727461089.615572
239,181,1727461089.623199
241,181,1727461089.624589
242,181,1727461089.628054
244,181,1727461089.639749
245,181,1727461089.639949
246,181,1727461089.6411278
248,181,1727461089.6441321
249,181,1727461089.650341
250,181,1727461089.651964
252,181,1727461089.6590421
253,181,1727461089.660411
255,181,1727461089.669579
257,181,1727461089.673159
258,181,1727461089.674033
259,181,1727461089.677731
262,181,1727461089.6841931
264,182,1727461089.6852741
266,182,1727461089.692213
268,182,1727461089.694732
269,182,1727461089.699509
271,182,1727461089.70667
273,182,1727461089.707062
274,181,1727461089.7105238
276,181,1727461089.715517
278,181,1727461089.723184
280,180,1727461089.724263
282,180,1727461089.728416
284,179,1727461089.732378
286,179,1727461089.7401621
289,179,1727461089.7408268
291,179,1727461089.744616
296,178,1727461089.75934
297,178,1727461089.759944
299,178,1727461089.767541
301,178,1727461089.773213
303,178,1727461089.77569
305,178,1727461089.777781
307,178,1727461089.7837288
309,179,1727461089.789823
312,179,1727461089.790853
314,179,1727461089.7951539
315,179,1727461089.798956
316,179,1727461089.8064299
318,179,1727461089.807436
321,179,1727461089.810962
325,178,1727461089.82355
327,178,1727461089.824188
329,178,1727461089.827689
332,178,1727461089.834053
334,178,1727461089.8398468
335,178,1727461089.84224
337,178,1727461089.8446999
339,177,1727461089.849091
341,177,1727461089.856561
343,177,1727461089.857122
344,177,1727461089.86083
347,177,1727461089.866954
349,177,1727461089.868607
351,177,1727461089.874775
353,177,1727461089.878763
355,177,1727461089.882806
359,177,1727461089.891348
360,177,1727461089.893493
362,177,1727461089.901509
364,177,1727461089.90648
366,177,1727461089.907094
368,177,1727461089.9118888
370,176,1727461089.916034
372,176,1727461089.923188
374,176,1727461089.925204
375,176,1727461089.9275
377,176,1727461089.9333189
379,175,1727461089.940206
380,175,1727461089.940835
382,175,1727461089.94496
384,175,1727461089.949132
385,174,1727461089.956762
387,174,1727461089.957141
389,173,1727461089.961157
391,173,1727461089.967505
393,173,1727461089.973393
394,173,1727461089.975656
396,173,1727461089.977752
397,173,1727461089.984166
398,173,1727461089.990123
400,173,1727461089.9906712
401,173,1727461089.994872
402,173,1727461089.998898
403,173,1727461090.0067542
405,173,1727461090.0073888
407,173,1727461090.0106251
408,173,1727461090.017607
409,173,1727461090.021617
411,173,1727461090.0242481
412,173,1727461090.028202
414,173,1727461090.032265
416,173,1727461090.0388029
417,173,1727461090.041236
418,173,1727461090.043675
419,173,1727461090.049765
420,173,1727461090.055378
421,173,1727461090.0575202
422,173,1727461090.060568
423,173,1727461090.065713
425,173,1727461090.0751371
427,173,1727461090.083502
428,173,1727461090.089086
430,173,1727461090.096033
432,173,1727461090.101778
433,173,1727461090.109038
434,172,1727461090.110461
435,172,1727461090.115596
436,171,1727461090.122428
437,171,1727461090.124576
439,170,1727461090.1336472
440,169,1727461090.141784
441,169,1727461090.144705
442,168,1727461090.161298
443,168,1727461090.1689348
444,168,1727461090.1919968
444,169,1727461090.209976
445,169,1727461090.214098
446,169,1727461090.226314
446,170,1727461090.240288
447,171,1727461090.259972
448,172,1727461090.2619689
448,173,1727461090.2732842
448,175,1727461090.285565
448,176,1727461090.292947
448,177,1727461090.294049
448,179,1727461090.30054
448,180,1727461090.301655
448,181,1727461090.308269
448,183,1727461090.3102021
448,184,1727461090.3185012
448,187,1727461090.322122
448,189,1727461090.324163
448,191,1727461090.327146
448,194,1727461090.332593
448,196,1727461090.3391402
446,201,1727461090.3486369
446,204,1727461090.34899
446,206,1727461090.357724
446,209,1727461090.359355
445,211,1727461090.360439
445,214,1727461090.3660328
444,217,1727461090.372011
444,219,1727461090.374088
444,222,1727461090.377725
443,224,1727461090.3824499
443,227,1727461090.388282
443,232,1727461090.3951008
443,234,1727461090.39919
443,237,1727461090.405657
442,240,1727461090.408509
442,243,1727461090.4101171
442,246,1727461090.4174888
441,249,1727461090.4249952
441,251,1727461090.425906
441,254,1727461090.427475
441,257,1727461090.432786
441,260,1727461090.4394
441,263,1727461090.441123
441,266,1727461090.444361
441,268,1727461090.450382
441,271,1727461090.4561548
441,274,1727461090.460762
441,277,1727461090.46176
441,279,1727461090.466421
441,282,1727461090.472832
441,285,1727461090.47475
441,288,1727461090.47916
440,290,1727461090.4831219
440,292,1727461090.489411
440,295,1727461090.492001
440,297,1727461090.4957519
440,300,1727461090.4995682
440,303,1727461090.5065322
440,305,1727461090.508112
440,308,1727461090.5114188
440,310,1727461090.5168939
440,312,1727461090.523365
440,315,1727461090.526111
440,317,1727461090.527497
440,320,1727461090.5358112
440,324,1727461090.541815
441,327,1727461090.545598
441,329,1727461090.5499132
441,332,1727461090.55811
441,334,1727461090.5585952
441,336,1727461090.561206
441,338,1727461090.565897
441,340,1727461090.573729
441,342,1727461090.575695
441,344,1727461090.579107
441,346,1727461090.582552
441,347,1727461090.5900538
441,349,1727461090.590577
