x,y,time
244,230,1727461179.800641
246,230,1727461179.83933
247,230,1727461179.849267
248,230,1727461179.85108
250,230,1727461179.8582568
251,230,1727461179.86088
253,230,1727461179.866133
254,230,1727461179.872149
256,230,1727461179.874977
258,230,1727461179.877383
260,230,1727461179.8837178
262,230,1727461179.8907058
264,231,1727461179.894343
266,231,1727461179.8963141
268,231,1727461179.9051661
270,231,1727461179.905806
273,231,1727461179.9083211
274,231,1727461179.911815
276,231,1727461179.917927
278,231,1727461179.9233549
285,230,1727461179.934297
288,230,1727461179.93924
290,230,1727461179.942092
293,230,1727461179.9445078
294,230,1727461179.95169
297,230,1727461179.957001
300,230,1727461179.958601
302,230,1727461179.961876
305,230,1727461179.967102
307,230,1727461179.974297
310,230,1727461179.975631
313,230,1727461179.9793532
316,231,1727461179.9852521
318,231,1727461179.989748
323,231,1727461179.996892
326,231,1727461180.00191
330,231,1727461180.006293
332,231,1727461180.0088
335,231,1727461180.0119622
338,231,1727461180.024152
341,231,1727461180.024354
344,231,1727461180.025312
348,231,1727461180.0283132
352,231,1727461180.033916
355,230,1727461180.039737
357,230,1727461180.041909
360,230,1727461180.0451908
364,229,1727461180.0504289
368,229,1727461180.056515
371,228,1727461180.0589042
375,228,1727461180.06187
384,227,1727461180.077193
387,226,1727461180.079474
391,226,1727461180.083389
394,226,1727461180.0885482
397,225,1727461180.0921118
400,225,1727461180.095423
403,224,1727461180.099814
405,224,1727461180.105592
409,224,1727461180.108758
412,223,1727461180.111608
414,223,1727461180.1169322
418,223,1727461180.122367
420,222,1727461180.1252658
423,222,1727461180.1306298
425,221,1727461180.135591
430,220,1727461180.14176
432,220,1727461180.144901
434,220,1727461180.150678
437,220,1727461180.1581209
439,220,1727461180.159711
441,219,1727461180.16196
443,219,1727461180.168991
444,219,1727461180.174367
448,219,1727461180.1805289
449,219,1727461180.1823418
451,219,1727461180.189333
453,219,1727461180.191581
454,219,1727461180.195209
455,219,1727461180.199733
457,219,1727461180.207686
458,219,1727461180.208798
459,219,1727461180.211989
460,219,1727461180.2223449
461,219,1727461180.2253408
462,220,1727461180.233554
462,221,1727461180.271244
462,222,1727461180.278879
462,223,1727461180.289321
462,224,1727461180.292065
461,225,1727461180.294868
461,226,1727461180.306261
459,227,1727461180.3064551
459,228,1727461180.3089
458,230,1727461180.3121128
457,231,1727461180.323101
455,233,1727461180.323294
454,235,1727461180.325496
453,237,1727461180.3282719
451,239,1727461180.339247
449,241,1727461180.3398788
447,243,1727461180.3421152
446,245,1727461180.3452458
443,248,1727461180.350639
441,250,1727461180.356531
440,252,1727461180.359405
