x,y,time
359,151,1727461154.322363
360,151,1727461154.32289
359,150,1727461154.3456352
359,151,1727461154.411952
359,152,1727461154.505748
359,153,1727461154.514403
358,153,1727461154.524968
357,154,1727461154.530644
357,155,1727461154.539958
356,155,1727461154.544843
355,156,1727461154.547304
353,157,1727461154.557976
353,158,1727461154.5601752
352,159,1727461154.5635562
350,159,1727461154.568188
350,160,1727461154.572429
348,161,1727461154.577003
347,162,1727461154.583195
345,163,1727461154.584895
344,164,1727461154.588879
343,165,1727461154.595295
341,166,1727461154.598599
338,168,1727461154.608035
337,169,1727461154.610399
335,170,1727461154.6137128
333,172,1727461154.6225011
332,173,1727461154.627294
330,174,1727461154.630153
328,176,1727461154.638954
325,178,1727461154.647947
323,179,1727461154.655788
321,180,1727461154.65622
319,181,1727461154.662241
318,182,1727461154.667422
314,184,1727461154.673399
313,184,1727461154.677719
312,186,1727461154.681107
309,187,1727461154.6896892
307,188,1727461154.6943119
306,189,1727461154.6980438
303,191,1727461154.7097259
301,192,1727461154.712001
299,192,1727461154.713592
296,194,1727461154.723028
294,195,1727461154.727699
293,196,1727461154.730593
289,197,1727461154.7396889
288,198,1727461154.744524
287,198,1727461154.7471669
284,200,1727461154.758744
280,201,1727461154.7680151
277,202,1727461154.774312
275,203,1727461154.7793212
273,204,1727461154.7833622
270,205,1727461154.7900648
269,206,1727461154.7941508
268,207,1727461154.797208
264,208,1727461154.806536
264,209,1727461154.811044
262,209,1727461154.8144681
259,211,1727461154.824013
255,213,1727461154.8329751
253,213,1727461154.839714
253,214,1727461154.8423748
251,215,1727461154.843698
250,215,1727461154.847861
248,216,1727461154.856999
247,217,1727461154.8605871
246,217,1727461154.864643
244,218,1727461154.875724
244,219,1727461154.87728
243,219,1727461154.880851
241,220,1727461154.889945
240,220,1727461154.898093
239,220,1727461154.908442
238,221,1727461154.9102552
237,221,1727461154.914096
236,221,1727461154.9280992
235,222,1727461154.933849
234,222,1727461154.947511
233,222,1727461155.008812
232,223,1727461155.043744
232,224,1727461155.064901
232,225,1727461155.073311
232,226,1727461155.078316
232,227,1727461155.0817869
232,229,1727461155.089501
232,231,1727461155.099516
232,233,1727461155.1056461
231,234,1727461155.10605
231,236,1727461155.111295
231,238,1727461155.1148129
230,241,1727461155.124779
230,243,1727461155.1280022
230,245,1727461155.1315389
230,248,1727461155.141261
230,250,1727461155.145035
230,252,1727461155.147948
230,256,1727461155.158447
230,257,1727461155.1610198
230,259,1727461155.163718
230,263,1727461155.177301
230,265,1727461155.177741
230,267,1727461155.180636
230,269,1727461155.188501
230,270,1727461155.189538
230,272,1727461155.194313
230,274,1727461155.197488
230,276,1727461155.205322
230,278,1727461155.206403
230,280,1727461155.211068
230,282,1727461155.2140548
230,284,1727461155.221733
230,286,1727461155.222628
230,288,1727461155.2290912
230,290,1727461155.2312372
229,293,1727461155.243326
229,295,1727461155.2446878
229,297,1727461155.247658
229,300,1727461155.255477
229,302,1727461155.256598
229,304,1727461155.2618592
229,305,1727461155.264297
229,307,1727461155.272481
229,309,1727461155.274063
228,311,1727461155.277729
228,313,1727461155.28107
228,317,1727461155.295367
228,319,1727461155.29846
228,320,1727461155.30513
228,322,1727461155.306015
228,323,1727461155.311554
228,324,1727461155.314898
228,326,1727461155.3225868
228,327,1727461155.323754
228,328,1727461155.328133
228,329,1727461155.330803
228,330,1727461155.342185
228,331,1727461155.344619
228,332,1727461155.355947
228,333,1727461155.361223
227,334,1727461155.37267
227,335,1727461155.542607
228,335,1727461155.545865
228,336,1727461155.555273
230,337,1727461155.564508
232,339,1727461155.57564
232,340,1727461155.577821
234,341,1727461155.585259
234,342,1727461155.589073
236,343,1727461155.5894558
237,344,1727461155.595371
239,345,1727461155.597982
241,346,1727461155.605325
242,347,1727461155.606935
244,348,1727461155.613256
244,349,1727461155.615658
248,351,1727461155.624618
248,352,1727461155.628672
250,353,1727461155.63137
251,353,1727461155.63907
252,354,1727461155.639659
253,355,1727461155.644029
255,356,1727461155.647713
256,357,1727461155.65574
257,358,1727461155.65652
259,359,1727461155.662519
260,359,1727461155.666753
264,361,1727461155.674915
265,362,1727461155.677984
266,363,1727461155.6828039
268,364,1727461155.68936
269,365,1727461155.689743
271,366,1727461155.694687
271,367,1727461155.6989021
273,368,1727461155.706162
288,376,1727461155.742568
289,377,1727461155.7458
291,378,1727461155.749686
292,379,1727461155.7562509
294,380,1727461155.756649
294,381,1727461155.7617888
296,382,1727461155.7640371
299,384,1727461155.773203
301,386,1727461155.7780612
303,387,1727461155.782099
306,389,1727461155.790209
308,390,1727461155.794952
309,391,1727461155.798024
310,392,1727461155.807447
312,393,1727461155.8139899
314,395,1727461155.816702
316,397,1727461155.823209
316,398,1727461155.824072
318,399,1727461155.82847
319,400,1727461155.832631
321,402,1727461155.841745
323,403,1727461155.845155
325,404,1727461155.848895
328,406,1727461155.858758
329,408,1727461155.8616488
330,409,1727461155.864426
332,410,1727461155.875744
334,412,1727461155.880693
334,413,1727461155.881145
335,414,1727461155.889716
337,415,1727461155.8904
337,416,1727461155.8960152
339,417,1727461155.899174
341,418,1727461155.9066648
341,419,1727461155.9118578
343,420,1727461155.917674
344,422,1727461155.923475
