x,y,time
311,399,1727461524.351444
310,399,1727461524.356673
310,398,1727461524.362506
310,396,1727461524.380351
310,395,1727461524.389462
310,394,1727461524.390453
311,392,1727461524.396449
312,391,1727461524.399168
312,389,1727461524.406433
312,386,1727461524.4117131
314,383,1727461524.41204
314,380,1727461524.415429
316,376,1727461524.423032
317,372,1727461524.42508
318,368,1727461524.429559
319,364,1727461524.434292
323,355,1727461524.445259
324,350,1727461524.446217
326,345,1727461524.451253
328,335,1727461524.45779
330,331,1727461524.462081
332,326,1727461524.465067
334,317,1727461524.4740548
335,313,1727461524.4788501
337,308,1727461524.4819698
341,300,1727461524.491627
343,296,1727461524.4961221
345,291,1727461524.499383
347,288,1727461524.506419
348,284,1727461524.5080278
350,280,1727461524.51427
351,276,1727461524.5150359
353,272,1727461524.523131
354,267,1727461524.524123
355,264,1727461524.5298471
357,261,1727461524.5341282
361,253,1727461524.5413198
363,250,1727461524.5465238
366,246,1727461524.549577
367,243,1727461524.556532
369,241,1727461524.557719
371,238,1727461524.5631528
372,236,1727461524.566779
374,231,1727461524.574354
376,230,1727461524.580269
377,229,1727461524.581859
378,228,1727461524.591295
380,227,1727461524.592275
382,227,1727461524.597258
383,226,1727461524.598709
385,226,1727461524.606424
386,226,1727461524.607488
387,226,1727461524.6127439
389,226,1727461524.615425
392,227,1727461524.625278
393,228,1727461524.629707
394,229,1727461524.632895
396,230,1727461524.6397781
397,232,1727461524.640762
398,234,1727461524.646553
400,237,1727461524.648761
403,243,1727461524.6606772
405,247,1727461524.662071
407,251,1727461524.665932
408,256,1727461524.672985
410,260,1727461524.6738648
412,265,1727461524.67965
412,270,1727461524.6823292
414,276,1727461524.689604
415,282,1727461524.691081
416,289,1727461524.696602
417,294,1727461524.699402
418,300,1727461524.7058601
419,306,1727461524.707037
420,312,1727461524.713121
421,318,1727461524.7173939
423,324,1727461524.722513
425,329,1727461524.724153
426,335,1727461524.7296379
428,340,1727461524.7319438
430,350,1727461524.74134
432,355,1727461524.746717
432,359,1727461524.749001
433,362,1727461524.757319
435,366,1727461524.757726
435,369,1727461524.76277
437,372,1727461524.765572
437,375,1727461524.774676
438,377,1727461524.775622
439,379,1727461524.7787552
440,381,1727461524.782826
442,384,1727461524.791042
442,386,1727461524.797179
444,388,1727461524.798523
445,390,1727461524.808086
446,391,1727461524.81322
448,392,1727461524.823104
309,332,1727461525.1501179
309,333,1727461525.17229
310,333,1727461525.175662
312,334,1727461525.1826618
313,334,1727461525.189795
314,334,1727461525.1914968
318,334,1727461525.2072299
320,335,1727461525.207419
322,335,1727461525.207911
324,335,1727461525.21294
327,335,1727461525.2159529
329,335,1727461525.223155
331,335,1727461525.2250319
333,335,1727461525.229891
335,335,1727461525.2341561
339,334,1727461525.240608
341,334,1727461525.241889
344,334,1727461525.246099
346,334,1727461525.249547
349,333,1727461525.257953
351,333,1727461525.2585568
354,333,1727461525.263252
357,333,1727461525.266551
359,332,1727461525.2731361
362,332,1727461525.274292
364,332,1727461525.281718
371,331,1727461525.289859
373,331,1727461525.290851
376,331,1727461525.2961652
378,331,1727461525.2999291
381,331,1727461525.304939
384,331,1727461525.3088
387,331,1727461525.313859
390,331,1727461525.316608
393,331,1727461525.324322
395,330,1727461525.324682
398,330,1727461525.329281
399,330,1727461525.334578
403,330,1727461525.3390641
405,329,1727461525.340956
407,329,1727461525.3481832
410,329,1727461525.349254
414,328,1727461525.357882
417,327,1727461525.362605
418,327,1727461525.3662488
419,326,1727461525.373899
421,326,1727461525.375513
423,325,1727461525.3787909
424,324,1727461525.383178
426,323,1727461525.391247
427,323,1727461525.391725
428,322,1727461525.396432
430,321,1727461525.402178
