x,y,time
407,197,1727461562.622404
405,197,1727461562.628879
405,196,1727461562.6350982
404,196,1727461562.641734
402,196,1727461562.650788
401,196,1727461562.657175
399,196,1727461562.6729112
398,195,1727461562.679604
397,194,1727461562.6925828
396,193,1727461562.696528
396,192,1727461562.7013388
394,190,1727461562.7164211
394,189,1727461562.717508
392,188,1727461562.723042
392,187,1727461562.726463
391,186,1727461562.7292411
390,185,1727461562.734245
389,184,1727461562.740324
387,184,1727461562.742551
385,184,1727461562.747018
383,183,1727461562.7512152
382,183,1727461562.756223
380,183,1727461562.7591941
378,183,1727461562.762578
375,183,1727461562.767041
373,183,1727461562.7732632
371,184,1727461562.775983
369,184,1727461562.77919
366,185,1727461562.789662
363,186,1727461562.793789
361,186,1727461562.7962759
358,187,1727461562.801145
357,188,1727461562.806475
354,188,1727461562.8101602
352,189,1727461562.812364
350,190,1727461562.8182101
348,191,1727461562.8229601
346,191,1727461562.8259351
344,192,1727461562.829421
342,193,1727461562.8347142
339,195,1727461562.839561
337,195,1727461562.842707
335,197,1727461562.845738
332,199,1727461562.8561668
330,200,1727461562.859023
328,202,1727461562.86189
326,203,1727461562.86752
325,205,1727461562.87294
323,206,1727461562.876826
321,208,1727461562.8787599
319,209,1727461562.884114
317,212,1727461562.889793
316,214,1727461562.892522
314,216,1727461562.896223
312,218,1727461562.901664
311,220,1727461562.905727
310,223,1727461562.909358
308,225,1727461562.912575
307,228,1727461562.9179142
306,230,1727461562.922595
305,233,1727461562.926343
304,236,1727461562.9291992
303,240,1727461562.93462
301,243,1727461562.939423
301,246,1727461562.943212
299,249,1727461562.945584
298,251,1727461562.9505951
298,255,1727461562.956088
297,258,1727461562.960201
296,262,1727461562.962375
296,264,1727461562.9674509
295,267,1727461562.9728398
294,270,1727461562.976179
294,273,1727461562.9793642
294,279,1727461562.989573
294,282,1727461562.992905
294,284,1727461562.9959528
294,289,1727461563.006434
294,292,1727461563.010099
294,295,1727461563.011971
296,297,1727461563.0175092
296,300,1727461563.022943
297,303,1727461563.026696
298,305,1727461563.029431
299,308,1727461563.034307
301,311,1727461563.039789
302,313,1727461563.042974
303,315,1727461563.045961
306,320,1727461563.0562801
308,323,1727461563.0597692
309,326,1727461563.062261
310,328,1727461563.06801
312,330,1727461563.072903
314,332,1727461563.07702
316,334,1727461563.079556
318,336,1727461563.0846379
321,339,1727461563.0896692
323,341,1727461563.0933719
326,343,1727461563.096231
328,345,1727461563.100824
330,348,1727461563.106426
333,350,1727461563.11101
335,352,1727461563.112401
337,353,1727461563.117633
339,355,1727461563.123115
342,357,1727461563.12692
346,359,1727461563.12927
348,360,1727461563.1342888
351,361,1727461563.13952
353,363,1727461563.1429608
355,364,1727461563.145925
362,366,1727461563.156363
365,367,1727461563.159225
368,368,1727461563.1625228
373,370,1727461563.173213
376,370,1727461563.175105
380,370,1727461563.180449
383,371,1727461563.184777
387,371,1727461563.189707
390,371,1727461563.1938372
394,372,1727461563.1959229
399,372,1727461563.205035
403,372,1727461563.211066
407,372,1727461563.2129788
410,372,1727461563.217691
414,372,1727461563.221859
417,372,1727461563.226173
426,370,1727461563.23867
430,370,1727461563.24331
432,368,1727461563.247853
435,367,1727461563.250568
439,365,1727461563.2550678
442,363,1727461563.259488
444,360,1727461563.26265
447,358,1727461563.267483
450,355,1727461563.272483
453,352,1727461563.276875
456,350,1727461563.278848
459,346,1727461563.2841558
460,344,1727461563.288835
462,341,1727461563.2928882
464,338,1727461563.296224
466,336,1727461563.306102
468,333,1727461563.306283
471,331,1727461563.310313
472,329,1727461563.314653
475,325,1727461563.325152
476,322,1727461563.325826
