x,y,time
358,193,1727461498.2433522
357,192,1727461498.252876
356,192,1727461498.258825
355,192,1727461498.259609
354,192,1727461498.267536
353,192,1727461498.2764611
353,191,1727461498.2840478
353,190,1727461498.301343
352,190,1727461498.3086772
352,189,1727461498.314124
351,189,1727461498.317716
351,188,1727461498.323949
351,187,1727461498.3307788
350,187,1727461498.334163
349,186,1727461498.3394089
348,186,1727461498.351291
347,185,1727461498.351624
346,184,1727461498.357846
345,184,1727461498.359026
344,184,1727461498.365479
342,184,1727461498.366951
341,184,1727461498.3728058
339,184,1727461498.3774998
337,184,1727461498.380845
335,184,1727461498.383599
333,184,1727461498.390496
332,185,1727461498.3925
330,186,1727461498.399044
329,186,1727461498.400577
327,187,1727461498.4064782
326,188,1727461498.408731
323,189,1727461498.415293
322,190,1727461498.4169102
320,191,1727461498.42317
318,192,1727461498.426373
316,194,1727461498.4315898
312,197,1727461498.4398599
310,198,1727461498.4430568
308,199,1727461498.448523
305,202,1727461498.4565032
304,203,1727461498.460551
302,205,1727461498.464567
301,207,1727461498.467902
298,208,1727461498.474305
297,209,1727461498.475661
295,211,1727461498.481602
293,213,1727461498.484446
291,215,1727461498.491234
289,217,1727461498.492136
289,219,1727461498.499875
287,221,1727461498.5011048
286,223,1727461498.506856
285,226,1727461498.5096378
283,228,1727461498.513957
283,230,1727461498.517341
282,232,1727461498.5232909
280,235,1727461498.5257978
279,237,1727461498.531065
278,240,1727461498.534024
277,243,1727461498.5396721
276,245,1727461498.5430698
274,247,1727461498.547339
273,249,1727461498.550869
273,251,1727461498.55633
272,254,1727461498.55892
271,256,1727461498.565599
271,259,1727461498.5672581
270,261,1727461498.574097
270,264,1727461498.57618
269,266,1727461498.583498
269,269,1727461498.584022
269,271,1727461498.589837
269,273,1727461498.5932531
269,275,1727461498.598838
269,278,1727461498.601254
269,280,1727461498.607052
269,282,1727461498.609335
269,285,1727461498.615288
269,289,1727461498.6229482
269,290,1727461498.6262422
269,292,1727461498.6319768
269,295,1727461498.639477
270,297,1727461498.640525
271,299,1727461498.6424599
271,301,1727461498.6485372
271,303,1727461498.651358
273,305,1727461498.657092
273,308,1727461498.65966
274,309,1727461498.665028
274,311,1727461498.6679292
276,313,1727461498.67303
276,315,1727461498.6777291
280,322,1727461498.689652
281,324,1727461498.692491
282,326,1727461498.69966
283,328,1727461498.701529
284,330,1727461498.706553
285,332,1727461498.709973
286,334,1727461498.714831
287,335,1727461498.717543
288,337,1727461498.723805
289,339,1727461498.7265458
291,341,1727461498.731461
292,344,1727461498.7342029
293,345,1727461498.740269
294,347,1727461498.743317
299,352,1727461498.756314
301,354,1727461498.7600598
303,355,1727461498.765449
304,356,1727461498.767296
305,357,1727461498.773729
307,359,1727461498.776118
308,360,1727461498.782397
310,361,1727461498.784002
311,363,1727461498.790634
312,364,1727461498.792746
314,365,1727461498.7991831
316,366,1727461498.8012888
318,367,1727461498.8071418
321,369,1727461498.8095129
322,370,1727461498.814187
324,370,1727461498.817899
326,371,1727461498.823509
