x,y,time
195,247,1727461511.780958
194,247,1727461511.783616
194,248,1727461511.800425
195,248,1727461511.808435
196,248,1727461511.814081
196,249,1727461511.816589
197,249,1727461511.822978
198,249,1727461511.8250701
199,249,1727461511.832845
201,250,1727461511.8393412
202,250,1727461511.847299
203,250,1727461511.8489642
205,250,1727461511.8629382
207,250,1727461511.863541
208,250,1727461511.866102
209,250,1727461511.8741739
211,250,1727461511.875036
212,250,1727461511.87956
214,250,1727461511.884234
216,250,1727461511.8913012
217,250,1727461511.8918679
219,250,1727461511.89744
221,250,1727461511.9009001
223,250,1727461511.9070332
224,250,1727461511.908291
226,250,1727461511.913365
230,250,1727461511.928334
232,250,1727461511.930368
233,250,1727461511.938905
235,250,1727461511.940779
237,250,1727461511.942296
239,250,1727461511.9460921
242,251,1727461511.952012
243,251,1727461511.956474
245,251,1727461511.958467
246,252,1727461511.964
248,252,1727461511.967783
251,253,1727461511.973023
253,253,1727461511.975373
255,253,1727461511.9811652
257,253,1727461511.983627
260,253,1727461511.990983
262,253,1727461511.992074
264,253,1727461511.996844
267,253,1727461512.000679
269,253,1727461512.007964
271,253,1727461512.008584
273,253,1727461512.014272
275,253,1727461512.016342
278,253,1727461512.0229099
280,253,1727461512.026216
283,253,1727461512.0303879
285,253,1727461512.0337799
288,253,1727461512.039744
291,253,1727461512.043146
293,253,1727461512.047217
296,253,1727461512.055479
298,253,1727461512.056108
301,253,1727461512.0587451
304,253,1727461512.066459
307,253,1727461512.067182
312,253,1727461512.075797
314,253,1727461512.080286
319,253,1727461512.090961
323,253,1727461512.0921412
326,253,1727461512.0972779
328,253,1727461512.1004312
331,253,1727461512.106969
333,253,1727461512.109032
336,253,1727461512.114051
339,253,1727461512.117085
342,253,1727461512.123059
346,253,1727461512.1255062
348,253,1727461512.132257
351,253,1727461512.134805
354,252,1727461512.14105
357,252,1727461512.14207
360,252,1727461512.147467
363,252,1727461512.151202
366,252,1727461512.155911
369,252,1727461512.159877
373,252,1727461512.163112
375,252,1727461512.16721
378,252,1727461512.1722822
381,251,1727461512.175112
385,251,1727461512.1806872
387,251,1727461512.1842291
391,251,1727461512.1902652
394,251,1727461512.191995
397,250,1727461512.19841
403,250,1727461512.207129
406,249,1727461512.208191
409,249,1727461512.214379
412,249,1727461512.216539
416,248,1727461512.2226958
419,248,1727461512.225893
421,248,1727461512.2312808
424,248,1727461512.234764
428,248,1727461512.239464
435,248,1727461512.2484128
437,248,1727461512.250296
439,248,1727461512.256521
442,248,1727461512.258367
445,248,1727461512.264365
448,248,1727461512.267803
452,247,1727461512.273176
455,247,1727461512.2755919
457,247,1727461512.280781
460,247,1727461512.283206
462,247,1727461512.2916439
466,247,1727461512.292522
469,247,1727461512.29677
472,247,1727461512.300603
475,247,1727461512.306179
478,247,1727461512.308616
487,246,1727461512.326614
491,246,1727461512.33072
498,246,1727461512.3418381
503,246,1727461512.350932
505,246,1727461512.356833
506,245,1727461512.360062
508,245,1727461512.3643079
510,245,1727461512.3672562
512,245,1727461512.376053
519,245,1727461512.3914182
521,245,1727461512.392172
521,244,1727461512.3980942
522,244,1727461512.40048
523,244,1727461512.406931
524,244,1727461512.4171689
525,244,1727461512.418141
526,243,1727461512.4259572
527,243,1727461512.44825
528,243,1727461512.450189
528,242,1727461512.456665
