x,y,time
218,232,1727461600.3304708
217,232,1727461600.3343139
218,233,1727461600.3808541
219,234,1727461600.3961658
219,235,1727461600.398419
219,236,1727461600.406539
220,237,1727461600.408635
220,238,1727461600.414071
221,239,1727461600.4165308
221,240,1727461600.4231849
221,241,1727461600.425966
221,242,1727461600.431154
221,243,1727461600.432986
221,245,1727461600.4394062
221,247,1727461600.442595
222,248,1727461600.447287
222,250,1727461600.4513521
222,258,1727461600.465029
222,260,1727461600.468353
222,263,1727461600.4733171
222,266,1727461600.47514
222,268,1727461600.479787
222,271,1727461600.483666
222,274,1727461600.489345
222,277,1727461600.492249
222,280,1727461600.4968598
222,283,1727461600.5041301
222,286,1727461600.506083
222,288,1727461600.509425
222,291,1727461600.513435
222,294,1727461600.517659
222,296,1727461600.523874
222,299,1727461600.5296938
222,302,1727461600.5302231
222,305,1727461600.534302
222,309,1727461600.538883
222,312,1727461600.541813
222,314,1727461600.548588
222,317,1727461600.550454
222,320,1727461600.55678
222,324,1727461600.559403
222,327,1727461600.564511
222,330,1727461600.571607
222,333,1727461600.573534
222,336,1727461600.57624
222,341,1727461600.587925
222,344,1727461600.5892491
222,347,1727461600.592308
222,349,1727461600.5988438
222,352,1727461600.6051478
222,354,1727461600.606231
223,356,1727461600.609317
223,358,1727461600.613975
223,360,1727461600.617166
223,362,1727461600.624732
223,364,1727461600.626087
223,366,1727461600.630665
223,367,1727461600.6340759
223,371,1727461600.642475
224,372,1727461600.646653
224,373,1727461600.650522
224,374,1727461600.657483
224,375,1727461600.65905
225,377,1727461600.664694
226,379,1727461600.673159
226,380,1727461600.675613
226,381,1727461600.681453
226,382,1727461600.690453
227,383,1727461600.6938639
228,384,1727461600.7057102
228,385,1727461600.706388
229,386,1727461600.7222242
230,386,1727461600.725386
230,387,1727461600.740145
231,387,1727461600.743117
232,387,1727461600.747404
233,387,1727461600.759404
234,387,1727461600.7675478
235,387,1727461600.773396
235,386,1727461600.781075
236,386,1727461600.7891278
237,386,1727461600.7903302
238,386,1727461600.798181
239,386,1727461600.806049
240,386,1727461600.808419
241,386,1727461600.814049
242,385,1727461600.82382
244,385,1727461600.831087
246,384,1727461600.8430521
248,384,1727461600.85088
249,384,1727461600.860687
251,383,1727461600.86639
252,383,1727461600.867306
253,383,1727461600.873246
255,383,1727461600.875951
257,383,1727461600.8804832
258,383,1727461600.884515
260,383,1727461600.8901749
261,383,1727461600.8927512
262,383,1727461600.897818
264,382,1727461600.900906
266,382,1727461600.9064698
267,382,1727461600.911946
271,382,1727461600.923581
273,382,1727461600.9261801
274,381,1727461600.932699
276,381,1727461600.935146
278,381,1727461600.939554
280,381,1727461600.9421241
282,380,1727461600.947479
283,380,1727461600.950745
285,380,1727461600.956784
287,380,1727461600.9589918
289,380,1727461600.96381
290,380,1727461600.9671948
292,380,1727461600.973382
293,380,1727461600.9775748
297,380,1727461600.989866
299,380,1727461600.9903092
301,380,1727461600.993909
303,380,1727461600.997587
305,380,1727461601.001367
307,380,1727461601.006492
309,380,1727461601.0100281
310,380,1727461601.0153
312,380,1727461601.0172281
316,379,1727461601.026135
318,379,1727461601.030737
320,379,1727461601.033935
323,379,1727461601.0422
324,379,1727461601.0425851
326,379,1727461601.0474691
328,378,1727461601.051132
331,378,1727461601.0570781
333,378,1727461601.0595222
334,378,1727461601.0641332
338,378,1727461601.073586
340,378,1727461601.075969
343,378,1727461601.083498
345,378,1727461601.089889
347,378,1727461601.0902889
349,378,1727461601.092445
351,378,1727461601.097947
353,378,1727461601.1007822
355,378,1727461601.107011
357,378,1727461601.1088698
360,378,1727461601.114336
362,378,1727461601.117675
364,378,1727461601.123748
367,378,1727461601.127285
369,378,1727461601.132434
371,377,1727461601.1347551
373,377,1727461601.13999
375,377,1727461601.142946
377,377,1727461601.148341
379,377,1727461601.156491
381,377,1727461601.156692
383,377,1727461601.159395
385,377,1727461601.1657019
388,377,1727461601.16711
392,377,1727461601.175989
396,378,1727461601.184095
398,378,1727461601.190219
399,379,1727461601.193262
401,379,1727461601.197852
403,380,1727461601.205881
406,380,1727461601.2068338
408,380,1727461601.209433
410,381,1727461601.214624
414,381,1727461601.223671
416,382,1727461601.226429
418,382,1727461601.230688
419,382,1727461601.234496
421,382,1727461601.239868
423,382,1727461601.242269
425,383,1727461601.250943
428,383,1727461601.2514648
430,383,1727461601.256924
432,383,1727461601.258772
434,384,1727461601.265343
436,384,1727461601.266925
438,384,1727461601.273525
439,385,1727461601.2779038
442,385,1727461601.281389
443,385,1727461601.284348
445,385,1727461601.290824
447,385,1727461601.2930188
450,385,1727461601.298041
452,386,1727461601.3062341
454,386,1727461601.306649
455,386,1727461601.309483
457,386,1727461601.314792
459,386,1727461601.323828
460,386,1727461601.32443
462,386,1727461601.326046
464,386,1727461601.331012
466,386,1727461601.3337002
469,386,1727461601.343626
471,387,1727461601.348107
475,387,1727461601.356792
476,387,1727461601.359575
478,387,1727461601.3656871
480,388,1727461601.368076
481,388,1727461601.373572
482,388,1727461601.3775291
483,388,1727461601.38275
485,389,1727461601.384043
487,389,1727461601.390375
488,389,1727461601.392513
490,389,1727461601.4004521
494,389,1727461601.406471
496,390,1727461601.409657
498,390,1727461601.415185
499,390,1727461601.417613
501,390,1727461601.423276
503,390,1727461601.426678
505,390,1727461601.4349482
508,390,1727461601.444726
510,390,1727461601.447007
516,390,1727461601.4592562
518,390,1727461601.464538
519,390,1727461601.467319
521,390,1727461601.4744
523,390,1727461601.4767098
525,389,1727461601.482066
526,389,1727461601.484479
528,389,1727461601.4899762
529,389,1727461601.4945521
530,388,1727461601.5001569
536,387,1727461601.5119119
539,387,1727461601.5218089
541,386,1727461601.5232031
543,386,1727461601.526294
546,385,1727461601.538608
547,385,1727461601.5397718
548,384,1727461601.5423071
550,384,1727461601.547779
551,384,1727461601.550664
553,383,1727461601.55702
555,383,1727461601.5590432
557,383,1727461601.564335
558,382,1727461601.572119
561,382,1727461601.573675
562,382,1727461601.575915
564,381,1727461601.5813172
567,380,1727461601.5897322
569,380,1727461601.5929868
570,379,1727461601.59893
571,379,1727461601.6004941
573,378,1727461601.6072881
575,378,1727461601.60968
576,377,1727461601.6154292
578,377,1727461601.6181629
581,375,1727461601.626678
582,375,1727461601.631001
584,374,1727461601.634466
585,374,1727461601.641509
586,373,1727461601.6429162
587,372,1727461601.650926
588,372,1727461601.654922
589,371,1727461601.6571572
590,371,1727461601.664885
591,369,1727461601.673475
592,369,1727461601.676251
593,368,1727461601.6849148
594,368,1727461601.689955
594,367,1727461601.6982431
595,367,1727461601.706883
596,366,1727461601.71525
596,365,1727461601.724459
596,364,1727461601.73969
596,363,1727461601.743005
596,362,1727461601.7498791
596,361,1727461601.757854
596,360,1727461601.7597399
596,359,1727461601.768148
596,358,1727461601.7750862
596,357,1727461601.781725
596,356,1727461601.7846558
595,355,1727461601.7932942
594,355,1727461601.8008041
594,354,1727461601.8062232
594,353,1727461601.8066401
594,352,1727461601.814955
593,352,1727461601.818202
593,351,1727461601.823571
592,351,1727461601.8266702
592,350,1727461601.832428
592,349,1727461601.834597
591,348,1727461601.839836
591,347,1727461601.848701
591,346,1727461601.851357
590,345,1727461601.857012
590,344,1727461601.859238
589,343,1727461601.867449
589,342,1727461601.868361
589,341,1727461601.8734562
589,339,1727461601.876533
589,338,1727461601.883202
589,337,1727461601.889663
589,336,1727461601.890086
588,335,1727461601.893248
588,334,1727461601.897989
587,333,1727461601.907261
587,332,1727461601.9080179
587,331,1727461601.910183
587,330,1727461601.9223921
587,329,1727461601.92314
586,328,1727461601.926425
