x,y,time
282,182,1727461578.430261
280,183,1727461578.442624
280,184,1727461578.44734
280,185,1727461578.4507961
280,188,1727461578.459708
280,189,1727461578.462559
280,192,1727461578.4723032
280,193,1727461578.476916
280,195,1727461578.479347
280,196,1727461578.484448
281,198,1727461578.488074
281,199,1727461578.4933472
282,201,1727461578.495786
282,202,1727461578.5013278
282,203,1727461578.505188
283,204,1727461578.510734
283,206,1727461578.513757
283,207,1727461578.517811
284,209,1727461578.521705
285,210,1727461578.526892
285,211,1727461578.532321
285,213,1727461578.5344021
285,214,1727461578.5390122
286,216,1727461578.543272
287,218,1727461578.546441
287,221,1727461578.556905
287,223,1727461578.559789
288,225,1727461578.565828
288,227,1727461578.56784
289,229,1727461578.572505
289,231,1727461578.577227
289,233,1727461578.5830138
289,236,1727461578.584915
290,238,1727461578.589301
290,241,1727461578.5930712
291,244,1727461578.596559
291,249,1727461578.6069398
291,252,1727461578.610032
292,256,1727461578.612878
292,259,1727461578.6179788
292,263,1727461578.622928
292,266,1727461578.6270442
292,269,1727461578.6302102
292,276,1727461578.639762
292,281,1727461578.64343
292,284,1727461578.646867
293,291,1727461578.6588538
293,294,1727461578.660349
293,298,1727461578.66348
293,306,1727461578.6730042
293,310,1727461578.6772711
293,313,1727461578.679565
293,321,1727461578.690782
293,325,1727461578.6934988
293,329,1727461578.6964018
293,336,1727461578.708865
293,340,1727461578.710464
292,344,1727461578.712665
292,351,1727461578.724027
292,354,1727461578.7272441
292,357,1727461578.7300742
292,360,1727461578.734559
292,363,1727461578.739858
292,367,1727461578.742847
292,370,1727461578.747533
292,374,1727461578.7560499
292,376,1727461578.760045
292,378,1727461578.7627819
292,382,1727461578.774601
292,383,1727461578.7771132
292,384,1727461578.7797499
292,386,1727461578.7906199
292,387,1727461578.793697
293,388,1727461578.808206
294,388,1727461578.822935
295,388,1727461578.844358
296,388,1727461578.845786
297,388,1727461578.8628259
298,388,1727461578.873739
299,388,1727461578.87696
301,388,1727461578.892173
303,388,1727461578.909154
305,387,1727461578.9102411
308,387,1727461578.922967
308,386,1727461578.927583
310,386,1727461578.9307258
312,386,1727461578.9406562
314,386,1727461578.946408
317,386,1727461578.9592268
323,386,1727461578.9729931
325,386,1727461578.973384
327,386,1727461578.976738
329,386,1727461578.980085
333,386,1727461578.989449
335,386,1727461578.993651
337,387,1727461578.998954
342,387,1727461579.00625
344,387,1727461579.010519
347,387,1727461579.013083
352,387,1727461579.025805
354,387,1727461579.026646
357,387,1727461579.029888
362,387,1727461579.039634
365,386,1727461579.044043
368,386,1727461579.047157
373,386,1727461579.055268
376,386,1727461579.059773
380,385,1727461579.0624352
385,385,1727461579.073142
389,385,1727461579.0782652
392,385,1727461579.0811079
394,385,1727461579.084875
398,385,1727461579.0906081
400,385,1727461579.094826
403,385,1727461579.097287
409,385,1727461579.1084821
412,385,1727461579.109911
416,384,1727461579.1131022
418,384,1727461579.117952
421,384,1727461579.122228
423,384,1727461579.1273441
426,384,1727461579.13074
432,384,1727461579.138901
435,384,1727461579.1437912
437,384,1727461579.147367
442,384,1727461579.1562371
444,384,1727461579.16226
448,384,1727461579.164973
453,384,1727461579.172658
456,385,1727461579.1777012
458,385,1727461579.179101
462,385,1727461579.191763
464,386,1727461579.193711
467,386,1727461579.1965702
469,386,1727461579.201546
472,386,1727461579.2063842
475,387,1727461579.210658
477,387,1727461579.213718
480,387,1727461579.225255
482,388,1727461579.227391
484,388,1727461579.229961
487,389,1727461579.24115
489,389,1727461579.243904
492,389,1727461579.2468932
496,389,1727461579.256444
498,389,1727461579.2609549
499,390,1727461579.263052
501,390,1727461579.2727501
503,390,1727461579.27665
504,390,1727461579.280064
506,390,1727461579.292193
507,390,1727461579.294115
