x,y,time
222,237,1727461653.781476
221,237,1727461653.7875462
220,237,1727461653.798084
221,237,1727461653.8241532
222,238,1727461653.830303
223,238,1727461653.837929
224,238,1727461653.844461
226,238,1727461653.847763
228,238,1727461653.857053
229,238,1727461653.861244
232,238,1727461653.871674
233,238,1727461653.872464
235,238,1727461653.879711
237,238,1727461653.8817458
239,238,1727461653.88831
241,238,1727461653.891069
242,238,1727461653.893802
244,238,1727461653.897774
248,238,1727461653.907101
249,238,1727461653.9114869
251,237,1727461653.9141839
253,237,1727461653.9215539
255,237,1727461653.92282
258,237,1727461653.927315
264,237,1727461653.941545
266,237,1727461653.945062
267,237,1727461653.947959
269,237,1727461653.954873
271,237,1727461653.956327
273,237,1727461653.960665
274,237,1727461653.963546
277,237,1727461653.9717638
279,237,1727461653.9735959
282,237,1727461653.9776452
283,237,1727461653.980887
286,237,1727461653.9882932
288,237,1727461653.9893801
290,237,1727461653.995595
292,237,1727461653.998195
296,236,1727461654.007319
298,236,1727461654.011701
301,236,1727461654.0141282
306,235,1727461654.0231118
308,235,1727461654.026827
310,235,1727461654.0311391
314,234,1727461654.041701
317,234,1727461654.0431502
319,234,1727461654.0470872
323,234,1727461654.057963
326,234,1727461654.059805
328,234,1727461654.063958
332,234,1727461654.075297
334,234,1727461654.077675
335,234,1727461654.080905
337,234,1727461654.088073
340,234,1727461654.091794
342,234,1727461654.095335
344,234,1727461654.097297
349,234,1727461654.107866
351,234,1727461654.1111748
353,233,1727461654.113467
358,233,1727461654.130087
360,233,1727461654.13126
364,233,1727461654.140533
367,233,1727461654.1442251
369,233,1727461654.14813
371,233,1727461654.1547
373,233,1727461654.156311
374,233,1727461654.162394
376,233,1727461654.164431
379,233,1727461654.1738281
380,233,1727461654.177525
383,233,1727461654.180872
385,233,1727461654.189007
387,233,1727461654.1903832
389,233,1727461654.194178
391,233,1727461654.199475
394,233,1727461654.2075782
396,233,1727461654.210774
398,233,1727461654.214001
399,233,1727461654.2218392
401,232,1727461654.22397
402,232,1727461654.227991
404,232,1727461654.231319
408,232,1727461654.239004
410,232,1727461654.246269
412,231,1727461654.2486668
413,231,1727461654.25571
414,231,1727461654.256581
416,231,1727461654.261347
417,231,1727461654.264621
419,231,1727461654.2755342
421,231,1727461654.2780218
422,231,1727461654.2813141
423,231,1727461654.289696
425,231,1727461654.290428
426,231,1727461654.294336
428,231,1727461654.299192
430,231,1727461654.3067698
432,232,1727461654.312565
435,232,1727461654.323734
435,233,1727461654.328382
437,233,1727461654.3335402
439,234,1727461654.3409111
439,235,1727461654.3472698
441,236,1727461654.358709
442,236,1727461654.361182
443,237,1727461654.36381
444,238,1727461654.375005
445,238,1727461654.378081
446,239,1727461654.382114
447,240,1727461654.391117
448,241,1727461654.395988
450,241,1727461654.398719
451,242,1727461654.408854
452,243,1727461654.412172
453,243,1727461654.4142668
453,244,1727461654.428046
454,245,1727461654.428978
455,245,1727461654.431115
455,246,1727461654.4411252
456,247,1727461654.445248
457,247,1727461654.4482062
457,248,1727461654.462992
457,249,1727461654.465806
458,250,1727461654.474627
458,251,1727461654.481757
459,252,1727461654.49014
460,252,1727461654.495549
460,253,1727461654.506624
460,254,1727461654.512272
460,255,1727461654.524008
460,256,1727461654.5312698
461,257,1727461654.543982
461,258,1727461654.557336
462,258,1727461654.5622349
462,259,1727461654.5744262
462,260,1727461654.581784
462,261,1727461654.59801
462,262,1727461654.617482
461,263,1727461654.63171
460,263,1727461654.6445088
460,264,1727461654.648205
460,265,1727461654.672417
459,265,1727461654.678619
458,266,1727461654.688753
457,267,1727461654.709053
457,268,1727461654.714831
456,268,1727461654.7227361
455,268,1727461654.723188
455,269,1727461654.728331
454,270,1727461654.738911
453,270,1727461654.7454789
453,271,1727461654.748134
451,272,1727461654.7597141
451,273,1727461654.764586
449,274,1727461654.7732558
448,274,1727461654.7785091
448,275,1727461654.781665
446,276,1727461654.793119
445,277,1727461654.7973912
444,278,1727461654.807462
443,279,1727461654.81174
442,280,1727461654.814585
442,281,1727461654.8251798
441,282,1727461654.82895
440,282,1727461654.831476
439,284,1727461654.8401642
438,285,1727461654.847747
437,286,1727461654.858401
437,287,1727461654.861571
436,287,1727461654.866723
435,289,1727461654.8745642
434,290,1727461654.881726
433,291,1727461654.8918989
432,291,1727461654.895178
432,292,1727461654.898057
431,293,1727461654.9055302
430,293,1727461654.9064
428,295,1727461654.92386
427,296,1727461654.924726
426,297,1727461654.929284
426,298,1727461654.932211
424,300,1727461654.943202
423,300,1727461654.945173
422,301,1727461654.947456
421,302,1727461654.956288
421,303,1727461654.956737
420,304,1727461654.9614139
419,304,1727461654.964848
418,306,1727461654.973676
417,308,1727461654.989774
416,308,1727461654.9901938
415,309,1727461654.995591
414,310,1727461654.997532
414,311,1727461655.0074549
412,312,1727461655.011531
412,313,1727461655.01483
410,314,1727461655.02458
410,315,1727461655.0284631
409,316,1727461655.032405
408,316,1727461655.0384152
407,317,1727461655.040451
407,318,1727461655.0446029
406,319,1727461655.04769
405,320,1727461655.054817
404,320,1727461655.0583591
403,321,1727461655.0622551
402,322,1727461655.065106
400,324,1727461655.073571
398,325,1727461655.078155
398,326,1727461655.0821052
396,328,1727461655.0909739
396,329,1727461655.094909
394,330,1727461655.09808
394,331,1727461655.107203
393,331,1727461655.108325
392,332,1727461655.111712
392,333,1727461655.115972
391,334,1727461655.12187
390,335,1727461655.1233962
389,336,1727461655.128384
388,337,1727461655.131397
386,338,1727461655.1421351
385,339,1727461655.144937
383,340,1727461655.148096
382,342,1727461655.155207
381,343,1727461655.157509
380,344,1727461655.162726
379,345,1727461655.1653068
378,346,1727461655.172909
377,347,1727461655.1734688
376,348,1727461655.1785111
374,349,1727461655.182015
373,350,1727461655.192578
372,351,1727461655.1953652
371,352,1727461655.199743
369,353,1727461655.206503
368,354,1727461655.2119129
367,355,1727461655.215911
364,357,1727461655.223202
363,358,1727461655.228416
362,358,1727461655.2337012
360,360,1727461655.239692
358,360,1727461655.240116
357,361,1727461655.245226
355,362,1727461655.247726
353,364,1727461655.259409
353,365,1727461655.261787
351,366,1727461655.2649689
351,367,1727461655.273083
349,368,1727461655.273452
348,369,1727461655.279131
348,370,1727461655.2844899
346,371,1727461655.2897
345,371,1727461655.2901351
344,372,1727461655.2957828
342,373,1727461655.299128
340,374,1727461655.309957
339,375,1727461655.3128278
337,375,1727461655.314062
336,376,1727461655.3241842
335,377,1727461655.325084
333,378,1727461655.328925
330,380,1727461655.341465
330,381,1727461655.344805
328,381,1727461655.348077
328,382,1727461655.356488
327,383,1727461655.3576362
326,384,1727461655.3616881
325,385,1727461655.3670871
324,386,1727461655.373
323,387,1727461655.3738291
321,388,1727461655.378221
318,390,1727461655.3919291
317,390,1727461655.395846
316,391,1727461655.398535
314,392,1727461655.4071429
312,393,1727461655.41226
312,394,1727461655.414853
310,395,1727461655.4245372
309,396,1727461655.431592
307,398,1727461655.4465868
306,398,1727461655.449166
305,399,1727461655.457967
303,400,1727461655.4621089
303,401,1727461655.465354
302,401,1727461655.474318
301,402,1727461655.4749591
300,403,1727461655.478814
298,404,1727461655.4899578
297,405,1727461655.490572
296,405,1727461655.496171
295,407,1727461655.49838
293,407,1727461655.509213
292,408,1727461655.5115762
292,409,1727461655.517022
291,410,1727461655.5230432
289,410,1727461655.5242949
289,411,1727461655.5285919
288,411,1727461655.532496
287,413,1727461655.539954
286,413,1727461655.545481
285,414,1727461655.5479648
284,415,1727461655.5571468
283,415,1727461655.562465
282,416,1727461655.564546
281,417,1727461655.574307
280,418,1727461655.574987
279,418,1727461655.5788212
278,418,1727461655.582203
277,419,1727461655.589935
276,419,1727461655.591531
274,420,1727461655.5960698
273,421,1727461655.5988019
272,421,1727461655.6063921
271,422,1727461655.607871
270,422,1727461655.612202
269,423,1727461655.615781
267,424,1727461655.624307
266,425,1727461655.631256
265,425,1727461655.641582
264,426,1727461655.642014
263,426,1727461655.645385
262,427,1727461655.6514628
261,428,1727461655.657435
260,429,1727461655.662695
259,429,1727461655.665386
257,429,1727461655.675135
256,430,1727461655.678318
255,430,1727461655.682209
254,430,1727461655.691235
253,430,1727461655.6916091
252,431,1727461655.6958349
251,431,1727461655.698035
249,431,1727461655.711221
248,431,1727461655.711753
246,431,1727461655.724231
246,432,1727461655.731761
245,432,1727461655.741475
244,432,1727461655.74594
244,431,1727461655.76223
243,431,1727461655.773084
242,431,1727461655.7800052
242,430,1727461655.7831721
242,429,1727461655.798105
242,428,1727461655.807293
242,427,1727461655.813139
241,426,1727461655.826157
241,425,1727461655.8284879
241,424,1727461655.83918
241,423,1727461655.845309
241,422,1727461655.8566191
241,421,1727461655.8617
242,420,1727461655.867533
242,419,1727461655.8747551
242,418,1727461655.884907
