x,y,time
232,248,1727461622.3421671
231,248,1727461622.346963
230,248,1727461622.359935
230,249,1727461622.37713
230,250,1727461622.389842
230,251,1727461622.39678
230,252,1727461622.405635
231,253,1727461622.4155982
232,254,1727461622.422857
232,255,1727461622.426908
233,256,1727461622.429536
233,258,1727461622.4393978
233,260,1727461622.443734
234,261,1727461622.446044
235,263,1727461622.456488
235,265,1727461622.460852
235,266,1727461622.462738
235,267,1727461622.473212
235,269,1727461622.4784791
235,272,1727461622.479528
235,273,1727461622.484724
235,275,1727461622.489629
235,276,1727461622.4932501
235,278,1727461622.497026
235,281,1727461622.50627
235,283,1727461622.510432
235,284,1727461622.5135229
235,287,1727461622.5231118
235,289,1727461622.526776
235,290,1727461622.53046
235,292,1727461622.534569
235,293,1727461622.5400908
235,294,1727461622.5423338
235,296,1727461622.546696
235,299,1727461622.556591
235,301,1727461622.5599282
235,302,1727461622.562455
235,304,1727461622.5676968
235,305,1727461622.573001
235,307,1727461622.577249
235,309,1727461622.579741
235,310,1727461622.584576
235,312,1727461622.590374
235,313,1727461622.593111
235,314,1727461622.597103
236,317,1727461622.60657
236,319,1727461622.609754
236,320,1727461622.613203
236,323,1727461622.623041
236,325,1727461622.6263921
237,326,1727461622.629296
237,329,1727461622.639689
237,330,1727461622.6436648
237,332,1727461622.646684
237,334,1727461622.656335
237,335,1727461622.660806
237,337,1727461622.66275
237,338,1727461622.67295
237,339,1727461622.6769311
237,340,1727461622.679931
237,342,1727461622.6896052
237,343,1727461622.693297
237,344,1727461622.696566
237,346,1727461622.706434
237,347,1727461622.710169
237,348,1727461622.718122
237,349,1727461622.723178
237,350,1727461622.729939
237,351,1727461622.7396438
237,352,1727461622.756852
238,352,1727461622.794871
239,352,1727461622.801264
239,353,1727461622.813096
240,353,1727461622.8217301
241,353,1727461622.830366
241,354,1727461622.8341792
242,354,1727461622.8461812
242,355,1727461622.854843
243,355,1727461622.862904
244,355,1727461622.867842
245,355,1727461622.884647
246,356,1727461622.8887548
248,356,1727461622.9054642
249,357,1727461622.923284
250,357,1727461622.926666
251,357,1727461622.929796
252,358,1727461622.940855
253,358,1727461622.942723
255,358,1727461622.958168
257,358,1727461622.96056
259,358,1727461622.975351
260,358,1727461622.97737
261,358,1727461622.979543
262,358,1727461622.989619
264,357,1727461622.994855
266,357,1727461623.007402
267,357,1727461623.010916
268,357,1727461623.0230458
269,357,1727461623.027097
271,358,1727461623.040831
273,360,1727461623.0569768
274,360,1727461623.0630689
276,360,1727461623.073078
277,360,1727461623.078109
278,361,1727461623.0799098
280,361,1727461623.0904698
282,361,1727461623.098241
283,362,1727461623.107528
285,362,1727461623.113303
287,362,1727461623.127372
287,363,1727461623.1316009
288,363,1727461623.141985
289,363,1727461623.143754
289,364,1727461623.145975
290,364,1727461623.1573608
291,365,1727461623.160463
292,366,1727461623.174565
293,366,1727461623.176699
294,367,1727461623.179733
296,368,1727461623.193943
298,369,1727461623.206337
303,372,1727461623.2409952
304,373,1727461623.24528
305,374,1727461623.246988
306,375,1727461623.2575822
307,375,1727461623.2608168
307,376,1727461623.26288
308,378,1727461623.273104
309,378,1727461623.277473
310,379,1727461623.2799208
310,380,1727461623.293078
311,381,1727461623.2935889
312,381,1727461623.2968462
312,383,1727461623.306647
313,383,1727461623.3112168
314,384,1727461623.314015
316,385,1727461623.321841
316,386,1727461623.3275678
317,386,1727461623.3300018
317,387,1727461623.338263
319,387,1727461623.34031
319,388,1727461623.344834
321,389,1727461623.347908
322,390,1727461623.3561869
323,391,1727461623.360359
325,393,1727461623.37532
326,393,1727461623.377048
326,394,1727461623.3800619
328,395,1727461623.392423
328,396,1727461623.394315
330,397,1727461623.398654
330,398,1727461623.406235
332,398,1727461623.410922
332,399,1727461623.412867
333,400,1727461623.4242308
334,401,1727461623.426966
335,401,1727461623.431705
337,403,1727461623.443421
338,403,1727461623.44668
339,404,1727461623.45729
341,405,1727461623.463568
342,405,1727461623.4650939
342,407,1727461623.471682
344,407,1727461623.474141
346,408,1727461623.4807858
347,409,1727461623.4896598
348,410,1727461623.496908
349,411,1727461623.505444
350,411,1727461623.5104
351,412,1727461623.5143008
353,412,1727461623.532345
353,413,1727461623.539005
355,413,1727461623.559108
355,412,1727461623.562817
356,412,1727461623.577356
357,412,1727461623.589608
357,411,1727461623.594518
358,410,1727461623.624506
359,410,1727461623.67139
359,409,1727461623.674449
360,409,1727461623.694755
360,408,1727461623.7136588
361,408,1727461623.7230778
362,408,1727461623.72783
362,407,1727461623.74393
363,407,1727461623.746326
364,407,1727461623.7568278
364,406,1727461623.7630029
365,405,1727461623.774383
366,405,1727461623.777398
366,404,1727461623.780073
367,403,1727461623.792895
367,402,1727461623.7943628
369,401,1727461623.7976499
369,400,1727461623.806331
370,399,1727461623.811612
371,398,1727461623.81405
371,397,1727461623.825782
373,396,1727461623.827591
374,394,1727461623.8399968
375,393,1727461623.846936
375,392,1727461623.856991
376,392,1727461623.857375
376,391,1727461623.861977
377,390,1727461623.862943
378,389,1727461623.875967
378,388,1727461623.87744
380,388,1727461623.880234
381,386,1727461623.889868
382,386,1727461623.8949928
382,385,1727461623.896678
384,384,1727461623.907991
385,383,1727461623.910667
385,382,1727461623.913582
387,381,1727461623.924254
389,380,1727461623.930877
389,379,1727461623.94137
391,379,1727461623.944104
391,378,1727461623.947365
392,377,1727461623.956513
393,377,1727461623.96082
394,376,1727461623.966243
394,375,1727461623.976397
395,375,1727461623.977695
396,373,1727461623.989702
397,373,1727461623.994714
397,372,1727461623.998126
398,371,1727461624.006591
399,371,1727461624.0105112
399,370,1727461624.014166
401,369,1727461624.02491
401,368,1727461624.027144
402,368,1727461624.031041
403,367,1727461624.043087
405,365,1727461624.056305
406,364,1727461624.062037
407,364,1727461624.063203
408,362,1727461624.0812328
409,362,1727461624.081704
410,360,1727461624.089776
411,360,1727461624.098637
412,358,1727461624.106821
412,357,1727461624.113587
413,357,1727461624.123917
414,356,1727461624.127058
414,355,1727461624.140245
415,355,1727461624.145229
416,355,1727461624.147958
417,354,1727461624.162845
417,353,1727461624.164368
417,352,1727461624.173093
418,352,1727461624.177166
419,351,1727461624.1829062
419,350,1727461624.190889
420,350,1727461624.193432
421,349,1727461624.197241
421,348,1727461624.205843
422,348,1727461624.21101
422,347,1727461624.216788
423,347,1727461624.2226582
423,346,1727461624.227757
424,345,1727461624.239629
425,345,1727461624.247539
425,344,1727461624.27492
426,344,1727461624.278878
426,343,1727461624.289749
426,342,1727461624.306746
426,341,1727461624.314373
426,340,1727461624.3231308
425,340,1727461624.330322
425,339,1727461624.332059
424,338,1727461624.3449569
423,338,1727461624.356357
423,337,1727461624.361034
422,337,1727461624.37693
421,337,1727461624.380476
421,336,1727461624.389431
421,335,1727461624.411249
420,335,1727461624.4139469
419,334,1727461624.430557
419,333,1727461624.445793
419,332,1727461624.457197
419,331,1727461624.464111
419,330,1727461624.474825
419,329,1727461624.477997
419,328,1727461624.490814
419,327,1727461624.494268
419,326,1727461624.496921
419,324,1727461624.512128
419,322,1727461624.5260549
419,321,1727461624.527852
419,319,1727461624.5399392
419,318,1727461624.5449338
419,316,1727461624.556565
419,314,1727461624.565212
419,313,1727461624.5759099
419,312,1727461624.576631
419,311,1727461624.577944
419,309,1727461624.5898628
419,308,1727461624.59428
419,307,1727461624.5984151
419,306,1727461624.606601
419,305,1727461624.610361
419,304,1727461624.613942
419,303,1727461624.6265512
419,302,1727461624.627371
419,301,1727461624.630711
419,300,1727461624.640082
419,299,1727461624.6449192
419,298,1727461624.647692
419,296,1727461624.656699
419,295,1727461624.660552
419,294,1727461624.6634
419,293,1727461624.675264
419,292,1727461624.6775198
419,291,1727461624.680477
419,290,1727461624.6891289
419,289,1727461624.6942642
419,287,1727461624.710072
419,286,1727461624.7146308
419,285,1727461624.723745
419,284,1727461624.7286248
419,283,1727461624.731819
419,282,1727461624.7429419
419,281,1727461624.7451258
419,279,1727461624.756626
419,278,1727461624.7618618
419,277,1727461624.764096
419,276,1727461624.772912
419,275,1727461624.779392
419,274,1727461624.781738
419,272,1727461624.789692
420,271,1727461624.794878
421,269,1727461624.808149
421,268,1727461624.8119192
421,267,1727461624.8238919
421,266,1727461624.8288572
422,265,1727461624.845193
423,264,1727461624.846227
423,263,1727461624.847527
423,262,1727461624.856095
423,261,1727461624.862493
424,261,1727461624.864137
425,259,1727461624.8736079
425,258,1727461624.878847
426,258,1727461624.880857
426,256,1727461624.890431
427,255,1727461624.8946009
428,254,1727461624.897588
428,253,1727461624.908705
428,252,1727461624.911308
429,251,1727461624.914121
429,250,1727461624.921706
430,249,1727461624.922889
430,248,1727461624.928124
430,247,1727461624.9382951
430,246,1727461624.939338
430,245,1727461624.9484081
431,244,1727461624.957003
431,243,1727461624.9605591
431,242,1727461624.973294
431,241,1727461624.978522
430,239,1727461624.990328
430,238,1727461624.997386
430,237,1727461625.007621
430,236,1727461625.010515
430,235,1727461625.014133
430,234,1727461625.023395
429,232,1727461625.038193
428,231,1727461625.046536
428,230,1727461625.055587
427,229,1727461625.0742579
426,229,1727461625.080713
426,228,1727461625.090007
425,227,1727461625.111978
424,226,1727461625.131406
423,226,1727461625.1452239
423,225,1727461625.155092
422,224,1727461625.1901069
421,224,1727461625.221502
421,223,1727461625.249033
421,222,1727461625.445039
420,221,1727461625.456645
419,221,1727461625.464278
419,220,1727461625.482676
418,219,1727461625.491037
417,219,1727461625.500124
417,218,1727461625.505515
417,217,1727461625.511592
416,217,1727461625.514299
416,216,1727461625.522219
415,216,1727461625.5231402
414,215,1727461625.533174
414,214,1727461625.542233
413,214,1727461625.544567
412,213,1727461625.561429
411,212,1727461625.5641348
410,212,1727461625.571378
410,211,1727461625.572937
410,210,1727461625.578603
409,210,1727461625.581238
408,210,1727461625.5884109
408,209,1727461625.591789
407,209,1727461625.5958872
406,208,1727461625.604928
405,207,1727461625.612544
404,207,1727461625.615029
403,206,1727461625.6280792
401,205,1727461625.6305768
400,205,1727461625.6391501
399,204,1727461625.641075
398,204,1727461625.645896
398,203,1727461625.648364
397,203,1727461625.6553469
396,202,1727461625.6573598
394,201,1727461625.6648571
394,200,1727461625.6744251
392,200,1727461625.67809
392,199,1727461625.683372
391,199,1727461625.689374
391,198,1727461625.6899781
389,198,1727461625.6970031
389,197,1727461625.698904
387,196,1727461625.709375
386,196,1727461625.711958
385,195,1727461625.714619
382,194,1727461625.727833
380,193,1727461625.73121
380,192,1727461625.739579
378,192,1727461625.739983
376,191,1727461625.748682
374,190,1727461625.757524
373,189,1727461625.764659
371,188,1727461625.773219
370,187,1727461625.781657
369,185,1727461625.791533
367,185,1727461625.79509
365,184,1727461625.809102
364,183,1727461625.8120818
363,182,1727461625.8147259
362,182,1727461625.822943
362,181,1727461625.823342
360,180,1727461625.8289669
358,179,1727461625.839849
357,178,1727461625.840471
357,177,1727461625.84523
356,177,1727461625.847651
355,175,1727461625.861485
353,174,1727461625.8632572
353,173,1727461625.871729
352,172,1727461625.873297
351,171,1727461625.879376
