x,y,time
251,391,1727468100.207386
250,392,1727468100.215935
251,391,1727468100.245141
251,389,1727468100.256792
252,387,1727468100.262451
252,385,1727468100.26579
254,380,1727468100.273588
255,377,1727468100.2797031
255,373,1727468100.2823098
257,364,1727468100.290317
257,359,1727468100.296198
258,354,1727468100.299619
261,344,1727468100.309418
262,339,1727468100.3125381
263,334,1727468100.316034
266,325,1727468100.327203
267,321,1727468100.328875
269,316,1727468100.331618
272,306,1727468100.343489
274,302,1727468100.3452039
275,298,1727468100.348487
279,289,1727468100.360267
280,284,1727468100.3626602
281,280,1727468100.3653498
282,275,1727468100.3735301
284,271,1727468100.374392
285,267,1727468100.3799129
286,262,1727468100.382775
287,258,1727468100.390314
288,253,1727468100.391953
290,248,1727468100.397506
291,244,1727468100.399275
293,240,1727468100.406971
294,236,1727468100.408514
296,231,1727468100.412239
297,227,1727468100.4170449
299,219,1727468100.42457
301,215,1727468100.429305
302,211,1727468100.4320729
304,205,1727468100.4436831
305,202,1727468100.446956
306,200,1727468100.448535
307,197,1727468100.456737
308,195,1727468100.45734
310,193,1727468100.463177
310,192,1727468100.46551
312,189,1727468100.473693
314,188,1727468100.479899
315,187,1727468100.481782
317,185,1727468100.492161
317,184,1727468100.496235
318,183,1727468100.4986072
319,182,1727468100.5074408
320,181,1727468100.513655
321,181,1727468100.51823
322,181,1727468100.52467
323,181,1727468100.5287418
323,180,1727468100.5326972
324,180,1727468100.541216
326,180,1727468100.551401
327,180,1727468100.5581372
328,181,1727468100.5625842
329,181,1727468100.5668008
329,182,1727468100.574626
330,182,1727468100.5755851
332,183,1727468100.5797591
333,183,1727468100.581341
335,185,1727468100.5920682
336,186,1727468100.596031
338,187,1727468100.5997639
340,187,1727468100.60687
341,188,1727468100.6074932
342,189,1727468100.61277
344,190,1727468100.616621
345,191,1727468100.623483
347,192,1727468100.625052
347,193,1727468100.6287029
349,194,1727468100.633583
351,195,1727468100.640308
352,196,1727468100.641162
352,198,1727468100.647095
353,199,1727468100.648391
357,201,1727468100.657229
358,203,1727468100.663131
359,204,1727468100.6651251
361,206,1727468100.673481
363,207,1727468100.674336
364,209,1727468100.678832
365,211,1727468100.6829739
366,213,1727468100.6899881
368,215,1727468100.690629
369,217,1727468100.696341
370,219,1727468100.700465
371,221,1727468100.7069519
371,223,1727468100.707873
372,225,1727468100.712704
373,227,1727468100.715759
374,229,1727468100.7235498
375,231,1727468100.723946
376,234,1727468100.729698
377,237,1727468100.7319832
378,239,1727468100.740476
380,242,1727468100.741189
381,245,1727468100.746388
383,247,1727468100.7491882
383,250,1727468100.756972
384,253,1727468100.757619
387,259,1727468100.766696
388,262,1727468100.773525
388,265,1727468100.77405
389,267,1727468100.779867
389,271,1727468100.7826161
390,273,1727468100.790206
391,276,1727468100.791329
392,279,1727468100.796472
392,282,1727468100.798599
393,286,1727468100.806915
394,289,1727468100.8086138
395,292,1727468100.8134038
395,295,1727468100.8152199
395,298,1727468100.8236108
398,309,1727468100.8332942
399,312,1727468100.8403149
399,315,1727468100.841092
400,318,1727468100.846663
401,322,1727468100.849028
401,326,1727468100.856852
402,330,1727468100.858239
403,333,1727468100.863168
404,337,1727468100.865909
404,340,1727468100.873524
405,344,1727468100.8739688
405,348,1727468100.879532
406,352,1727468100.8834581
406,355,1727468100.8901792
407,359,1727468100.8910358
407,362,1727468100.896637
407,365,1727468100.900202
407,367,1727468100.906825
407,370,1727468100.9086359
408,372,1727468100.913565
408,374,1727468100.916058
408,375,1727468100.923625
408,377,1727468100.924032
408,378,1727468100.928896
409,380,1727468100.932478
409,381,1727468100.9401972
409,382,1727468100.9410062
411,387,1727468100.973666
411,386,1727468100.9969459
411,384,1727468101.000787
275,302,1727468101.400348
276,302,1727468101.412962
278,302,1727468101.415541
279,302,1727468101.422582
281,302,1727468101.424614
283,302,1727468101.432157
286,302,1727468101.441499
287,302,1727468101.445813
289,301,1727468101.448885
291,301,1727468101.456765
293,300,1727468101.4584162
296,299,1727468101.463627
298,299,1727468101.46557
303,297,1727468101.474692
305,297,1727468101.479517
306,296,1727468101.4819899
309,296,1727468101.489258
311,295,1727468101.491675
313,295,1727468101.496139
316,295,1727468101.4991438
318,294,1727468101.5061471
321,294,1727468101.5081868
323,294,1727468101.5132558
325,294,1727468101.517023
329,294,1727468101.525992
330,294,1727468101.528985
333,293,1727468101.5321112
335,293,1727468101.540027
336,293,1727468101.541919
339,293,1727468101.5459871
341,292,1727468101.549393
344,292,1727468101.5563269
345,292,1727468101.560106
347,292,1727468101.563634
349,292,1727468101.567785
351,291,1727468101.574448
352,291,1727468101.575344
353,291,1727468101.57987
356,291,1727468101.585357
357,291,1727468101.5900958
359,291,1727468101.591282
361,291,1727468101.597196
363,291,1727468101.599745
365,291,1727468101.6076071
366,291,1727468101.609167
368,291,1727468101.613827
369,291,1727468101.617273
371,291,1727468101.6236548
372,290,1727468101.6257448
373,290,1727468101.630035
374,290,1727468101.6345239
376,290,1727468101.640147
377,290,1727468101.641313
378,290,1727468101.646647
380,290,1727468101.650074
381,290,1727468101.65695
382,290,1727468101.657346
383,290,1727468101.663417
384,290,1727468101.6668758
386,290,1727468101.674901
387,290,1727468101.6799748
388,290,1727468101.6920698
388,289,1727468101.692659
