x,y,time
482,189,1727468137.122876
480,189,1727468137.1258519
479,188,1727468137.1283112
478,187,1727468137.133962
477,187,1727468137.141079
476,186,1727468137.142619
474,186,1727468137.1439219
473,185,1727468137.149503
472,185,1727468137.158278
471,184,1727468137.1611898
469,184,1727468137.169284
467,184,1727468137.175744
466,183,1727468137.177788
464,183,1727468137.183122
461,183,1727468137.1913118
461,182,1727468137.1948779
459,182,1727468137.201694
458,181,1727468137.20678
457,181,1727468137.209126
455,180,1727468137.212079
454,179,1727468137.216705
452,178,1727468137.2251918
451,177,1727468137.228081
449,176,1727468137.2333739
447,175,1727468137.241936
445,174,1727468137.244421
443,174,1727468137.2500029
442,173,1727468137.2569861
440,173,1727468137.2598221
438,172,1727468137.2613602
436,172,1727468137.267174
435,172,1727468137.273484
432,171,1727468137.2755551
431,171,1727468137.278261
429,171,1727468137.2843661
427,171,1727468137.290299
425,171,1727468137.291609
423,171,1727468137.294407
420,171,1727468137.301929
418,171,1727468137.307134
416,171,1727468137.3094249
414,171,1727468137.312444
412,171,1727468137.317552
410,171,1727468137.3235688
407,171,1727468137.325336
406,172,1727468137.328285
401,172,1727468137.341096
399,173,1727468137.341849
396,174,1727468137.345568
394,174,1727468137.3496041
392,175,1727468137.3567622
390,176,1727468137.358338
388,177,1727468137.3619761
386,178,1727468137.367
383,179,1727468137.373607
381,180,1727468137.37505
378,182,1727468137.378305
376,183,1727468137.3839848
374,184,1727468137.390199
371,186,1727468137.392429
369,188,1727468137.395793
366,190,1727468137.399798
365,192,1727468137.406865
363,194,1727468137.409368
361,196,1727468137.41081
359,198,1727468137.41771
357,200,1727468137.423556
353,203,1727468137.425023
352,205,1727468137.428372
350,207,1727468137.433614
348,209,1727468137.440274
345,214,1727468137.444957
344,217,1727468137.449763
342,219,1727468137.456888
340,224,1727468137.466499
338,227,1727468137.4668648
336,230,1727468137.4736152
335,232,1727468137.476088
334,235,1727468137.4792662
333,237,1727468137.4840372
332,240,1727468137.490199
330,243,1727468137.49189
329,245,1727468137.495869
329,247,1727468137.4999511
329,250,1727468137.506911
329,253,1727468137.509193
328,256,1727468137.5115662
328,259,1727468137.516939
328,262,1727468137.523364
327,267,1727468137.5303822
327,270,1727468137.532973
327,273,1727468137.5399969
327,275,1727468137.542376
327,279,1727468137.5449028
327,281,1727468137.55014
327,284,1727468137.5569332
327,286,1727468137.5586371
328,289,1727468137.562294
328,291,1727468137.566436
328,294,1727468137.5734231
329,296,1727468137.575437
329,298,1727468137.5786119
329,300,1727468137.583977
329,302,1727468137.590218
330,304,1727468137.59357
331,306,1727468137.595844
332,308,1727468137.59918
333,310,1727468137.60703
334,311,1727468137.6084921
334,313,1727468137.611903
335,314,1727468137.6165981
336,316,1727468137.62369
338,317,1727468137.625888
339,319,1727468137.627775
340,321,1727468137.633367
341,322,1727468137.640896
342,324,1727468137.643121
344,326,1727468137.6454048
346,327,1727468137.6499488
347,329,1727468137.656907
347,330,1727468137.65887
349,331,1727468137.661685
350,332,1727468137.667261
352,334,1727468137.673377
353,335,1727468137.675413
354,336,1727468137.678369
357,337,1727468137.6843488
359,338,1727468137.690144
360,339,1727468137.691927
363,340,1727468137.694988
365,341,1727468137.700474
366,342,1727468137.706832
368,343,1727468137.709707
370,344,1727468137.711066
371,345,1727468137.7173738
373,345,1727468137.7235231
375,346,1727468137.725667
376,347,1727468137.729064
378,347,1727468137.73406
381,348,1727468137.74019
383,349,1727468137.741471
385,349,1727468137.744875
387,350,1727468137.7502432
389,350,1727468137.756785
391,351,1727468137.75854
393,351,1727468137.761121
395,352,1727468137.767102
397,352,1727468137.773608
399,352,1727468137.774849
401,353,1727468137.778688
404,353,1727468137.784353
407,353,1727468137.790168
409,353,1727468137.79274
411,353,1727468137.7954712
413,353,1727468137.800382
415,353,1727468137.8056252
417,353,1727468137.808751
419,353,1727468137.8116019
422,353,1727468137.816471
424,353,1727468137.8222778
426,352,1727468137.8253682
428,352,1727468137.8279061
431,352,1727468137.8331468
432,352,1727468137.8393312
435,352,1727468137.842058
436,352,1727468137.845176
438,351,1727468137.850778
440,351,1727468137.857862
442,351,1727468137.85867
443,351,1727468137.862786
446,350,1727468137.866699
448,350,1727468137.872591
450,349,1727468137.875417
452,349,1727468137.8804858
454,348,1727468137.885536
455,348,1727468137.88944
457,347,1727468137.8924632
459,346,1727468137.8947892
460,346,1727468137.9002671
461,345,1727468137.908632
464,344,1727468137.9091918
465,343,1727468137.9118662
467,342,1727468137.917513
469,341,1727468137.923585
471,341,1727468137.92562
473,340,1727468137.930172
474,339,1727468137.935989
476,338,1727468137.94012
478,337,1727468137.942017
479,337,1727468137.945207
479,336,1727468137.950468
480,335,1727468137.9568372
482,335,1727468137.959239
483,334,1727468137.962757
484,333,1727468137.969034
485,333,1727468137.973408
486,332,1727468137.9757922
487,332,1727468137.97924
490,330,1727468137.994129
491,329,1727468138.0008042
492,328,1727468138.0119958
493,327,1727468138.02569
494,327,1727468138.0345018
494,326,1727468138.042002
495,325,1727468138.0563142
495,324,1727468138.062479
495,323,1727468138.075331
495,322,1727468138.091289
496,322,1727468138.107483
496,321,1727468138.1127071
