x,y,time
166,222,1727468076.4662578
166,223,1727468076.472445
166,224,1727468076.493812
167,224,1727468076.560826
168,224,1727468076.598773
169,224,1727468076.616653
170,224,1727468076.618159
171,223,1727468076.627017
172,223,1727468076.635467
174,223,1727468076.652863
176,222,1727468076.6590998
177,222,1727468076.662166
179,222,1727468076.667973
180,222,1727468076.677383
182,222,1727468076.681937
183,222,1727468076.688898
184,222,1727468076.690702
185,221,1727468076.6932118
187,221,1727468076.698642
188,221,1727468076.701235
192,221,1727468076.715591
194,221,1727468076.7193332
195,221,1727468076.724489
197,221,1727468076.726448
198,221,1727468076.739617
200,221,1727468076.7402828
202,221,1727468076.743613
203,221,1727468076.749331
204,221,1727468076.759017
206,221,1727468076.760268
207,221,1727468076.765501
209,221,1727468076.768181
210,221,1727468076.774486
212,221,1727468076.7777832
214,221,1727468076.784456
216,221,1727468076.79031
218,221,1727468076.7941172
220,221,1727468076.801327
221,221,1727468076.8070168
222,221,1727468076.8073971
224,220,1727468076.810715
225,220,1727468076.816695
226,220,1727468076.818399
227,220,1727468076.824689
229,220,1727468076.827438
231,220,1727468076.834062
233,220,1727468076.8351831
234,220,1727468076.841429
237,220,1727468076.8437052
238,220,1727468076.849552
241,220,1727468076.857323
243,220,1727468076.860515
244,220,1727468076.866372
248,220,1727468076.8737888
249,220,1727468076.8778849
251,220,1727468076.88288
252,220,1727468076.88522
255,220,1727468076.8909829
257,220,1727468076.894531
258,220,1727468076.89944
261,220,1727468076.906811
263,220,1727468076.9079711
264,220,1727468076.910346
266,220,1727468076.918019
268,220,1727468076.918905
269,220,1727468076.924513
272,220,1727468076.928101
274,220,1727468076.933413
275,220,1727468076.940371
279,220,1727468076.940788
281,220,1727468076.9447
282,220,1727468076.948786
285,220,1727468076.952215
286,220,1727468076.957953
288,220,1727468076.961236
290,220,1727468076.96562
292,219,1727468076.968679
294,219,1727468076.974879
297,219,1727468076.9777899
299,219,1727468076.983833
301,219,1727468076.990134
304,219,1727468076.9912078
305,219,1727468076.993609
308,219,1727468077.001225
311,219,1727468077.007327
313,219,1727468077.0113559
316,219,1727468077.016275
317,219,1727468077.018676
320,219,1727468077.024142
322,219,1727468077.028069
324,219,1727468077.033104
326,219,1727468077.035347
329,219,1727468077.041046
330,219,1727468077.0433831
332,219,1727468077.048624
334,219,1727468077.051759
335,219,1727468077.05842
338,219,1727468077.0611682
340,219,1727468077.065815
342,219,1727468077.068356
344,219,1727468077.075129
346,219,1727468077.077353
348,219,1727468077.082937
350,219,1727468077.090236
352,219,1727468077.090642
353,219,1727468077.0949209
356,219,1727468077.0995462
360,219,1727468077.107193
363,219,1727468077.1118562
365,220,1727468077.116101
368,220,1727468077.123582
370,220,1727468077.1253362
371,220,1727468077.127132
373,220,1727468077.1342132
375,220,1727468077.135322
380,220,1727468077.1446688
382,220,1727468077.149676
384,220,1727468077.151613
387,220,1727468077.1579258
389,220,1727468077.1604202
392,220,1727468077.1656
395,220,1727468077.1764271
398,220,1727468077.1771939
400,220,1727468077.1892228
402,221,1727468077.189815
405,221,1727468077.190753
407,221,1727468077.194077
410,221,1727468077.200491
412,221,1727468077.201699
414,221,1727468077.208561
417,221,1727468077.211221
418,221,1727468077.215898
424,221,1727468077.227371
426,221,1727468077.22803
431,220,1727468077.23999
434,220,1727468077.240868
436,220,1727468077.2452621
437,220,1727468077.250539
442,220,1727468077.258223
444,220,1727468077.2602801
447,220,1727468077.265632
449,220,1727468077.267919
452,220,1727468077.274623
454,220,1727468077.277245
456,220,1727468077.283027
459,220,1727468077.288946
461,220,1727468077.291014
463,220,1727468077.293476
466,220,1727468077.30202
471,220,1727468077.307459
473,220,1727468077.312247
476,220,1727468077.3163378
478,220,1727468077.323083
480,220,1727468077.3248289
482,220,1727468077.326574
484,220,1727468077.3337479
488,220,1727468077.335645
490,220,1727468077.3411121
492,220,1727468077.345311
495,220,1727468077.3505542
499,220,1727468077.3581288
501,220,1727468077.360624
503,220,1727468077.366142
505,220,1727468077.368903
507,220,1727468077.3748841
509,220,1727468077.3777611
511,220,1727468077.383053
514,219,1727468077.385088
515,219,1727468077.392162
516,219,1727468077.3939998
518,219,1727468077.400701
520,219,1727468077.408718
521,218,1727468077.410054
522,218,1727468077.416752
523,218,1727468077.4189131
524,218,1727468077.42484
525,218,1727468077.434477
526,218,1727468077.442168
