x,y,time
341,124,1727462648.119021
340,124,1727462648.124165
340,125,1727462648.1265018
339,125,1727462648.131579
339,126,1727462648.136895
339,127,1727462648.142436
339,128,1727462648.146577
339,130,1727462648.156991
339,131,1727462648.158435
338,133,1727462648.1639638
338,135,1727462648.1681862
337,137,1727462648.1729999
337,139,1727462648.176102
336,142,1727462648.181064
335,144,1727462648.184953
335,148,1727462648.189266
333,152,1727462648.192309
332,156,1727462648.197935
331,160,1727462648.2018392
330,166,1727462648.206124
328,170,1727462648.209541
326,175,1727462648.213251
324,181,1727462648.2189991
322,187,1727462648.2217522
320,193,1727462648.225491
317,200,1727462648.230505
315,206,1727462648.235252
314,212,1727462648.238909
312,219,1727462648.2417762
310,226,1727462648.2481742
308,233,1727462648.251901
307,241,1727462648.256063
305,249,1727462648.258972
303,257,1727462648.26425
301,266,1727462648.2694862
298,274,1727462648.27316
296,283,1727462648.275533
294,293,1727462648.280688
292,301,1727462648.2862332
290,310,1727462648.29
289,318,1727462648.292355
287,328,1727462648.297554
285,336,1727462648.302974
284,346,1727462648.305574
283,353,1727462648.309418
281,361,1727462648.314427
280,368,1727462648.3197372
278,375,1727462648.3230982
278,382,1727462648.326289
276,389,1727462648.330783
276,394,1727462648.336464
274,399,1727462648.340346
273,403,1727462648.343343
273,408,1727462648.347276
273,412,1727462648.352763
273,415,1727462648.3558779
273,417,1727462648.360393
273,419,1727462648.364251
273,421,1727462648.369396
273,422,1727462648.375666
273,421,1727462648.386196
274,420,1727462648.389806
274,417,1727462648.392214
369,104,1727462648.6926951
369,105,1727462648.706631
370,106,1727462648.709716
371,107,1727462648.714636
371,109,1727462648.719967
373,111,1727462648.723066
373,112,1727462648.72594
376,116,1727462648.737053
378,117,1727462648.739479
380,119,1727462648.7426429
384,123,1727462648.753162
387,125,1727462648.755754
389,127,1727462648.759285
394,133,1727462648.76974
396,137,1727462648.773314
398,140,1727462648.776032
400,144,1727462648.7811651
402,148,1727462648.786418
405,153,1727462648.789977
407,158,1727462648.792876
410,164,1727462648.7978728
412,169,1727462648.8029592
414,175,1727462648.806262
415,181,1727462648.8094149
417,187,1727462648.8147242
419,193,1727462648.819861
421,200,1727462648.822285
423,206,1727462648.826199
426,211,1727462648.8310158
429,219,1727462648.83652
432,225,1727462648.840117
435,232,1727462648.842429
437,240,1727462648.847848
439,246,1727462648.8530629
442,252,1727462648.856676
444,259,1727462648.859083
448,267,1727462648.864418
451,274,1727462648.8697112
454,282,1727462648.873674
457,288,1727462648.875448
461,303,1727462648.8863502
464,310,1727462648.890362
467,317,1727462648.8927019
469,325,1727462648.897779
472,332,1727462648.902791
475,338,1727462648.906207
478,345,1727462648.90941
480,351,1727462648.9142778
482,358,1727462648.919741
483,364,1727462648.924034
485,370,1727462648.92676
491,381,1727462648.936574
492,386,1727462648.9400132
495,392,1727462648.944326
498,400,1727462648.953076
500,404,1727462648.955464
501,408,1727462648.959764
505,416,1727462648.969831
506,419,1727462648.972356
507,420,1727462648.975987
509,423,1727462648.98134
510,424,1727462648.9864252
511,425,1727462648.990156
512,426,1727462648.9929512
512,427,1727462648.998167
513,427,1727462649.0095072
514,427,1727462649.010255
514,426,1727462649.010609
515,425,1727462649.0146172
516,422,1727462649.0205052
517,419,1727462649.024605
519,415,1727462649.025554
289,304,1727462649.385355
290,305,1727462649.407116
291,305,1727462649.4087648
292,305,1727462649.411794
294,305,1727462649.414485
296,306,1727462649.418321
298,306,1727462649.423809
301,306,1727462649.426013
303,306,1727462649.4352288
306,306,1727462649.4354088
309,306,1727462649.441155
312,306,1727462649.4431849
321,304,1727462649.453129
326,303,1727462649.4577532
332,302,1727462649.459913
344,299,1727462649.468503
355,296,1727462649.477288
362,294,1727462649.4815621
368,293,1727462649.485544
374,292,1727462649.490856
379,291,1727462649.492369
385,291,1727462649.497841
390,291,1727462649.504012
396,290,1727462649.5064662
401,290,1727462649.510795
407,290,1727462649.514103
412,289,1727462649.518896
417,289,1727462649.52528
435,290,1727462649.542318
439,290,1727462649.544259
446,291,1727462649.5525289
451,291,1727462649.556844
455,291,1727462649.5610418
460,291,1727462649.569387
462,291,1727462649.574673
464,291,1727462649.5759501
465,291,1727462649.586251
467,291,1727462649.586441
469,291,1727462649.590427
471,291,1727462649.6063209
473,290,1727462649.611825
