x,y,time
271,101,1727462667.180801
270,101,1727462667.186662
269,102,1727462667.18725
269,103,1727462667.194575
269,104,1727462667.203394
269,106,1727462667.20829
269,107,1727462667.211187
269,109,1727462667.218205
269,111,1727462667.220066
269,113,1727462667.2249768
270,115,1727462667.2282
271,117,1727462667.235216
271,119,1727462667.236468
271,122,1727462667.2416892
271,125,1727462667.243901
271,128,1727462667.2516181
272,131,1727462667.253012
272,136,1727462667.257984
272,140,1727462667.261312
272,145,1727462667.26853
272,150,1727462667.2702231
271,156,1727462667.275002
271,162,1727462667.277953
270,168,1727462667.285266
269,175,1727462667.286845
268,183,1727462667.291486
267,190,1727462667.294761
266,198,1727462667.3034828
265,207,1727462667.3038661
264,216,1727462667.308226
262,227,1727462667.311071
260,246,1727462667.3217332
258,257,1727462667.32504
257,269,1727462667.3282309
255,281,1727462667.334851
254,294,1727462667.337183
253,305,1727462667.34176
251,317,1727462667.34445
251,329,1727462667.355339
248,354,1727462667.360339
248,368,1727462667.361737
247,391,1727462667.370543
247,402,1727462667.375339
246,413,1727462667.377502
246,435,1727462667.387601
246,444,1727462667.391509
246,454,1727462667.3947258
246,463,1727462667.402399
246,473,1727462667.403344
246,481,1727462667.41154
246,491,1727462667.41199
246,513,1727462667.424673
246,521,1727462667.428633
246,527,1727462667.43587
247,533,1727462667.436898
247,538,1727462667.441953
248,543,1727462667.444864
248,547,1727462667.452509
248,550,1727462667.454587
248,552,1727462667.45886
248,553,1727462667.461
249,553,1727462667.474174
249,552,1727462667.475147
251,550,1727462667.4784021
251,546,1727462667.485963
252,541,1727462667.4873002
253,535,1727462667.491591
255,527,1727462667.4946282
269,116,1727462667.818251
267,115,1727462667.8210151
266,115,1727462667.824974
266,114,1727462667.8287518
266,113,1727462667.83778
267,111,1727462667.855839
269,110,1727462667.8588312
271,109,1727462667.861312
275,108,1727462667.8692322
279,106,1727462667.870456
302,97,1727462667.890721
309,95,1727462667.892779
317,92,1727462667.895265
325,91,1727462667.902761
333,89,1727462667.903903
342,87,1727462667.910215
349,86,1727462667.911207
357,85,1727462667.9196868
365,84,1727462667.920893
373,84,1727462667.925571
382,83,1727462667.928144
389,83,1727462667.936249
397,83,1727462667.937174
430,85,1727462667.957932
437,86,1727462667.960174
444,87,1727462667.961547
460,90,1727462667.973568
467,92,1727462667.975998
475,94,1727462667.978026
481,95,1727462667.9860349
487,97,1727462667.987147
494,100,1727462667.9925818
500,102,1727462667.9954402
505,105,1727462668.00294
512,109,1727462668.004199
517,112,1727462668.009263
521,115,1727462668.012309
525,119,1727462668.0196211
528,123,1727462668.021734
532,127,1727462668.025413
536,131,1727462668.0287528
541,141,1727462668.037697
542,145,1727462668.042591
543,150,1727462668.044827
543,160,1727462668.055166
543,164,1727462668.059246
542,168,1727462668.062458
541,173,1727462668.0709949
539,178,1727462668.071371
536,183,1727462668.0756721
532,188,1727462668.078593
528,192,1727462668.0870779
525,197,1727462668.087651
520,202,1727462668.091591
516,206,1727462668.09657
509,211,1727462668.102997
503,216,1727462668.103368
496,221,1727462668.108557
489,226,1727462668.112236
481,231,1727462668.120506
473,236,1727462668.120903
464,242,1727462668.125022
455,248,1727462668.129264
437,258,1727462668.140501
428,263,1727462668.142984
419,268,1727462668.14521
410,274,1727462668.152761
401,278,1727462668.153168
392,283,1727462668.1586392
384,288,1727462668.161807
376,292,1727462668.1695008
367,296,1727462668.171534
359,301,1727462668.1756968
352,304,1727462668.178354
345,308,1727462668.1861272
337,311,1727462668.1869912
331,314,1727462668.19337
326,317,1727462668.195195
314,322,1727462668.205
310,324,1727462668.208978
306,325,1727462668.212217
303,326,1727462668.21964
299,327,1727462668.221504
296,328,1727462668.226076
294,328,1727462668.228419
292,329,1727462668.236267
291,329,1727462668.243096
292,328,1727462668.262196
296,327,1727462668.2711282
299,325,1727462668.276729
302,324,1727462668.278707
305,323,1727462668.287242
309,321,1727462668.287595
313,320,1727462668.292865
318,318,1727462668.295187
324,316,1727462668.302818
329,315,1727462668.303781
334,313,1727462668.309773
340,311,1727462668.3116438
346,310,1727462668.319618
352,308,1727462668.3205981
360,306,1727462668.3264189
367,304,1727462668.329417
382,301,1727462668.3378172
391,300,1727462668.342556
399,299,1727462668.345963
408,298,1727462668.35302
416,297,1727462668.3541021
423,297,1727462668.3592992
432,297,1727462668.363778
447,297,1727462668.3709068
456,298,1727462668.375836
462,299,1727462668.3788009
477,301,1727462668.388059
484,303,1727462668.39232
491,304,1727462668.3953788
509,310,1727462668.410584
515,312,1727462668.412996
521,314,1727462668.418265
525,316,1727462668.420395
530,319,1727462668.4257212
534,322,1727462668.429107
541,328,1727462668.4383218
544,331,1727462668.443032
546,334,1727462668.4455
548,337,1727462668.45197
550,341,1727462668.454321
551,344,1727462668.45906
553,348,1727462668.461975
555,356,1727462668.474633
555,360,1727462668.475522
555,363,1727462668.478845
555,371,1727462668.489321
554,374,1727462668.492633
553,378,1727462668.49517
551,381,1727462668.502544
549,384,1727462668.5046442
547,388,1727462668.511007
544,392,1727462668.512671
541,395,1727462668.520258
537,399,1727462668.521096
533,403,1727462668.5257359
528,406,1727462668.5291362
523,411,1727462668.536256
517,415,1727462668.5371149
512,419,1727462668.5428932
504,423,1727462668.545861
498,427,1727462668.552924
492,430,1727462668.5540931
484,435,1727462668.559901
469,442,1727462668.569571
460,446,1727462668.571093
454,449,1727462668.57643
446,452,1727462668.5787132
432,458,1727462668.589098
423,460,1727462668.592694
415,463,1727462668.595368
408,464,1727462668.603028
401,466,1727462668.604474
394,467,1727462668.610556
380,470,1727462668.619988
373,471,1727462668.621446
367,471,1727462668.626076
360,472,1727462668.629344
354,473,1727462668.6365309
348,473,1727462668.637613
343,473,1727462668.643349
337,474,1727462668.6448
332,474,1727462668.652871
327,474,1727462668.6548018
323,474,1727462668.659445
317,474,1727462668.662409
308,475,1727462668.6726139
305,475,1727462668.679728
302,476,1727462668.6802921
298,476,1727462668.686152
295,477,1727462668.6877499
292,477,1727462668.692307
289,477,1727462668.697366
288,477,1727462668.7028081
287,477,1727462668.703906
286,477,1727462668.708489
285,477,1727462668.7122371
