x,y,time
190,221,1727462630.108374
189,220,1727462630.1229608
190,220,1727462630.140619
191,220,1727462630.150989
192,220,1727462630.154709
194,220,1727462630.162004
196,220,1727462630.1704562
198,220,1727462630.179104
199,220,1727462630.1849222
200,220,1727462630.1872
201,220,1727462630.190083
204,219,1727462630.2024279
205,219,1727462630.204064
208,218,1727462630.207933
210,218,1727462630.211943
212,217,1727462630.214807
214,216,1727462630.221343
217,216,1727462630.2231581
220,215,1727462630.228703
223,215,1727462630.2313468
226,214,1727462630.237771
228,214,1727462630.239957
230,214,1727462630.2456079
234,213,1727462630.252288
237,213,1727462630.254064
241,213,1727462630.257076
244,212,1727462630.2628632
248,212,1727462630.2693172
251,211,1727462630.2711198
255,211,1727462630.2743192
259,211,1727462630.279544
262,211,1727462630.285759
266,211,1727462630.287966
270,211,1727462630.2904398
274,211,1727462630.2955
278,211,1727462630.302551
283,211,1727462630.305589
287,211,1727462630.306858
292,211,1727462630.312822
296,211,1727462630.319314
301,211,1727462630.320485
306,211,1727462630.324082
311,211,1727462630.329412
316,211,1727462630.3364182
321,211,1727462630.338857
326,211,1727462630.3403788
331,211,1727462630.34767
336,210,1727462630.3530471
342,210,1727462630.354196
348,210,1727462630.3571682
353,210,1727462630.3628118
359,209,1727462630.369277
365,209,1727462630.3708649
371,209,1727462630.3743548
378,208,1727462630.37976
383,208,1727462630.386508
389,208,1727462630.388062
396,207,1727462630.390792
401,207,1727462630.396224
408,206,1727462630.4031081
416,206,1727462630.404245
421,205,1727462630.407275
428,205,1727462630.4127622
434,204,1727462630.421288
440,203,1727462630.4216802
446,203,1727462630.424285
454,202,1727462630.429114
460,202,1727462630.437423
465,201,1727462630.4381099
471,200,1727462630.440177
478,200,1727462630.4470441
483,199,1727462630.454494
489,198,1727462630.4548328
494,198,1727462630.45786
500,197,1727462630.461569
505,196,1727462630.4699368
510,196,1727462630.4719942
514,195,1727462630.473918
520,194,1727462630.481979
523,193,1727462630.485727
528,193,1727462630.487805
531,192,1727462630.49055
535,192,1727462630.497914
543,191,1727462630.504305
546,191,1727462630.507334
548,191,1727462630.513224
551,191,1727462630.514754
554,191,1727462630.520839
557,191,1727462630.523515
560,191,1727462630.5301208
562,191,1727462630.536418
565,191,1727462630.538423
566,191,1727462630.5401201
571,190,1727462630.5530748
573,189,1727462630.555627
574,189,1727462630.556876
576,188,1727462630.563339
578,188,1727462630.569658
580,188,1727462630.574024
580,187,1727462630.579077
581,187,1727462630.581113
