x,y,time
233,141,1727462754.528967
232,141,1727462754.538733
233,141,1727462754.558851
235,141,1727462754.573351
236,141,1727462754.5780108
237,141,1727462754.586436
239,141,1727462754.592075
242,141,1727462754.603005
243,141,1727462754.607857
244,141,1727462754.611103
246,141,1727462754.6213639
248,141,1727462754.625328
249,141,1727462754.6272771
253,140,1727462754.637551
255,139,1727462754.641388
257,139,1727462754.6444302
258,139,1727462754.653816
260,139,1727462754.6543932
262,138,1727462754.6579509
264,138,1727462754.6609018
268,137,1727462754.67023
269,137,1727462754.6746209
271,136,1727462754.680251
273,136,1727462754.685497
276,135,1727462754.686238
278,135,1727462754.691303
280,135,1727462754.6947122
285,134,1727462754.7050502
287,133,1727462754.708283
289,133,1727462754.7108312
291,133,1727462754.719041
294,132,1727462754.720458
296,132,1727462754.7276301
298,131,1727462754.728579
304,131,1727462754.737383
307,130,1727462754.741127
310,130,1727462754.744898
314,129,1727462754.753582
317,128,1727462754.758142
320,128,1727462754.7652302
327,127,1727462754.7710562
330,127,1727462754.77532
333,127,1727462754.778156
335,126,1727462754.786462
338,126,1727462754.786845
342,126,1727462754.79133
345,125,1727462754.794162
348,125,1727462754.8028731
351,124,1727462754.8035321
355,124,1727462754.808504
357,123,1727462754.8117492
364,122,1727462754.820012
368,122,1727462754.8262
371,121,1727462754.827977
374,121,1727462754.8363361
378,120,1727462754.837448
381,120,1727462754.8420448
385,119,1727462754.844919
388,119,1727462754.853111
391,119,1727462754.8535192
394,118,1727462754.858725
397,118,1727462754.861485
401,117,1727462754.869684
403,117,1727462754.870472
407,117,1727462754.8751302
410,117,1727462754.877811
413,116,1727462754.886136
416,116,1727462754.8865979
419,116,1727462754.891673
421,115,1727462754.895257
424,115,1727462754.903208
433,114,1727462754.913641
436,114,1727462754.9197388
438,114,1727462754.9208121
439,114,1727462754.924756
442,114,1727462754.928394
444,114,1727462754.936159
446,114,1727462754.936995
448,113,1727462754.941453
453,113,1727462754.952277
455,113,1727462754.9529018
456,113,1727462754.958706
457,113,1727462754.96097
459,113,1727462754.968856
461,113,1727462754.9771981
462,113,1727462754.977718
463,113,1727462754.98544
464,113,1727462754.986646
465,113,1727462754.9924018
466,113,1727462754.994665
467,114,1727462755.005038
468,114,1727462755.008377
469,114,1727462755.0115101
470,114,1727462755.020633
471,114,1727462755.026934
472,114,1727462755.045162
472,115,1727462755.054147
473,115,1727462755.061735
473,116,1727462755.268749
473,117,1727462755.292414
474,117,1727462755.304843
475,117,1727462755.310648
475,118,1727462755.312032
475,119,1727462755.320259
476,119,1727462755.320674
476,120,1727462755.325234
477,121,1727462755.3383
478,122,1727462755.3417668
478,123,1727462755.353701
479,124,1727462755.3541
480,124,1727462755.3588648
480,125,1727462755.361742
480,126,1727462755.369535
481,127,1727462755.370475
482,128,1727462755.3764029
482,130,1727462755.3872068
483,131,1727462755.391834
483,132,1727462755.395108
485,134,1727462755.404515
485,135,1727462755.40844
485,136,1727462755.411948
486,138,1727462755.420866
487,139,1727462755.4254751
489,142,1727462755.4403121
489,143,1727462755.4460359
491,145,1727462755.45316
491,146,1727462755.45392
492,147,1727462755.459455
493,148,1727462755.4616141
494,150,1727462755.4700532
495,151,1727462755.477066
496,153,1727462755.4775648
496,154,1727462755.486411
498,155,1727462755.487187
498,157,1727462755.49129
500,159,1727462755.502887
501,161,1727462755.5037172
501,162,1727462755.5084789
503,163,1727462755.5122812
504,166,1727462755.520071
505,167,1727462755.52594
506,168,1727462755.530594
507,170,1727462755.536354
508,171,1727462755.536789
510,173,1727462755.542679
511,174,1727462755.544353
514,177,1727462755.5563068
516,179,1727462755.558589
517,180,1727462755.5616808
519,181,1727462755.569747
519,183,1727462755.570177
521,184,1727462755.576266
522,186,1727462755.578618
523,187,1727462755.586408
525,189,1727462755.586848
526,190,1727462755.592108
527,192,1727462755.5954611
528,194,1727462755.602914
530,195,1727462755.6041229
531,197,1727462755.608742
533,199,1727462755.611996
535,201,1727462755.619572
536,202,1727462755.6207979
538,204,1727462755.62588
539,206,1727462755.6284218
541,207,1727462755.636369
542,209,1727462755.637465
544,211,1727462755.643568
545,212,1727462755.644989
548,216,1727462755.655005
550,218,1727462755.659062
551,220,1727462755.661057
552,221,1727462755.669777
553,223,1727462755.671396
555,225,1727462755.675725
557,227,1727462755.678775
558,228,1727462755.688182
560,230,1727462755.68857
560,232,1727462755.691572
562,233,1727462755.695505
564,237,1727462755.703906
564,239,1727462755.709951
565,241,1727462755.7116601
566,243,1727462755.7202408
566,245,1727462755.7210271
567,246,1727462755.725415
568,248,1727462755.7296672
569,250,1727462755.7362921
569,251,1727462755.737492
570,253,1727462755.741819
571,255,1727462755.745264
571,256,1727462755.753799
572,258,1727462755.754307
573,260,1727462755.758931
575,263,1727462755.7697878
576,265,1727462755.77023
576,266,1727462755.7757912
577,268,1727462755.777996
578,271,1727462755.78911
579,273,1727462755.7925918
580,274,1727462755.7944498
580,276,1727462755.802923
582,277,1727462755.803566
582,279,1727462755.8096519
582,280,1727462755.8134122
583,282,1727462755.820537
583,284,1727462755.821842
584,285,1727462755.825953
585,287,1727462755.828591
585,290,1727462755.838146
586,291,1727462755.841878
587,292,1727462755.846158
588,295,1727462755.854387
