x,y,time
330,120,1727463028.2306519
330,119,1727463028.237371
328,118,1727463028.2393951
327,117,1727463028.241925
326,117,1727463028.247075
321,117,1727463028.2570748
319,117,1727463028.2592041
316,119,1727463028.2645152
313,121,1727463028.268219
310,124,1727463028.272844
308,127,1727463028.2754219
299,139,1727463028.289249
297,145,1727463028.2917418
294,150,1727463028.297354
292,156,1727463028.303206
289,161,1727463028.3061278
288,164,1727463028.308954
287,169,1727463028.3142369
285,174,1727463028.319853
283,179,1727463028.322473
280,185,1727463028.325535
278,191,1727463028.330446
269,215,1727463028.343853
267,224,1727463028.3475142
265,233,1727463028.3544981
264,242,1727463028.3563762
262,250,1727463028.358088
259,259,1727463028.364141
257,267,1727463028.369726
253,275,1727463028.372803
251,284,1727463028.3750248
248,291,1727463028.380856
246,297,1727463028.386234
242,312,1727463028.392452
241,319,1727463028.4017742
237,336,1727463028.407663
235,345,1727463028.4085948
233,354,1727463028.413721
232,362,1727463028.418886
230,372,1727463028.421429
230,381,1727463028.4254248
229,388,1727463028.4346108
228,396,1727463028.434784
228,402,1727463028.438709
228,409,1727463028.441605
228,414,1727463028.4478889
228,419,1727463028.453226
228,422,1727463028.455298
228,425,1727463028.458487
228,427,1727463028.463451
228,429,1727463028.468608
228,430,1727463028.4746509
228,431,1727463028.4760902
229,432,1727463028.487425
230,432,1727463028.487612
231,432,1727463028.489089
232,431,1727463028.4917939
233,430,1727463028.496916
235,428,1727463028.5030458
237,427,1727463028.5050838
239,424,1727463028.509439
241,421,1727463028.517605
242,417,1727463028.518202
244,413,1727463028.521677
244,408,1727463028.5250618
246,402,1727463028.529974
246,396,1727463028.535618
248,389,1727463028.5382452
248,382,1727463028.541675
249,374,1727463028.551275
251,364,1727463028.552011
252,355,1727463028.555889
253,344,1727463028.558489
255,332,1727463028.5692182
257,318,1727463028.569407
260,302,1727463028.572555
263,288,1727463028.575338
266,275,1727463028.585104
269,262,1727463028.585747
274,250,1727463028.5890749
278,239,1727463028.592151
284,228,1727463028.603193
287,220,1727463028.6033962
291,212,1727463028.60582
296,205,1727463028.6091142
305,193,1727463028.620467
345,82,1727463028.738921
344,82,1727463028.7429671
342,82,1727463028.752177
341,82,1727463028.752917
340,82,1727463028.755645
340,83,1727463028.7644181
341,84,1727463028.773031
342,84,1727463028.7756748
344,88,1727463028.788233
346,90,1727463028.789288
349,92,1727463028.7920482
351,96,1727463028.7969291
354,99,1727463028.8031402
357,103,1727463028.8089118
360,108,1727463028.8093262
365,113,1727463028.8187919
369,118,1727463028.8194392
374,125,1727463028.821912
379,131,1727463028.82565
384,138,1727463028.8303292
389,145,1727463028.83645
395,153,1727463028.838648
406,168,1727463028.847399
412,175,1727463028.853866
417,183,1727463028.856408
433,206,1727463028.871386
438,213,1727463028.871946
444,221,1727463028.876508
450,229,1727463028.8808582
456,238,1727463028.8863108
462,246,1727463028.889209
469,255,1727463028.892542
475,262,1727463028.897017
481,269,1727463028.903092
487,276,1727463028.906187
493,283,1727463028.909031
499,290,1727463028.914054
503,296,1727463028.9196851
507,301,1727463028.9316108
521,317,1727463028.9364622
524,322,1727463028.9391732
528,328,1727463028.9431522
532,333,1727463028.9467351
535,338,1727463028.954391
538,343,1727463028.9561942
540,347,1727463028.959199
541,351,1727463028.963671
543,355,1727463028.970655
544,358,1727463028.9732008
545,361,1727463028.975955
546,364,1727463028.9806201
546,367,1727463028.9878778
546,370,1727463028.989238
546,372,1727463028.9922822
546,374,1727463028.997807
546,376,1727463029.0032792
546,377,1727463029.0061262
546,379,1727463029.008932
285,274,1727463029.261791
283,275,1727463029.26673
280,275,1727463029.269682
279,275,1727463029.27316
278,275,1727463029.27575
280,275,1727463029.289887
285,274,1727463029.302801
287,274,1727463029.30589
289,274,1727463029.308806
294,274,1727463029.3145049
298,274,1727463029.321162
302,274,1727463029.3229282
307,273,1727463029.326601
312,273,1727463029.3305779
319,272,1727463029.3364239
328,271,1727463029.339056
336,270,1727463029.3432262
345,268,1727463029.347425
355,266,1727463029.3538618
365,264,1727463029.3562691
374,262,1727463029.359997
385,260,1727463029.364223
392,258,1727463029.3692758
401,257,1727463029.372561
409,255,1727463029.377457
417,254,1727463029.386425
437,252,1727463029.3961039
448,252,1727463029.403053
453,252,1727463029.406157
457,252,1727463029.4094138
460,252,1727463029.4197829
463,252,1727463029.419981
466,253,1727463029.4224262
469,253,1727463029.425581
473,254,1727463029.430563
476,254,1727463029.4364648
