x,y,time
333,86,1727463043.934915
333,85,1727463043.940439
331,85,1727463043.943415
330,84,1727463043.947513
329,84,1727463043.95591
328,84,1727463043.958954
327,84,1727463043.968619
326,84,1727463043.972385
324,84,1727463043.980383
323,85,1727463043.984776
323,86,1727463043.9896011
322,86,1727463043.992192
321,87,1727463043.997021
319,88,1727463044.001458
318,90,1727463044.007458
316,92,1727463044.009471
312,99,1727463044.018005
310,103,1727463044.022103
308,109,1727463044.0258229
305,122,1727463044.0347142
303,128,1727463044.03891
301,135,1727463044.043314
300,141,1727463044.047647
299,148,1727463044.051662
298,153,1727463044.055274
296,161,1727463044.059457
295,171,1727463044.0714
294,177,1727463044.0729449
294,183,1727463044.079263
292,195,1727463044.0852811
292,200,1727463044.089021
291,206,1727463044.092604
291,211,1727463044.097182
291,218,1727463044.1038709
290,224,1727463044.106219
290,229,1727463044.108994
290,234,1727463044.113961
290,239,1727463044.1212559
290,245,1727463044.1231859
289,263,1727463044.137099
289,269,1727463044.139006
289,276,1727463044.143332
289,290,1727463044.153347
289,297,1727463044.156806
289,304,1727463044.15871
288,310,1727463044.164377
288,317,1727463044.170753
287,324,1727463044.172595
287,332,1727463044.1766882
287,339,1727463044.180746
287,346,1727463044.186381
286,353,1727463044.190363
285,361,1727463044.192759
285,376,1727463044.203539
283,384,1727463044.2065
283,391,1727463044.209926
282,407,1727463044.219792
280,415,1727463044.2232058
280,422,1727463044.227672
280,430,1727463044.2302778
279,436,1727463044.237683
278,442,1727463044.240234
278,447,1727463044.2428741
277,458,1727463044.253011
277,463,1727463044.256247
276,467,1727463044.259041
276,471,1727463044.26443
276,475,1727463044.269757
276,479,1727463044.272518
276,482,1727463044.277309
277,488,1727463044.286402
278,490,1727463044.2894
278,491,1727463044.292577
280,493,1727463044.2973871
282,494,1727463044.30657
283,494,1727463044.309116
285,493,1727463044.314472
287,491,1727463044.319896
342,86,1727463044.634961
340,83,1727463044.639654
338,81,1727463044.6441312
337,78,1727463044.6533382
337,72,1727463044.661922
342,68,1727463044.6703382
344,66,1727463044.673725
346,65,1727463044.676665
352,62,1727463044.686573
355,62,1727463044.690059
360,61,1727463044.6935081
366,59,1727463044.697842
371,59,1727463044.70322
376,58,1727463044.706727
383,58,1727463044.709426
390,58,1727463044.7144718
397,57,1727463044.719641
405,57,1727463044.723254
413,57,1727463044.725931
428,59,1727463044.740006
436,61,1727463044.741859
444,62,1727463044.7428591
453,65,1727463044.747848
460,68,1727463044.7531
467,71,1727463044.757084
476,74,1727463044.759156
491,81,1727463044.7727392
500,84,1727463044.774736
505,88,1727463044.7758908
512,92,1727463044.78111
519,96,1727463044.784872
525,101,1727463044.789193
530,105,1727463044.793215
537,110,1727463044.797715
541,115,1727463044.801425
546,119,1727463044.8066812
551,123,1727463044.809252
560,132,1727463044.818988
564,136,1727463044.823284
566,139,1727463044.8261068
571,147,1727463044.83646
573,151,1727463044.84031
575,155,1727463044.8432589
578,163,1727463044.852234
578,167,1727463044.8570619
578,171,1727463044.859294
576,186,1727463044.874971
574,191,1727463044.876516
571,197,1727463044.880733
569,203,1727463044.887708
566,210,1727463044.889548
553,229,1727463044.9027252
548,235,1727463044.907024
543,241,1727463044.9093828
537,248,1727463044.914219
531,254,1727463044.919837
523,262,1727463044.923157
517,268,1727463044.926037
503,280,1727463044.9361558
496,286,1727463044.94061
488,291,1727463044.942683
473,299,1727463044.953215
466,304,1727463044.956525
458,308,1727463044.960084
442,315,1727463044.969472
435,318,1727463044.974113
429,320,1727463044.976379
416,325,1727463044.989416
411,327,1727463044.990722
406,328,1727463044.992757
398,329,1727463045.001811
395,330,1727463045.007114
393,330,1727463045.009611
392,330,1727463045.014591
391,329,1727463045.018574
392,328,1727463045.0356228
392,326,1727463045.040271
394,324,1727463045.043411
399,318,1727463045.052696
403,316,1727463045.056902
408,313,1727463045.059445
419,308,1727463045.071041
425,306,1727463045.0738182
431,304,1727463045.076003
444,301,1727463045.087007
451,299,1727463045.090272
460,298,1727463045.093148
476,297,1727463045.103335
486,297,1727463045.106889
523,299,1727463045.122544
532,300,1727463045.127949
548,304,1727463045.137739
557,307,1727463045.1402082
565,310,1727463045.142858
578,316,1727463045.1542
585,320,1727463045.157133
591,325,1727463045.1594958
597,330,1727463045.168915
603,336,1727463045.169387
609,341,1727463045.1729028
622,356,1727463045.187267
625,361,1727463045.190217
628,366,1727463045.1933792
630,374,1727463045.203198
630,378,1727463045.207358
630,382,1727463045.209404
630,391,1727463045.219987
630,395,1727463045.2235599
630,399,1727463045.2263098
628,409,1727463045.236886
627,415,1727463045.240057
626,420,1727463045.242878
621,431,1727463045.254376
617,437,1727463045.257073
613,442,1727463045.259697
605,453,1727463045.2719529
600,458,1727463045.273373
593,463,1727463045.2764502
580,472,1727463045.286596
573,477,1727463045.290105
566,481,1727463045.2934499
548,491,1727463045.301552
539,495,1727463045.3062909
528,500,1727463045.309197
518,505,1727463045.314375
508,510,1727463045.318801
499,515,1727463045.326313
489,521,1727463045.327075
478,526,1727463045.3309
469,532,1727463045.335553
459,538,1727463045.339846
451,543,1727463045.3462029
444,548,1727463045.347739
436,553,1727463045.3539011
428,558,1727463045.35646
421,563,1727463045.359374
408,571,1727463045.369983
401,574,1727463045.373651
395,577,1727463045.3769112
385,580,1727463045.387871
379,581,1727463045.3915231
375,581,1727463045.393593
368,576,1727463045.401633
364,571,1727463045.4073331
360,565,1727463045.409877
