x,y,time
286,178,1727462999.473189
285,178,1727462999.48273
285,177,1727462999.491311
285,175,1727462999.5085309
285,174,1727462999.519582
285,173,1727462999.522462
285,171,1727462999.525316
285,170,1727462999.529827
285,168,1727462999.5371299
286,167,1727462999.538442
287,164,1727462999.543187
287,163,1727462999.547371
288,161,1727462999.5525289
289,159,1727462999.5567832
289,157,1727462999.5593011
291,155,1727462999.571264
292,153,1727462999.572733
293,151,1727462999.573088
295,148,1727462999.575796
297,146,1727462999.580344
299,143,1727462999.5847921
302,141,1727462999.588951
305,138,1727462999.592437
308,135,1727462999.5978398
310,132,1727462999.601364
313,130,1727462999.6056051
316,128,1727462999.6086102
319,126,1727462999.613145
323,124,1727462999.6179352
326,123,1727462999.6223528
330,122,1727462999.6251142
332,122,1727462999.6305652
335,121,1727462999.634617
339,121,1727462999.639074
343,121,1727462999.6414669
351,120,1727462999.651413
355,120,1727462999.6557639
358,120,1727462999.659126
366,120,1727462999.668328
370,120,1727462999.671961
373,120,1727462999.675513
379,121,1727462999.684993
382,122,1727462999.6891038
386,122,1727462999.69234
390,123,1727462999.6970491
394,124,1727462999.70165
397,125,1727462999.706229
401,126,1727462999.708582
405,128,1727462999.7144902
408,130,1727462999.718961
412,132,1727462999.722722
417,134,1727462999.7247438
419,136,1727462999.7302861
423,138,1727462999.735532
426,139,1727462999.739275
430,142,1727462999.742013
439,148,1727462999.7560818
441,150,1727462999.759187
443,153,1727462999.764574
445,156,1727462999.770705
447,159,1727462999.772989
450,163,1727462999.7761831
451,166,1727462999.7810009
453,170,1727462999.786367
454,174,1727462999.789068
455,178,1727462999.792387
456,183,1727462999.797251
457,187,1727462999.802263
457,192,1727462999.806609
457,196,1727462999.8089101
457,201,1727462999.8141499
457,205,1727462999.819616
455,210,1727462999.822912
455,215,1727462999.825848
451,224,1727462999.838515
448,229,1727462999.839103
446,233,1727462999.842529
440,244,1727462999.8530529
437,248,1727462999.856203
435,252,1727462999.858966
433,256,1727462999.8695931
430,261,1727462999.869784
426,266,1727462999.87286
422,269,1727462999.875766
414,277,1727462999.886451
410,281,1727462999.889966
406,284,1727462999.892431
401,288,1727462999.8977149
396,291,1727462999.90297
392,293,1727462999.906698
387,296,1727462999.908648
380,299,1727462999.914237
375,301,1727462999.91961
369,304,1727462999.922467
364,306,1727462999.925995
351,310,1727462999.936434
346,311,1727462999.939253
339,312,1727462999.942678
332,313,1727462999.947807
327,313,1727462999.953297
322,312,1727462999.956594
316,311,1727462999.962271
305,306,1727462999.9711301
300,301,1727462999.9742239
296,296,1727462999.976325
287,284,1727462999.9860952
283,276,1727462999.988999
279,267,1727462999.992568
273,250,1727463000.002111
271,242,1727463000.00531
271,234,1727463000.008855
271,219,1727463000.0206132
272,210,1727463000.030176
281,190,1727463000.034752
285,182,1727463000.038781
