x,y,time
242,192,1727463014.087193
238,193,1727463014.0902941
235,193,1727463014.092014
232,194,1727463014.096856
230,195,1727463014.1038878
229,195,1727463014.105837
228,195,1727463014.108709
229,195,1727463014.124189
230,195,1727463014.131236
231,195,1727463014.139439
233,195,1727463014.142095
235,195,1727463014.146869
237,194,1727463014.151528
240,194,1727463014.155833
244,193,1727463014.159136
247,192,1727463014.163201
251,191,1727463014.1684139
257,191,1727463014.172684
262,190,1727463014.175049
273,188,1727463014.187876
280,187,1727463014.189596
288,186,1727463014.1940238
296,186,1727463014.1967099
306,186,1727463014.201356
314,186,1727463014.20601
322,187,1727463014.208788
338,190,1727463014.218036
347,192,1727463014.222455
355,194,1727463014.225253
363,197,1727463014.230128
373,200,1727463014.234689
382,203,1727463014.2390242
393,206,1727463014.242151
416,211,1727463014.252842
427,215,1727463014.255282
439,217,1727463014.2590752
451,219,1727463014.265194
462,220,1727463014.2688682
473,221,1727463014.2718542
483,222,1727463014.27499
494,222,1727463014.280289
503,222,1727463014.286488
514,222,1727463014.288728
523,222,1727463014.291622
532,221,1727463014.2972128
540,221,1727463014.301856
547,220,1727463014.305598
555,220,1727463014.308681
562,219,1727463014.3181381
569,219,1727463014.318781
576,218,1727463014.323288
583,218,1727463014.325151
589,217,1727463014.331629
596,216,1727463014.335499
603,215,1727463014.339058
609,214,1727463014.342496
614,213,1727463014.352303
621,211,1727463014.3524952
626,210,1727463014.355804
