x,y,time
158,160,1727463087.207385
156,160,1727463087.2114282
156,159,1727463087.2143512
154,159,1727463087.225823
154,158,1727463087.2263548
154,157,1727463087.2349381
155,156,1727463087.2385762
156,155,1727463087.24196
159,153,1727463087.251489
161,152,1727463087.2571871
163,151,1727463087.2581398
165,150,1727463087.264205
168,149,1727463087.2679439
170,148,1727463087.272502
174,147,1727463087.275757
178,146,1727463087.280146
182,145,1727463087.284668
186,144,1727463087.289421
192,143,1727463087.2921011
198,142,1727463087.296971
204,140,1727463087.301331
211,139,1727463087.305635
218,138,1727463087.3084958
224,136,1727463087.313609
231,134,1727463087.31829
238,132,1727463087.3226051
245,131,1727463087.32497
254,129,1727463087.330986
261,128,1727463087.33512
268,127,1727463087.338527
275,126,1727463087.342497
284,125,1727463087.3467991
291,124,1727463087.351813
299,123,1727463087.355687
307,123,1727463087.358928
315,122,1727463087.363858
324,121,1727463087.368621
331,120,1727463087.37268
340,120,1727463087.37521
349,118,1727463087.3806238
357,118,1727463087.3854961
366,117,1727463087.389227
375,116,1727463087.393026
383,116,1727463087.397449
393,115,1727463087.403518
401,114,1727463087.405874
410,113,1727463087.408492
418,113,1727463087.4142048
427,112,1727463087.419421
436,111,1727463087.422504
444,111,1727463087.425312
459,110,1727463087.436194
467,110,1727463087.439017
475,110,1727463087.442655
482,110,1727463087.447062
490,110,1727463087.4513469
496,111,1727463087.456357
502,112,1727463087.458564
508,113,1727463087.463349
515,114,1727463087.46829
521,115,1727463087.472459
527,116,1727463087.475761
531,117,1727463087.479966
537,118,1727463087.484648
542,120,1727463087.4892569
547,122,1727463087.4918709
556,126,1727463087.501298
561,128,1727463087.5075488
565,129,1727463087.508225
568,132,1727463087.513953
572,134,1727463087.518284
575,137,1727463087.525702
579,139,1727463087.528714
583,142,1727463087.530875
586,144,1727463087.5350342
589,147,1727463087.539408
592,150,1727463087.541734
594,152,1727463087.547436
597,156,1727463087.5518541
599,158,1727463087.55742
602,161,1727463087.561017
604,164,1727463087.564188
