x,y,time
179,160,1727463071.5252411
178,160,1727463071.543585
178,159,1727463071.554585
178,158,1727463071.574563
178,157,1727463071.58556
178,156,1727463071.588788
178,155,1727463071.592742
178,154,1727463071.596428
178,153,1727463071.603209
178,152,1727463071.604689
178,150,1727463071.608042
178,148,1727463071.613185
178,146,1727463071.619392
178,144,1727463071.621845
178,142,1727463071.6246898
178,139,1727463071.635913
178,138,1727463071.636105
179,136,1727463071.6390872
180,134,1727463071.641382
180,131,1727463071.651904
180,130,1727463071.65259
181,128,1727463071.654336
182,126,1727463071.657679
183,123,1727463071.6694431
183,121,1727463071.671484
185,120,1727463071.675644
187,117,1727463071.6869671
187,116,1727463071.687387
189,115,1727463071.69185
192,113,1727463071.704271
194,112,1727463071.705178
195,111,1727463071.708436
196,110,1727463071.7206998
199,107,1727463071.722566
201,106,1727463071.72508
202,105,1727463071.7296798
203,105,1727463071.736962
205,104,1727463071.738782
207,103,1727463071.74145
208,102,1727463071.746633
210,101,1727463071.752913
212,101,1727463071.755052
215,100,1727463071.7590961
217,99,1727463071.7697222
219,98,1727463071.769921
222,98,1727463071.771751
224,97,1727463071.775439
226,96,1727463071.781707
228,95,1727463071.787025
230,95,1727463071.788168
233,94,1727463071.7928672
236,94,1727463071.796499
239,92,1727463071.803147
244,92,1727463071.809029
246,91,1727463071.813442
249,90,1727463071.819318
252,90,1727463071.822021
255,89,1727463071.826048
258,89,1727463071.830435
261,89,1727463071.836959
264,88,1727463071.838176
267,88,1727463071.842176
271,88,1727463071.846721
280,87,1727463071.86018
287,86,1727463071.869
291,86,1727463071.871614
294,86,1727463071.8752089
296,86,1727463071.880116
301,85,1727463071.8885279
304,84,1727463071.889123
308,84,1727463071.891925
311,84,1727463071.89669
314,84,1727463071.903223
317,84,1727463071.905327
321,83,1727463071.908532
332,83,1727463071.922932
335,83,1727463071.9249191
343,83,1727463071.938126
347,83,1727463071.939198
351,83,1727463071.941824
355,83,1727463071.94732
358,83,1727463071.952393
362,83,1727463071.956254
366,83,1727463071.961165
370,83,1727463071.969333
374,83,1727463071.969525
378,83,1727463071.972671
382,83,1727463071.974232
389,83,1727463071.986538
394,83,1727463071.988922
398,83,1727463071.9929678
401,83,1727463071.997696
405,83,1727463072.003223
408,83,1727463072.0050318
412,83,1727463072.009286
416,83,1727463072.0142999
419,83,1727463072.019443
423,84,1727463072.0231402
426,84,1727463072.024756
430,84,1727463072.029875
434,84,1727463072.036543
437,84,1727463072.0389981
442,85,1727463072.041847
445,85,1727463072.0468512
449,86,1727463072.054543
453,86,1727463072.057048
457,86,1727463072.058111
460,87,1727463072.063963
464,87,1727463072.0694551
467,88,1727463072.072371
471,88,1727463072.0762088
475,89,1727463072.08184
478,89,1727463072.085572
482,90,1727463072.088974
485,91,1727463072.092075
492,92,1727463072.1027641
496,92,1727463072.105922
498,93,1727463072.108742
