x,y,time
333,279,1727463122.287678
331,278,1727463122.292694
329,277,1727463122.2952871
329,275,1727463122.3020768
328,274,1727463122.304397
327,273,1727463122.309736
327,271,1727463122.312001
327,270,1727463122.317941
327,269,1727463122.3204339
327,267,1727463122.3266518
327,265,1727463122.328555
327,263,1727463122.334555
328,260,1727463122.33664
329,257,1727463122.342592
329,254,1727463122.3443918
330,251,1727463122.3511722
331,247,1727463122.354259
333,244,1727463122.358997
334,240,1727463122.361822
335,236,1727463122.367945
337,232,1727463122.371061
339,227,1727463122.3759842
341,223,1727463122.3788102
343,218,1727463122.3845818
346,212,1727463122.386666
349,206,1727463122.3930502
351,201,1727463122.395056
354,196,1727463122.401811
356,190,1727463122.403577
358,184,1727463122.409121
361,178,1727463122.411315
364,173,1727463122.418283
368,168,1727463122.4205902
370,162,1727463122.4252942
374,157,1727463122.428535
376,151,1727463122.435072
379,145,1727463122.437634
381,140,1727463122.442754
385,136,1727463122.445245
388,131,1727463122.4521668
392,126,1727463122.454504
395,121,1727463122.4592519
397,116,1727463122.462542
399,113,1727463122.4687848
402,109,1727463122.470776
406,104,1727463122.4752629
408,100,1727463122.479239
411,96,1727463122.4860349
415,92,1727463122.4874449
417,89,1727463122.4918559
419,85,1727463122.495452
421,82,1727463122.5027788
424,80,1727463122.503957
426,78,1727463122.508673
429,75,1727463122.5117939
431,73,1727463122.5193548
433,71,1727463122.5210922
434,71,1727463122.525716
436,70,1727463122.529139
437,69,1727463122.535914
438,68,1727463122.537513
439,68,1727463122.542917
440,68,1727463122.544775
441,68,1727463122.555531
442,68,1727463122.559242
443,68,1727463122.562259
443,69,1727463122.5693738
444,70,1727463122.571164
445,71,1727463122.576341
446,72,1727463122.579224
447,74,1727463122.586713
447,76,1727463122.589049
449,78,1727463122.5926
449,80,1727463122.595052
451,83,1727463122.602755
451,86,1727463122.605251
452,90,1727463122.609292
453,94,1727463122.612187
454,98,1727463122.619055
454,102,1727463122.620426
456,106,1727463122.625173
456,111,1727463122.629319
458,116,1727463122.6360419
458,123,1727463122.637747
459,129,1727463122.64348
461,135,1727463122.645612
461,142,1727463122.6527948
463,150,1727463122.655207
465,157,1727463122.6592371
466,165,1727463122.662476
468,172,1727463122.6693702
470,178,1727463122.669995
472,185,1727463122.67646
473,192,1727463122.680013
474,199,1727463122.686521
477,207,1727463122.6873229
477,212,1727463122.6930299
479,220,1727463122.695856
483,249,1727463122.712302
484,255,1727463122.721026
485,263,1727463122.721868
486,270,1727463122.7260191
487,278,1727463122.729495
488,286,1727463122.736846
489,293,1727463122.7373781
490,300,1727463122.742989
491,308,1727463122.7463622
493,316,1727463122.752547
493,325,1727463122.754451
494,333,1727463122.759989
495,340,1727463122.761735
496,362,1727463122.776572
497,370,1727463122.7788842
497,378,1727463122.7860322
497,385,1727463122.7881799
497,392,1727463122.79264
498,399,1727463122.7956748
498,405,1727463122.802565
498,412,1727463122.803777
499,419,1727463122.809271
499,424,1727463122.811757
499,429,1727463122.819287
499,434,1727463122.820752
498,438,1727463122.825666
497,442,1727463122.828507
497,447,1727463122.83571
497,450,1727463122.8373911
495,453,1727463122.8432481
495,456,1727463122.846207
494,459,1727463122.8523421
493,461,1727463122.854756
492,464,1727463122.8596969
490,465,1727463122.8630989
488,467,1727463122.869198
488,468,1727463122.8712919
486,469,1727463122.876106
484,470,1727463122.879335
483,471,1727463122.885812
481,472,1727463122.887567
479,473,1727463122.892858
478,473,1727463122.8955379
476,473,1727463122.902941
473,473,1727463122.904162
470,473,1727463122.909687
467,472,1727463122.91219
463,472,1727463122.9193568
460,470,1727463122.921531
457,469,1727463122.92577
454,468,1727463122.9287748
449,466,1727463122.935652
445,464,1727463122.9383879
440,462,1727463122.943053
436,459,1727463122.9457989
432,456,1727463122.9525938
427,453,1727463122.954444
420,449,1727463122.959538
410,442,1727463122.9694688
404,437,1727463122.970916
392,428,1727463122.979999
386,423,1727463122.985974
380,420,1727463122.9885051
374,416,1727463122.9930182
368,412,1727463122.9963882
363,407,1727463123.002625
355,402,1727463123.003772
349,397,1727463123.009826
343,392,1727463123.0128489
330,380,1727463123.022481
324,374,1727463123.0260851
316,368,1727463123.0291898
310,362,1727463123.0358899
304,356,1727463123.0376818
296,349,1727463123.0433018
289,342,1727463123.046188
283,335,1727463123.052723
275,328,1727463123.0545988
269,322,1727463123.059673
263,315,1727463123.0626361
258,309,1727463123.0692549
251,303,1727463123.0712671
246,296,1727463123.075998
241,291,1727463123.078687
236,286,1727463123.0857952
231,281,1727463123.0882182
227,276,1727463123.092391
222,271,1727463123.0956311
218,267,1727463123.10289
215,262,1727463123.10439
210,258,1727463123.11078
206,254,1727463123.111587
202,251,1727463123.119551
200,248,1727463123.120876
197,246,1727463123.1254919
195,244,1727463123.128713
193,242,1727463123.135629
191,241,1727463123.137877
190,240,1727463123.1431098
190,239,1727463123.145767
190,237,1727463123.157058
191,236,1727463123.159083
193,234,1727463123.162709
196,232,1727463123.169981
199,229,1727463123.170424
202,226,1727463123.1762931
206,223,1727463123.179404
211,221,1727463123.186095
217,217,1727463123.187783
223,214,1727463123.193922
229,211,1727463123.196069
237,207,1727463123.202698
245,204,1727463123.204876
253,201,1727463123.209586
261,198,1727463123.212502
270,196,1727463123.21933
281,192,1727463123.221183
311,184,1727463123.2365031
322,181,1727463123.237105
333,178,1727463123.243874
345,175,1727463123.245622
356,173,1727463123.2525172
368,170,1727463123.2551198
379,168,1727463123.259797
391,165,1727463123.2618
402,164,1727463123.269439
415,162,1727463123.271397
427,160,1727463123.276978
438,158,1727463123.279209
451,156,1727463123.2858722
462,154,1727463123.288152
499,147,1727463123.302641
510,146,1727463123.3057852
522,143,1727463123.3098428
533,142,1727463123.312876
545,140,1727463123.3191302
556,139,1727463123.321135
567,137,1727463123.326163
577,136,1727463123.3292239
606,132,1727463123.3430579
615,131,1727463123.345564
624,131,1727463123.351468
631,130,1727463123.354354
638,129,1727463123.360676
645,129,1727463123.3629
652,129,1727463123.369898
658,129,1727463123.370898
664,129,1727463123.3768141
669,129,1727463123.3801348
673,129,1727463123.386167
676,130,1727463123.387771
679,131,1727463123.392887
682,132,1727463123.395342
685,132,1727463123.403282
686,134,1727463123.403817
686,135,1727463123.4101472
687,136,1727463123.412199
687,137,1727463123.420012
687,138,1727463123.420971
686,140,1727463123.42531
684,142,1727463123.4292061
679,149,1727463123.438105
675,154,1727463123.442249
671,158,1727463123.446775
666,163,1727463123.453249
661,168,1727463123.4545028
654,173,1727463123.459609
648,178,1727463123.46295
641,184,1727463123.471004
633,190,1727463123.471423
625,197,1727463123.476388
617,204,1727463123.479352
608,210,1727463123.48734
599,218,1727463123.487933
590,226,1727463123.492768
580,234,1727463123.496523
569,243,1727463123.5022159
560,251,1727463123.505342
549,260,1727463123.510839
540,268,1727463123.513639
529,277,1727463123.520874
520,286,1727463123.522217
508,296,1727463123.52633
499,304,1727463123.529731
490,313,1727463123.536784
480,321,1727463123.5378509
470,330,1727463123.543238
461,339,1727463123.546193
451,348,1727463123.554224
442,356,1727463123.554834
433,364,1727463123.5594418
423,373,1727463123.5626051
415,381,1727463123.570178
405,390,1727463123.5715158
397,398,1727463123.57625
389,405,1727463123.579108
373,420,1727463123.588585
365,427,1727463123.593525
358,434,1727463123.5957692
351,441,1727463123.60286
345,447,1727463123.608146
338,453,1727463123.6094239
332,458,1727463123.6129768
327,462,1727463123.6193862
321,467,1727463123.621643
316,471,1727463123.626338
311,475,1727463123.629216
307,479,1727463123.635657
302,482,1727463123.6383622
298,485,1727463123.6428428
293,489,1727463123.646192
290,490,1727463123.652517
287,493,1727463123.6550841
284,495,1727463123.659744
281,497,1727463123.6627882
277,499,1727463123.6690938
274,500,1727463123.6734679
271,501,1727463123.6761432
269,502,1727463123.6793091
267,503,1727463123.6859882
265,503,1727463123.6880288
263,503,1727463123.693173
261,503,1727463123.695721
259,503,1727463123.70283
258,503,1727463123.705065
256,503,1727463123.709451
254,503,1727463123.7126532
252,502,1727463123.719237
251,501,1727463123.721502
249,500,1727463123.7258172
249,498,1727463123.7294269
247,496,1727463123.735776
247,493,1727463123.7378502
246,490,1727463123.743627
245,487,1727463123.7455308
245,477,1727463123.7611399
245,472,1727463123.7630239
245,467,1727463123.7716448
245,462,1727463123.772196
245,457,1727463123.776921
246,453,1727463123.779531
247,447,1727463123.787981
247,441,1727463123.788636
249,434,1727463123.7936041
250,426,1727463123.796521
252,419,1727463123.802759
254,411,1727463123.80496
256,402,1727463123.809783
259,394,1727463123.812822
265,375,1727463123.824884
267,366,1727463123.82589
270,356,1727463123.835623
273,346,1727463123.835835
277,336,1727463123.838437
281,324,1727463123.8428679
286,314,1727463123.847681
290,304,1727463123.8525481
293,293,1727463123.854938
299,283,1727463123.860074
304,273,1727463123.863202
311,262,1727463123.870024
315,253,1727463123.871638
322,244,1727463123.876588
329,236,1727463123.8789492
336,229,1727463123.886501
