x,y,time
219,181,1727459821.721875
218,184,1727459821.730028
217,186,1727459821.736119
217,189,1727459821.736814
217,201,1727459821.754369
217,207,1727459821.764195
217,211,1727459821.76707
217,214,1727459821.770126
217,219,1727459821.7729778
218,223,1727459821.78061
218,228,1727459821.784929
218,232,1727459821.787842
218,243,1727459821.796756
218,250,1727459821.800382
218,256,1727459821.8046
218,269,1727459821.813445
218,277,1727459821.816561
218,284,1727459821.8200462
218,293,1727459821.822839
217,300,1727459821.828223
217,307,1727459821.831372
217,323,1727459821.8437052
217,332,1727459821.846085
217,339,1727459821.8503208
217,346,1727459821.853583
217,352,1727459821.855596
216,359,1727459821.862189
216,365,1727459821.866379
216,373,1727459821.870108
216,379,1727459821.8771892
216,384,1727459821.878829
216,390,1727459821.883074
216,395,1727459821.886473
216,401,1727459821.89323
216,405,1727459821.8954308
216,409,1727459821.900724
217,417,1727459821.910005
217,421,1727459821.9105809
217,424,1727459821.916458
217,427,1727459821.920075
217,429,1727459821.922699
218,431,1727459821.929174
218,432,1727459821.9308999
219,433,1727459821.936934
219,434,1727459821.943446
219,433,1727459821.952887
219,432,1727459821.956396
217,185,1727459822.28755
219,184,1727459822.2957702
220,184,1727459822.298719
222,184,1727459822.3040042
224,184,1727459822.311164
228,184,1727459822.31201
231,184,1727459822.316528
235,184,1727459822.3206
238,183,1727459822.327208
242,183,1727459822.329099
247,183,1727459822.333536
251,183,1727459822.337398
257,182,1727459822.343958
261,182,1727459822.345694
266,182,1727459822.349843
271,182,1727459822.353086
276,182,1727459822.360426
285,182,1727459822.367348
290,182,1727459822.369654
295,183,1727459822.3771148
300,184,1727459822.379421
303,184,1727459822.381129
307,186,1727459822.387606
312,187,1727459822.3937979
316,189,1727459822.3958359
319,190,1727459822.400367
323,192,1727459822.4036858
325,195,1727459822.4114728
328,197,1727459822.413171
331,201,1727459822.414818
333,203,1727459822.420888
335,206,1727459822.423149
339,212,1727459822.432121
340,216,1727459822.437802
341,219,1727459822.444913
341,222,1727459822.44577
341,226,1727459822.451212
341,229,1727459822.453957
339,236,1727459822.462472
337,239,1727459822.467825
335,243,1727459822.470603
328,251,1727459822.479164
324,255,1727459822.484395
320,260,1727459822.48644
312,269,1727459822.496938
307,273,1727459822.500849
301,276,1727459822.503832
291,284,1727459822.513653
285,287,1727459822.51762
280,290,1727459822.5206988
274,293,1727459822.528168
269,296,1727459822.528883
262,298,1727459822.533893
257,300,1727459822.537524
253,302,1727459822.544683
248,304,1727459822.545614
244,306,1727459822.550143
239,308,1727459822.5539
236,310,1727459822.5614982
233,311,1727459822.562154
231,312,1727459822.564894
229,312,1727459822.571913
226,314,1727459822.579299
224,314,1727459822.584512
223,314,1727459822.5879989
224,314,1727459822.604577
228,313,1727459822.613465
230,313,1727459822.617343
233,312,1727459822.6214
239,311,1727459822.6304278
242,310,1727459822.634739
246,310,1727459822.639462
254,308,1727459822.646954
258,308,1727459822.6508229
262,307,1727459822.654714
273,306,1727459822.6638029
278,306,1727459822.6674109
282,305,1727459822.672069
294,305,1727459822.680384
299,305,1727459822.6843772
314,306,1727459822.697031
319,306,1727459822.700405
323,307,1727459822.703825
332,310,1727459822.713322
335,311,1727459822.71777
339,313,1727459822.721091
346,316,1727459822.730679
348,318,1727459822.734302
351,320,1727459822.736855
355,325,1727459822.7467809
357,327,1727459822.750668
357,330,1727459822.755679
359,334,1727459822.76399
359,336,1727459822.767377
359,338,1727459822.771542
357,343,1727459822.780279
355,347,1727459822.784093
353,349,1727459822.787085
348,355,1727459822.796913
346,359,1727459822.800807
344,362,1727459822.804449
337,369,1727459822.8134038
334,372,1727459822.817912
330,376,1727459822.82158
321,382,1727459822.830513
317,386,1727459822.833824
312,389,1727459822.8385038
303,395,1727459822.847232
298,398,1727459822.8506858
293,401,1727459822.854432
282,406,1727459822.863629
278,408,1727459822.8677561
273,411,1727459822.870734
263,416,1727459822.880142
258,418,1727459822.884154
251,422,1727459822.893606
246,423,1727459822.895437
242,424,1727459822.9006798
237,426,1727459822.904279
234,426,1727459822.9065359
232,427,1727459822.9129071
229,427,1727459822.9169831
226,427,1727459822.920635
224,427,1727459822.9268029
223,427,1727459822.929703
221,427,1727459822.933656
220,427,1727459822.937037
220,426,1727459822.945947
221,426,1727459822.960372
