x,y,time
401,198,1727459871.8487308
399,197,1727459871.854184
399,195,1727459871.8639739
398,195,1727459871.864473
397,195,1727459871.869048
396,194,1727459871.876807
394,193,1727459871.883314
394,192,1727459871.8849611
392,191,1727459871.8895218
391,190,1727459871.894112
390,189,1727459871.898192
389,188,1727459871.901536
387,186,1727459871.9064052
385,185,1727459871.910754
383,183,1727459871.915082
381,182,1727459871.9182131
378,179,1727459871.926549
376,177,1727459871.9332922
374,177,1727459871.9349928
372,176,1727459871.939484
369,175,1727459871.944352
366,174,1727459871.949933
363,174,1727459871.95203
360,174,1727459871.9563131
356,174,1727459871.960345
353,174,1727459871.966938
351,175,1727459871.967581
346,175,1727459871.9761338
343,176,1727459871.976799
335,178,1727459871.9851542
332,179,1727459871.992914
328,181,1727459871.99388
324,182,1727459871.998067
320,184,1727459872.001698
312,187,1727459872.0103629
309,190,1727459872.015088
305,192,1727459872.0186958
301,195,1727459872.0266602
296,197,1727459872.027116
293,200,1727459872.031528
290,204,1727459872.03546
283,210,1727459872.043894
274,218,1727459872.052362
271,222,1727459872.0565078
268,226,1727459872.061085
262,234,1727459872.068489
259,238,1727459872.073196
256,242,1727459872.0766551
253,247,1727459872.0841851
250,251,1727459872.084882
248,256,1727459872.093076
246,261,1727459872.09349
244,265,1727459872.10078
242,269,1727459872.10164
241,274,1727459872.109833
240,278,1727459872.111635
238,283,1727459872.1175628
237,288,1727459872.11822
236,292,1727459872.1234078
235,295,1727459872.127181
235,300,1727459872.133344
235,305,1727459872.13516
235,310,1727459872.143042
235,315,1727459872.143666
236,319,1727459872.1504588
237,323,1727459872.151305
238,328,1727459872.159613
240,332,1727459872.1607969
243,341,1727459872.172318
244,344,1727459872.173991
246,348,1727459872.176678
248,352,1727459872.18359
250,355,1727459872.1856508
253,359,1727459872.192937
256,363,1727459872.193502
258,366,1727459872.197943
262,369,1727459872.201577
265,372,1727459872.209404
269,375,1727459872.210847
271,377,1727459872.2170281
275,380,1727459872.218153
278,382,1727459872.2229462
283,384,1727459872.2267551
291,388,1727459872.2378082
294,390,1727459872.239286
299,392,1727459872.2458382
303,393,1727459872.250242
308,395,1727459872.2517319
313,397,1727459872.2564852
317,398,1727459872.260839
321,399,1727459872.26746
328,401,1727459872.268576
332,402,1727459872.276543
336,403,1727459872.276961
340,404,1727459872.281606
346,405,1727459872.2855859
351,406,1727459872.29296
356,407,1727459872.293828
360,407,1727459872.299941
364,408,1727459872.303114
369,408,1727459872.309616
373,408,1727459872.310293
377,408,1727459872.3177102
380,408,1727459872.318766
383,407,1727459872.3254669
387,407,1727459872.327104
390,406,1727459872.3313448
394,405,1727459872.335215
399,403,1727459872.343949
401,402,1727459872.348168
402,401,1727459872.352928
403,400,1727459872.3606641
405,399,1727459872.361206
406,398,1727459872.367811
407,397,1727459872.3687649
408,395,1727459872.3774889
410,394,1727459872.3817558
410,393,1727459872.386632
410,391,1727459872.394559
410,390,1727459872.402164
410,388,1727459872.412176
