x,y,time
141,135,1727459707.8739882
141,136,1727459707.886289
142,136,1727459707.9018939
143,136,1727459707.9128299
144,136,1727459707.918827
145,136,1727459707.930608
146,136,1727459707.9344058
148,136,1727459707.946956
148,135,1727459707.950712
149,135,1727459707.951154
151,134,1727459707.9637902
152,134,1727459707.966954
153,134,1727459707.9675741
155,134,1727459707.980039
157,134,1727459707.98387
159,134,1727459707.9976058
162,134,1727459708.001517
164,133,1727459708.01403
166,133,1727459708.0172532
169,133,1727459708.030424
171,132,1727459708.034233
173,132,1727459708.046905
175,132,1727459708.05319
176,132,1727459708.063622
178,132,1727459708.067216
180,132,1727459708.080001
181,132,1727459708.0844932
182,132,1727459708.097298
184,132,1727459708.1007638
187,132,1727459708.110573
188,132,1727459708.116962
190,132,1727459708.1271548
191,132,1727459708.133664
192,132,1727459708.133868
194,132,1727459708.1446521
195,131,1727459708.1508858
196,131,1727459708.161443
198,131,1727459708.1674628
198,130,1727459708.1783319
199,130,1727459708.184256
200,129,1727459708.196051
202,129,1727459708.2115011
203,129,1727459708.219569
205,129,1727459708.232455
206,129,1727459708.246444
207,129,1727459708.2494478
207,128,1727459708.250348
208,128,1727459708.263672
209,128,1727459708.2670841
210,128,1727459708.283287
211,128,1727459708.2963772
212,128,1727459708.3005152
213,128,1727459708.3213608
214,128,1727459708.326596
215,128,1727459708.3430998
216,128,1727459708.345379
217,128,1727459708.359853
218,128,1727459708.3671439
219,128,1727459708.3818638
219,129,1727459708.384217
221,129,1727459708.40979
222,129,1727459708.4261959
223,129,1727459708.432124
224,129,1727459708.450078
225,129,1727459708.459748
226,129,1727459708.476188
227,129,1727459708.484035
228,129,1727459708.500056
228,128,1727459708.616805
