x,y,time
158,210,1727460001.165867
157,212,1727460001.173002
156,214,1727460001.18044
155,215,1727460001.1864152
155,217,1727460001.188888
155,219,1727460001.194598
155,221,1727460001.197885
155,226,1727460001.211437
155,227,1727460001.2148
155,230,1727460001.219024
156,232,1727460001.221409
157,235,1727460001.229006
157,237,1727460001.231065
157,240,1727460001.236895
157,247,1727460001.24455
158,250,1727460001.247274
158,253,1727460001.2519438
159,257,1727460001.254841
159,264,1727460001.265214
160,269,1727460001.269809
160,272,1727460001.2719538
160,276,1727460001.277709
160,280,1727460001.280618
160,284,1727460001.285179
161,289,1727460001.288925
161,294,1727460001.2959418
162,298,1727460001.297376
162,302,1727460001.3017118
162,307,1727460001.305078
162,312,1727460001.312192
162,317,1727460001.313874
162,322,1727460001.318314
162,327,1727460001.3229032
163,332,1727460001.329452
164,337,1727460001.330616
164,342,1727460001.3347352
164,347,1727460001.339318
165,353,1727460001.346019
166,357,1727460001.346794
166,362,1727460001.351709
167,367,1727460001.356075
168,372,1727460001.362421
169,376,1727460001.3644931
169,381,1727460001.3683252
169,384,1727460001.372538
170,387,1727460001.379251
171,391,1727460001.38061
171,393,1727460001.384952
171,396,1727460001.388942
171,398,1727460001.395923
172,400,1727460001.397438
172,402,1727460001.4017642
173,403,1727460001.405458
173,404,1727460001.4125109
173,405,1727460001.414832
173,407,1727460001.4185631
173,408,1727460001.429294
174,408,1727460001.431255
174,409,1727460001.435168
152,216,1727460001.849992
153,216,1727460001.856032
153,217,1727460001.86137
155,217,1727460001.8639412
156,217,1727460001.8678982
158,217,1727460001.873572
160,217,1727460001.8778229
162,217,1727460001.880564
166,217,1727460001.8849049
168,217,1727460001.888742
170,217,1727460001.894165
173,217,1727460001.8978229
175,217,1727460001.9015381
177,217,1727460001.904705
180,217,1727460001.9101162
182,217,1727460001.913855
184,217,1727460001.91805
187,217,1727460001.9227011
189,216,1727460001.926733
192,216,1727460001.93123
194,216,1727460001.9349608
197,216,1727460001.938682
199,216,1727460001.9435241
201,215,1727460001.947392
204,215,1727460001.9513931
207,215,1727460001.9554439
210,215,1727460001.959907
214,215,1727460001.964055
216,214,1727460001.967652
219,214,1727460001.971998
221,214,1727460001.976653
225,214,1727460001.981075
228,214,1727460001.984698
232,214,1727460001.9891891
235,214,1727460001.9934132
239,214,1727460001.997878
241,214,1727460002.0021849
249,214,1727460002.010564
