x,y,time
207,338,1727460040.631297
206,338,1727460040.646464
207,338,1727460040.6823192
207,337,1727460040.697479
208,337,1727460040.705614
208,336,1727460040.713718
209,335,1727460040.71934
209,334,1727460040.730338
209,333,1727460040.7378628
209,332,1727460040.739829
209,331,1727460040.745985
209,330,1727460040.747473
209,329,1727460040.753685
209,327,1727460040.756146
209,326,1727460040.762589
209,325,1727460040.765232
209,323,1727460040.7703621
209,322,1727460040.773283
209,321,1727460040.779401
209,319,1727460040.782044
209,318,1727460040.786984
209,317,1727460040.789964
209,316,1727460040.7954218
209,314,1727460040.798073
209,313,1727460040.803164
209,312,1727460040.8058538
209,311,1727460040.8126268
209,310,1727460040.81407
209,309,1727460040.819602
209,308,1727460040.82269
209,307,1727460040.829204
209,306,1727460040.8313391
209,305,1727460040.836489
209,303,1727460040.839825
209,302,1727460040.846085
209,301,1727460040.848001
208,299,1727460040.853909
208,298,1727460040.856454
208,296,1727460040.8625002
208,295,1727460040.864798
208,293,1727460040.8704991
208,292,1727460040.873018
208,291,1727460040.87917
208,290,1727460040.882012
207,289,1727460040.886436
207,287,1727460040.888778
207,286,1727460040.894549
207,285,1727460040.8982458
207,284,1727460040.902524
207,283,1727460040.90571
207,282,1727460040.9131038
207,281,1727460040.9142761
207,280,1727460040.920068
207,279,1727460040.922234
207,277,1727460040.928051
207,276,1727460040.934174
207,274,1727460040.9358919
207,273,1727460040.940193
207,271,1727460040.94482
207,270,1727460040.947766
207,268,1727460040.952938
207,267,1727460040.955568
207,265,1727460040.96173
207,263,1727460040.963788
207,261,1727460040.9693062
207,260,1727460040.973047
207,255,1727460040.987356
208,253,1727460040.989426
208,252,1727460040.996093
208,251,1727460040.9987352
208,250,1727460041.004334
208,249,1727460041.009921
209,248,1727460041.011004
209,247,1727460041.015093
209,246,1727460041.019337
209,245,1727460041.0224261
209,244,1727460041.0281038
209,243,1727460041.0307279
209,242,1727460041.0359738
209,241,1727460041.039284
209,240,1727460041.051261
209,239,1727460041.0538728
209,238,1727460041.056322
209,237,1727460041.064538
209,236,1727460041.070251
208,236,1727460041.0723681
208,235,1727460041.0816011
207,235,1727460041.095571
207,236,1727460041.170028
207,237,1727460041.214976
208,237,1727460041.24832
209,237,1727460041.2649658
210,237,1727460041.295294
211,237,1727460041.3124092
212,236,1727460041.315854
213,235,1727460041.3294358
214,235,1727460041.3315861
214,234,1727460041.3365839
215,233,1727460041.339348
216,233,1727460041.34513
216,232,1727460041.348088
218,231,1727460041.3557792
218,230,1727460041.362249
219,229,1727460041.364749
221,228,1727460041.372792
221,227,1727460041.38
223,226,1727460041.380915
224,225,1727460041.3899488
225,224,1727460041.395197
226,224,1727460041.398479
228,223,1727460041.40315
228,222,1727460041.405787
230,221,1727460041.4119868
231,220,1727460041.414476
232,220,1727460041.420151
233,219,1727460041.422417
234,218,1727460041.42836
235,217,1727460041.4312901
236,216,1727460041.43697
237,216,1727460041.4395468
237,215,1727460041.445934
239,214,1727460041.448097
239,213,1727460041.453363
240,212,1727460041.4564328
