x,y,time
296,155,1727461304.858377
295,156,1727461304.874037
295,157,1727461304.880498
295,158,1727461304.8823931
296,160,1727461304.892683
296,161,1727461304.896508
296,162,1727461304.899328
298,164,1727461304.907434
298,166,1727461304.9088519
299,168,1727461304.9135091
301,170,1727461304.916118
301,172,1727461304.923029
303,174,1727461304.926666
303,177,1727461304.928869
305,180,1727461304.935233
305,183,1727461304.9395149
306,186,1727461304.941032
307,189,1727461304.9458292
308,193,1727461304.948752
308,197,1727461304.9564302
308,201,1727461304.95864
309,206,1727461304.9632099
309,210,1727461304.968968
310,215,1727461304.972818
310,220,1727461304.974698
310,225,1727461304.9806879
310,230,1727461304.9828942
310,237,1727461304.989813
310,242,1727461304.990786
311,247,1727461304.996563
311,253,1727461304.99958
312,259,1727461305.0063
312,264,1727461305.007902
312,270,1727461305.013068
312,275,1727461305.01619
312,281,1727461305.0228999
312,286,1727461305.023783
312,290,1727461305.029817
312,295,1727461305.031996
312,300,1727461305.039755
312,304,1727461305.0417302
312,307,1727461305.047114
312,311,1727461305.0493681
312,313,1727461305.056349
312,316,1727461305.058495
312,319,1727461305.063224
312,322,1727461305.065495
313,326,1727461305.0765681
313,328,1727461305.0812001
314,330,1727461305.081679
314,331,1727461305.089517
314,333,1727461305.091609
314,334,1727461305.0960739
314,335,1727461305.1071832
299,148,1727461305.5263638
300,148,1727461305.5309162
301,148,1727461305.532195
302,148,1727461305.538516
303,148,1727461305.542043
305,148,1727461305.547043
307,147,1727461305.550048
310,147,1727461305.559752
312,146,1727461305.563133
315,146,1727461305.566229
318,146,1727461305.5718248
321,145,1727461305.57507
326,145,1727461305.584373
329,145,1727461305.5885508
331,145,1727461305.592623
333,145,1727461305.596786
336,144,1727461305.599196
341,144,1727461305.609222
344,144,1727461305.612693
346,144,1727461305.6160371
349,144,1727461305.621975
351,144,1727461305.625008
354,144,1727461305.630501
356,144,1727461305.6320589
360,144,1727461305.6424289
363,144,1727461305.6464891
366,144,1727461305.649156
369,144,1727461305.655173
371,145,1727461305.660083
373,145,1727461305.663146
374,146,1727461305.665607
376,146,1727461305.671971
378,147,1727461305.67432
380,148,1727461305.6794748
381,149,1727461305.681993
385,151,1727461305.6917272
386,153,1727461305.69662
387,154,1727461305.700171
389,156,1727461305.705106
389,157,1727461305.708749
390,158,1727461305.714386
391,160,1727461305.7152882
391,161,1727461305.721854
391,163,1727461305.726063
391,165,1727461305.730467
391,167,1727461305.733471
391,169,1727461305.740841
389,171,1727461305.741222
387,179,1727461305.757282
385,182,1727461305.7576919
383,184,1727461305.764025
381,187,1727461305.7687669
379,190,1727461305.771499
376,194,1727461305.774656
374,196,1727461305.780063
373,199,1727461305.7822862
371,202,1727461305.790399
369,205,1727461305.79148
366,207,1727461305.79696
363,210,1727461305.7997591
360,213,1727461305.8079062
357,215,1727461305.808306
348,222,1727461305.823793
345,224,1727461305.824393
342,226,1727461305.830924
339,228,1727461305.8336158
333,231,1727461305.84164
330,233,1727461305.847069
328,235,1727461305.849015
326,237,1727461305.855474
324,238,1727461305.858251
322,240,1727461305.863032
320,241,1727461305.8668292
316,244,1727461305.875193
314,244,1727461305.880268
312,245,1727461305.88348
310,246,1727461305.89376
310,247,1727461305.8985689
309,247,1727461305.905201
310,247,1727461305.932874
310,246,1727461305.939903
312,246,1727461305.941615
312,245,1727461305.947147
314,244,1727461305.950599
318,243,1727461305.9595442
321,242,1727461305.962639
323,241,1727461305.9668841
325,240,1727461305.9721699
328,239,1727461305.9748962
330,238,1727461305.979734
333,237,1727461305.98333
338,235,1727461305.991578
341,234,1727461305.996309
344,233,1727461305.999444
348,232,1727461306.005335
351,231,1727461306.0081038
354,231,1727461306.01423
357,230,1727461306.016757
362,230,1727461306.02463
364,229,1727461306.02514
368,229,1727461306.02997
371,229,1727461306.033099
374,229,1727461306.039005
378,229,1727461306.041567
380,229,1727461306.04686
383,230,1727461306.050449
389,231,1727461306.0594969
392,232,1727461306.063482
394,232,1727461306.065739
396,234,1727461306.073973
398,235,1727461306.0756092
399,236,1727461306.079734
401,237,1727461306.0826619
402,238,1727461306.089586
403,240,1727461306.0930932
405,241,1727461306.09861
406,243,1727461306.100173
407,244,1727461306.105477
407,246,1727461306.108551
407,247,1727461306.113167
408,249,1727461306.11576
408,251,1727461306.123339
408,252,1727461306.125185
407,254,1727461306.129903
406,256,1727461306.134091
405,258,1727461306.1390028
403,260,1727461306.14169
402,263,1727461306.1460512
400,265,1727461306.1502001
398,267,1727461306.1569128
396,269,1727461306.159159
394,271,1727461306.163732
392,274,1727461306.1674628
389,276,1727461306.174326
387,279,1727461306.17517
385,281,1727461306.180738
381,283,1727461306.183115
378,286,1727461306.190445
374,288,1727461306.192626
371,290,1727461306.1972039
367,292,1727461306.19984
364,294,1727461306.2076921
360,296,1727461306.208344
357,298,1727461306.213494
353,300,1727461306.217818
349,303,1727461306.223684
346,305,1727461306.224952
342,307,1727461306.231628
339,309,1727461306.233433
335,311,1727461306.2410738
332,313,1727461306.242217
328,315,1727461306.246586
326,316,1727461306.251431
323,318,1727461306.2572658
320,319,1727461306.2587378
317,320,1727461306.263634
314,320,1727461306.2673512
308,322,1727461306.28204
307,323,1727461306.2893188
305,323,1727461306.291971
305,324,1727461306.297178
