x,y,time
288,221,1727461381.829618
287,222,1727461381.8404858
287,223,1727461381.844526
287,224,1727461381.855639
287,226,1727461381.860407
286,227,1727461381.871844
286,228,1727461381.873291
286,230,1727461381.876235
286,231,1727461381.88154
285,232,1727461381.889288
285,234,1727461381.8907762
285,235,1727461381.894104
285,237,1727461381.8982038
285,238,1727461381.901324
285,240,1727461381.908927
285,242,1727461381.910845
285,244,1727461381.9190242
285,247,1727461381.922535
285,249,1727461381.92293
285,251,1727461381.926133
285,254,1727461381.9406521
284,261,1727461381.941025
284,263,1727461381.943131
283,269,1727461381.951038
283,273,1727461381.9569669
283,276,1727461381.9592168
283,279,1727461381.9656372
283,282,1727461381.9679391
283,285,1727461381.973753
282,288,1727461381.978731
282,290,1727461381.9812548
282,292,1727461381.987972
282,295,1727461381.989682
282,297,1727461381.9929862
282,299,1727461381.997514
282,304,1727461382.0077472
282,306,1727461382.009849
282,309,1727461382.014293
282,311,1727461382.023613
282,312,1727461382.024003
282,314,1727461382.026732
282,316,1727461382.03115
282,319,1727461382.040973
282,321,1727461382.0439749
282,322,1727461382.048924
282,323,1727461382.051441
283,324,1727461382.057222
283,325,1727461382.059637
283,326,1727461382.065799
283,327,1727461382.072875
283,328,1727461382.0819972
283,329,1727461382.1133661
284,329,1727461382.148593
285,329,1727461382.1653702
285,330,1727461382.1751091
285,331,1727461382.192205
286,332,1727461382.204871
287,332,1727461382.2099059
287,333,1727461382.216992
288,334,1727461382.223331
289,334,1727461382.226173
289,335,1727461382.232482
290,336,1727461382.24017
291,337,1727461382.244127
292,337,1727461382.249227
293,338,1727461382.251425
294,339,1727461382.257001
295,340,1727461382.260074
296,341,1727461382.265176
298,342,1727461382.267766
298,343,1727461382.274963
300,344,1727461382.2761989
301,345,1727461382.283146
303,347,1727461382.2851148
307,350,1727461382.2991989
308,351,1727461382.307029
309,352,1727461382.3077052
310,353,1727461382.311171
311,354,1727461382.314974
312,355,1727461382.318
313,356,1727461382.324703
314,357,1727461382.327863
316,358,1727461382.331248
317,359,1727461382.33455
319,359,1727461382.340827
319,360,1727461382.343723
321,361,1727461382.3498912
323,362,1727461382.351445
326,365,1727461382.3627222
327,366,1727461382.366207
330,368,1727461382.373852
331,369,1727461382.376137
333,370,1727461382.383811
333,371,1727461382.38949
335,372,1727461382.3904068
337,373,1727461382.3929658
342,376,1727461382.4089768
344,377,1727461382.40995
345,378,1727461382.415693
347,379,1727461382.417749
348,380,1727461382.424295
350,380,1727461382.429593
