x,y,time
327,155,1727467889.779663
326,154,1727467889.785701
325,154,1727467889.792706
324,153,1727467889.796085
323,153,1727467889.800024
322,153,1727467889.8178198
322,152,1727467889.82228
323,152,1727467889.8432698
324,152,1727467889.862368
324,153,1727467889.86769
324,154,1727467889.8759592
324,155,1727467889.879433
324,157,1727467889.889944
325,158,1727467889.8930838
325,161,1727467889.89577
325,164,1727467889.903
325,167,1727467889.906111
325,170,1727467889.9089
325,174,1727467889.9126122
325,179,1727467889.919162
325,184,1727467889.923265
324,191,1727467889.926193
324,196,1727467889.929356
324,202,1727467889.939244
324,208,1727467889.939852
324,214,1727467889.942611
324,220,1727467889.946203
324,226,1727467889.951357
325,232,1727467889.958427
325,238,1727467889.959651
325,244,1727467889.962663
325,250,1727467889.967416
326,256,1727467889.975847
326,263,1727467889.9769878
326,268,1727467889.97907
327,274,1727467889.9844108
328,280,1727467889.992225
328,286,1727467889.993102
328,291,1727467889.996297
328,298,1727467890.001646
329,315,1727467890.014168
329,321,1727467890.018698
329,326,1727467890.0237162
329,333,1727467890.027807
329,338,1727467890.0317461
329,343,1727467890.035912
329,348,1727467890.040573
330,352,1727467890.042681
330,356,1727467890.045432
330,361,1727467890.051093
330,364,1727467890.057069
331,367,1727467890.0600588
331,369,1727467890.062389
331,372,1727467890.068866
331,375,1727467890.078339
332,377,1727467890.079263
332,378,1727467890.0856059
333,378,1727467890.090518
334,379,1727467890.0936892
335,379,1727467890.1023412
336,378,1727467890.110176
336,377,1727467890.112867
337,375,1727467890.118168
325,147,1727467890.404594
326,147,1727467890.42995
328,147,1727467890.435575
330,146,1727467890.4408908
331,146,1727467890.443431
332,145,1727467890.446164
335,145,1727467890.451821
337,145,1727467890.457935
338,144,1727467890.4605162
341,144,1727467890.462954
343,143,1727467890.467596
346,143,1727467890.474798
349,142,1727467890.4764779
352,142,1727467890.480273
355,142,1727467890.490491
359,142,1727467890.490685
362,142,1727467890.493549
365,142,1727467890.49652
368,142,1727467890.5027158
371,143,1727467890.50703
375,144,1727467890.510305
379,145,1727467890.512338
382,146,1727467890.5183842
385,147,1727467890.5240698
388,148,1727467890.527052
398,151,1727467890.544173
405,154,1727467890.5501142
408,155,1727467890.550432
411,156,1727467890.5570638
414,158,1727467890.559381
418,159,1727467890.563294
425,163,1727467890.5744152
427,165,1727467890.5769868
430,167,1727467890.579543
432,169,1727467890.590485
435,171,1727467890.5906858
438,174,1727467890.60677
445,180,1727467890.606969
446,183,1727467890.610854
448,185,1727467890.6146219
449,188,1727467890.61816
450,191,1727467890.62388
451,194,1727467890.626179
451,197,1727467890.630413
451,200,1727467890.634858
451,203,1727467890.642654
451,206,1727467890.643873
451,209,1727467890.64593
451,213,1727467890.650843
450,216,1727467890.657048
449,219,1727467890.660488
448,223,1727467890.663483
447,226,1727467890.67535
445,229,1727467890.67554
444,233,1727467890.6778948
441,236,1727467890.679651
439,239,1727467890.685737
436,242,1727467890.6904252
432,245,1727467890.694263
430,248,1727467890.696704
424,254,1727467890.707364
421,257,1727467890.709992
416,260,1727467890.713415
413,262,1727467890.724055
409,264,1727467890.72426
406,266,1727467890.726838
402,268,1727467890.7301
398,270,1727467890.735158
394,272,1727467890.7404952
390,274,1727467890.744398
385,276,1727467890.747051
382,277,1727467890.7520761
378,279,1727467890.7573981
373,280,1727467890.760161
368,282,1727467890.763191
365,283,1727467890.773914
361,284,1727467890.774108
358,286,1727467890.776725
355,287,1727467890.780051
347,290,1727467890.791129
343,292,1727467890.793159
341,293,1727467890.797072
338,295,1727467890.807211
336,296,1727467890.807403
334,297,1727467890.809866
331,298,1727467890.81258
330,299,1727467890.823691
329,300,1727467890.8238661
327,300,1727467890.826956
326,301,1727467890.830348
325,301,1727467890.835134
326,301,1727467890.85683
327,301,1727467890.861561
329,300,1727467890.8639328
332,300,1727467890.87413
335,299,1727467890.8770719
337,299,1727467890.8801768
340,299,1727467890.8911932
342,298,1727467890.8913732
344,298,1727467890.8936079
348,298,1727467890.8961852
350,297,1727467890.9016168
354,297,1727467890.907369
357,297,1727467890.9103339
361,296,1727467890.9130208
367,296,1727467890.9259598
372,296,1727467890.9265249
376,296,1727467890.9293911
384,296,1727467890.940338
388,296,1727467890.943163
392,296,1727467890.947411
397,296,1727467890.952259
401,296,1727467890.958358
406,296,1727467890.960327
409,296,1727467890.962938
416,297,1727467890.974339
420,297,1727467890.9774458
424,298,1727467890.979511
430,299,1727467890.99063
432,300,1727467890.993643
435,300,1727467890.9978611
441,303,1727467891.007884
444,304,1727467891.010135
446,305,1727467891.013269
448,307,1727467891.023833
449,308,1727467891.024032
451,310,1727467891.026857
451,312,1727467891.0309172
453,314,1727467891.040185
454,316,1727467891.0403671
455,318,1727467891.0432131
455,320,1727467891.047176
456,328,1727467891.063649
455,332,1727467891.076393
454,334,1727467891.07724
453,336,1727467891.080687
451,339,1727467891.085687
450,341,1727467891.090636
449,343,1727467891.093388
447,345,1727467891.097135
445,347,1727467891.1069329
443,349,1727467891.107137
440,351,1727467891.109783
438,353,1727467891.113146
428,359,1727467891.127282
426,361,1727467891.129923
422,363,1727467891.134586
419,365,1727467891.140349
415,366,1727467891.142838
411,367,1727467891.1475961
404,370,1727467891.157537
400,371,1727467891.160494
396,371,1727467891.16309
392,372,1727467891.169038
388,373,1727467891.1741261
384,373,1727467891.176419
380,374,1727467891.18047
373,374,1727467891.192435
370,374,1727467891.1935549
366,375,1727467891.1967769
361,375,1727467891.206929
358,375,1727467891.209907
356,375,1727467891.2132878
355,375,1727467891.21892
353,375,1727467891.224394
352,375,1727467891.2266471
351,375,1727467891.229669
350,375,1727467891.236033
