x,y,time
326,144,1727467831.013547
325,144,1727467831.0262258
324,144,1727467831.029669
323,144,1727467831.0434601
322,144,1727467831.057951
322,145,1727467831.060672
321,145,1727467831.077485
320,145,1727467831.084746
319,145,1727467831.0959628
318,145,1727467831.1101198
317,145,1727467831.117631
316,145,1727467831.123924
315,146,1727467831.127328
314,146,1727467831.128737
313,146,1727467831.135983
312,147,1727467831.142339
310,147,1727467831.1429389
308,148,1727467831.1458602
307,149,1727467831.15134
305,149,1727467831.15727
303,150,1727467831.1595771
301,151,1727467831.1631842
300,151,1727467831.168753
298,152,1727467831.173265
296,153,1727467831.176337
295,154,1727467831.1797838
294,155,1727467831.1839051
293,155,1727467831.189909
292,156,1727467831.193116
290,158,1727467831.197241
289,159,1727467831.200895
287,160,1727467831.206678
286,162,1727467831.20958
284,163,1727467831.213303
283,165,1727467831.2170691
281,167,1727467831.223528
280,169,1727467831.227983
278,170,1727467831.229455
277,172,1727467831.234122
276,174,1727467831.239328
275,176,1727467831.243802
274,177,1727467831.245888
273,179,1727467831.2509298
272,181,1727467831.256303
271,182,1727467831.260187
270,184,1727467831.261916
269,186,1727467831.267777
268,188,1727467831.2727768
267,190,1727467831.276463
266,192,1727467831.279972
265,195,1727467831.2928598
263,200,1727467831.293705
262,202,1727467831.296986
262,204,1727467831.30256
261,207,1727467831.3065531
260,210,1727467831.310003
260,212,1727467831.312576
259,215,1727467831.318478
259,217,1727467831.323312
259,220,1727467831.3274329
259,222,1727467831.3291562
259,224,1727467831.333872
259,227,1727467831.3393831
259,229,1727467831.343439
259,232,1727467831.3458261
259,234,1727467831.349911
260,242,1727467831.3629582
260,245,1727467831.366953
261,247,1727467831.3724968
262,249,1727467831.376529
262,252,1727467831.378979
263,255,1727467831.3844469
264,257,1727467831.3917608
265,260,1727467831.3923268
266,263,1727467831.395314
267,265,1727467831.400587
269,268,1727467831.40659
270,270,1727467831.410122
271,273,1727467831.4119968
274,278,1727467831.425759
275,280,1727467831.4261749
276,282,1727467831.428861
279,287,1727467831.439889
281,289,1727467831.442956
282,291,1727467831.446053
283,292,1727467831.4518678
286,294,1727467831.460947
289,298,1727467831.464382
292,299,1727467831.4679492
294,301,1727467831.473687
296,302,1727467831.476539
298,303,1727467831.479826
300,304,1727467831.4849238
301,305,1727467831.490787
303,306,1727467831.4936252
305,307,1727467831.496258
313,310,1727467831.5100842
315,311,1727467831.5138052
318,312,1727467831.517515
320,312,1727467831.525783
322,313,1727467831.5263948
324,314,1727467831.530457
326,314,1727467831.534509
329,315,1727467831.5406
332,315,1727467831.543346
335,316,1727467831.545978
337,316,1727467831.5513
340,316,1727467831.5574772
342,316,1727467831.560062
345,316,1727467831.563922
347,316,1727467831.569776
349,316,1727467831.57391
353,316,1727467831.5761778
355,316,1727467831.579888
359,316,1727467831.5855172
361,315,1727467831.590903
364,315,1727467831.5934038
366,314,1727467831.596721
368,313,1727467831.601412
371,312,1727467831.607293
374,312,1727467831.610167
377,310,1727467831.613518
380,310,1727467831.6189408
383,309,1727467831.624331
385,307,1727467831.6281211
387,306,1727467831.6325681
390,305,1727467831.635232
392,303,1727467831.64077
395,302,1727467831.643073
397,300,1727467831.6467268
400,299,1727467831.651916
403,297,1727467831.6580732
405,295,1727467831.659915
408,293,1727467831.6631172
409,291,1727467831.66804
411,289,1727467831.675603
413,286,1727467831.676672
415,284,1727467831.679852
418,282,1727467831.6846652
420,280,1727467831.691544
422,277,1727467831.6931798
424,275,1727467831.6976058
426,272,1727467831.701802
427,270,1727467831.708907
428,267,1727467831.709919
430,264,1727467831.712943
431,262,1727467831.717332
432,259,1727467831.7239838
433,257,1727467831.726381
435,254,1727467831.72952
436,252,1727467831.7408378
438,249,1727467831.741038
438,246,1727467831.7429812
439,244,1727467831.745999
440,239,1727467831.7575119
440,236,1727467831.7597692
441,233,1727467831.7634418
441,231,1727467831.768681
442,229,1727467831.773925
442,226,1727467831.776879
442,223,1727467831.7800288
442,221,1727467831.7845209
442,218,1727467831.7907908
441,216,1727467831.793382
441,214,1727467831.797125
440,211,1727467831.802042
440,209,1727467831.807489
436,198,1727467831.827038
434,196,1727467831.831029
433,193,1727467831.835119
432,192,1727467831.840676
431,190,1727467831.843779
430,188,1727467831.8471072
428,186,1727467831.851255
427,184,1727467831.857286
426,182,1727467831.8602839
425,180,1727467831.8632052
424,179,1727467831.868555
422,177,1727467831.873891
416,172,1727467831.8898199
415,171,1727467831.890414
413,170,1727467831.8950799
411,168,1727467831.8962188
409,167,1727467831.901758
407,166,1727467831.9071932
405,165,1727467831.9110558
404,163,1727467831.913224
402,162,1727467831.9254808
401,161,1727467831.92567
398,160,1727467831.926711
397,159,1727467831.9292831
394,158,1727467831.935678
392,156,1727467831.9406168
390,155,1727467831.9435022
387,155,1727467831.946982
383,153,1727467831.957304
381,151,1727467831.959624
379,150,1727467831.962764
377,149,1727467831.967284
374,149,1727467831.973932
372,148,1727467831.976639
369,147,1727467831.979603
366,146,1727467831.9919171
364,146,1727467831.992358
361,145,1727467831.993216
359,145,1727467831.99665
356,145,1727467832.0018508
354,144,1727467832.008207
350,144,1727467832.0114172
347,144,1727467832.01238
344,143,1727467832.019825
342,143,1727467832.023264
339,143,1727467832.0261388
337,142,1727467832.029482
334,142,1727467832.036662
331,142,1727467832.04051
328,142,1727467832.0431669
325,141,1727467832.045845
