x,y,time
150,152,1727467993.627201
150,153,1727467993.632393
149,154,1727467993.6438642
149,156,1727467993.658093
149,157,1727467993.6631901
149,158,1727467993.668642
149,159,1727467993.673975
149,160,1727467993.678324
150,161,1727467993.6802402
150,164,1727467993.6905868
150,165,1727467993.694885
150,167,1727467993.696745
151,169,1727467993.701208
151,171,1727467993.7071989
151,173,1727467993.7098691
151,176,1727467993.713835
151,179,1727467993.718719
151,182,1727467993.722479
152,185,1727467993.727608
152,188,1727467993.729752
152,192,1727467993.7343879
152,195,1727467993.739058
152,198,1727467993.7432032
152,202,1727467993.747067
151,206,1727467993.7515311
151,210,1727467993.755754
151,213,1727467993.7603729
151,217,1727467993.764788
151,221,1727467993.767879
151,225,1727467993.774378
151,229,1727467993.776896
151,233,1727467993.781201
151,237,1727467993.7905228
151,241,1727467993.790715
151,245,1727467993.793323
151,249,1727467993.7964091
151,257,1727467993.808513
151,264,1727467993.817317
151,268,1727467993.817734
151,272,1727467993.822904
151,276,1727467993.826545
151,279,1727467993.829938
151,282,1727467993.840354
151,285,1727467993.8405278
151,288,1727467993.843416
151,291,1727467993.846174
151,294,1727467993.8565
151,296,1727467993.856708
151,298,1727467993.85979
151,299,1727467993.863184
151,301,1727467993.873282
152,305,1727467993.891718
152,306,1727467993.893416
153,307,1727467993.902415
153,308,1727467993.910636
153,309,1727467993.9239528
154,309,1727467993.9302888
154,310,1727467993.941059
155,310,1727467993.98042
156,310,1727467994.006432
157,309,1727467994.023521
159,309,1727467994.027222
160,308,1727467994.03597
161,308,1727467994.040119
162,308,1727467994.043364
163,307,1727467994.047092
166,307,1727467994.0575721
167,307,1727467994.0606751
168,306,1727467994.0633988
169,306,1727467994.0688179
172,305,1727467994.0746298
173,305,1727467994.077009
174,305,1727467994.0800781
178,304,1727467994.092085
179,303,1727467994.094015
181,303,1727467994.097145
184,303,1727467994.106681
186,302,1727467994.1068711
188,302,1727467994.1105669
191,302,1727467994.114382
193,302,1727467994.118623
196,301,1727467994.123905
198,301,1727467994.126467
200,301,1727467994.1304262
202,301,1727467994.135447
205,301,1727467994.140505
208,301,1727467994.143811
211,301,1727467994.146425
216,302,1727467994.157495
219,302,1727467994.160387
222,302,1727467994.1636639
228,302,1727467994.176076
231,302,1727467994.177087
234,302,1727467994.180254
237,302,1727467994.185405
239,302,1727467994.190507
242,302,1727467994.193072
245,302,1727467994.1971772
248,301,1727467994.202036
251,301,1727467994.207912
254,301,1727467994.21072
257,300,1727467994.214989
263,300,1727467994.2239292
265,300,1727467994.227506
269,300,1727467994.230321
271,300,1727467994.2352939
275,300,1727467994.240555
279,300,1727467994.24416
281,300,1727467994.247278
283,300,1727467994.251982
286,300,1727467994.25799
289,300,1727467994.260872
293,301,1727467994.263933
296,301,1727467994.2736971
299,301,1727467994.273898
301,301,1727467994.277245
304,301,1727467994.2803462
310,301,1727467994.293422
313,302,1727467994.293946
316,302,1727467994.296629
319,302,1727467994.30219
322,302,1727467994.3069608
324,302,1727467994.310744
327,303,1727467994.3150778
330,303,1727467994.318798
332,303,1727467994.3238919
335,304,1727467994.327764
338,304,1727467994.3309069
343,305,1727467994.3437362
347,305,1727467994.345912
348,305,1727467994.3470552
354,306,1727467994.35664
357,306,1727467994.362175
360,306,1727467994.3644538
365,306,1727467994.376416
367,306,1727467994.37781
370,307,1727467994.380192
375,307,1727467994.3902678
378,307,1727467994.395943
386,308,1727467994.407305
389,308,1727467994.410227
391,308,1727467994.4159958
394,308,1727467994.418855
396,308,1727467994.423819
399,308,1727467994.428052
402,308,1727467994.430293
405,308,1727467994.435349
407,308,1727467994.4422982
410,308,1727467994.4433122
412,309,1727467994.446472
414,309,1727467994.451825
416,309,1727467994.45724
419,309,1727467994.460722
421,309,1727467994.463392
429,310,1727467994.477215
431,310,1727467994.480573
432,310,1727467994.485313
434,310,1727467994.490316
436,311,1727467994.494297
438,311,1727467994.497113
442,311,1727467994.509173
444,311,1727467994.5110881
447,312,1727467994.514116
450,312,1727467994.523861
452,312,1727467994.5275111
454,313,1727467994.53075
456,313,1727467994.540503
457,313,1727467994.544207
459,313,1727467994.5475378
462,314,1727467994.557143
463,314,1727467994.560831
466,314,1727467994.5644171
467,314,1727467994.568623
468,314,1727467994.573629
469,314,1727467994.577078
470,314,1727467994.5803678
472,314,1727467994.590394
473,314,1727467994.595572
474,314,1727467994.596962
475,314,1727467994.607163
476,314,1727467994.6134841
477,314,1727467994.62315
478,314,1727467994.630197
479,314,1727467994.652704
479,313,1727467994.661128
479,312,1727467994.688642
479,311,1727467994.693763
479,309,1727467994.707232
479,308,1727467994.7110112
479,307,1727467994.7139049
479,306,1727467994.718567
478,304,1727467994.723052
478,303,1727467994.727766
478,301,1727467994.7304351
478,297,1727467994.73918
478,295,1727467994.743685
478,293,1727467994.746809
478,289,1727467994.755712
478,287,1727467994.7608519
478,284,1727467994.7634602
478,279,1727467994.772419
478,277,1727467994.777612
478,275,1727467994.779868
478,269,1727467994.7931101
478,267,1727467994.794417
478,264,1727467994.798136
478,259,1727467994.806437
478,256,1727467994.810626
478,253,1727467994.813973
478,251,1727467994.8184261
479,248,1727467994.823073
479,245,1727467994.8275242
479,242,1727467994.830464
479,235,1727467994.8432052
479,232,1727467994.844722
479,229,1727467994.8466508
479,223,1727467994.856489
479,217,1727467994.8654678
479,214,1727467994.873281
479,212,1727467994.874222
479,206,1727467994.882685
480,201,1727467994.8914251
480,198,1727467994.896843
480,196,1727467994.897405
480,190,1727467994.907166
480,188,1727467994.910202
480,185,1727467994.913852
480,183,1727467994.925022
480,177,1727467994.932183
480,174,1727467994.9355881
480,172,1727467994.9414349
480,170,1727467994.94469
480,168,1727467994.947229
480,165,1727467994.9587898
480,163,1727467994.962313
480,161,1727467994.9636102
480,157,1727467994.975416
480,154,1727467994.9805381
479,149,1727467994.9960651
479,148,1727467994.997758
479,146,1727467995.0075788
479,145,1727467995.01464
479,144,1727467995.025289
478,143,1727467995.035893
477,143,1727467995.078013
476,143,1727467995.158541
475,143,1727467995.164533
474,143,1727467995.183918
473,143,1727467995.194436
471,143,1727467995.211139
470,143,1727467995.2115781
469,143,1727467995.2140548
467,143,1727467995.223907
466,143,1727467995.228141
463,143,1727467995.23091
461,143,1727467995.24087
459,143,1727467995.244085
456,143,1727467995.247744
453,143,1727467995.259417
451,143,1727467995.261817
450,143,1727467995.263399
446,143,1727467995.274513
444,144,1727467995.277784
442,144,1727467995.280919
435,144,1727467995.296064
433,145,1727467995.297216
429,145,1727467995.306755
426,145,1727467995.31147
425,145,1727467995.314147
420,146,1727467995.3280718
418,146,1727467995.328511
414,146,1727467995.330985
413,147,1727467995.335466
410,147,1727467995.339989
408,147,1727467995.344317
406,147,1727467995.347109
403,147,1727467995.3520598
401,147,1727467995.357287
399,148,1727467995.3606899
396,148,1727467995.365695
393,148,1727467995.369084
390,148,1727467995.373358
388,148,1727467995.378274
378,149,1727467995.395574
376,149,1727467995.399793
370,149,1727467995.407006
367,150,1727467995.411828
365,150,1727467995.414925
360,150,1727467995.424216
357,151,1727467995.428417
354,151,1727467995.430586
349,151,1727467995.439924
346,151,1727467995.4455512
339,152,1727467995.4599838
336,152,1727467995.461411
334,152,1727467995.4655511
330,152,1727467995.468137
328,153,1727467995.473567
325,153,1727467995.478959
323,153,1727467995.4806368
318,153,1727467995.494306
316,153,1727467995.495589
313,153,1727467995.49758
307,154,1727467995.50719
303,154,1727467995.513568
298,154,1727467995.523849
295,154,1727467995.529516
293,154,1727467995.532861
288,154,1727467995.540473
286,154,1727467995.544367
283,154,1727467995.547447
279,154,1727467995.556938
276,154,1727467995.561385
275,154,1727467995.563943
270,154,1727467995.576313
267,154,1727467995.5787039
264,154,1727467995.5804522
260,154,1727467995.590585
258,154,1727467995.595232
256,154,1727467995.598049
252,153,1727467995.6070578
250,153,1727467995.6118772
247,153,1727467995.617961
242,153,1727467995.624595
240,153,1727467995.627284
238,153,1727467995.631474
234,153,1727467995.640531
233,153,1727467995.645174
231,153,1727467995.647694
226,153,1727467995.658287
224,153,1727467995.661352
222,153,1727467995.664414
217,153,1727467995.676836
216,153,1727467995.6779141
214,153,1727467995.6806002
210,153,1727467995.690513
209,153,1727467995.6953988
206,153,1727467995.697908
202,153,1727467995.7091908
199,153,1727467995.7121038
198,153,1727467995.7139032
194,153,1727467995.7238212
192,153,1727467995.730767
191,153,1727467995.7311842
187,153,1727467995.7403
186,153,1727467995.745026
183,153,1727467995.748203
180,153,1727467995.758996
178,153,1727467995.7617018
176,153,1727467995.76438
173,153,1727467995.7769659
172,153,1727467995.778476
170,153,1727467995.780701
168,153,1727467995.79042
166,153,1727467995.79465
165,153,1727467995.79986
162,153,1727467995.809612
161,153,1727467995.812161
160,153,1727467995.814096
157,153,1727467995.82385
156,154,1727467995.831701
155,154,1727467995.842334
154,154,1727467995.8474162
153,154,1727467995.8615391
154,153,1727467995.898986
