x,y,time
254,174,1727467924.9633
253,174,1727467924.968998
253,173,1727467924.9776719
252,173,1727467924.9913862
252,174,1727467925.0728698
252,175,1727467925.080225
253,177,1727467925.093305
253,178,1727467925.09627
253,179,1727467925.0990899
253,181,1727467925.1107352
253,182,1727467925.1143029
253,184,1727467925.11556
253,185,1727467925.12381
253,187,1727467925.124406
252,195,1727467925.1432269
252,197,1727467925.147489
252,199,1727467925.1503592
252,202,1727467925.156938
252,205,1727467925.158704
252,207,1727467925.162526
252,210,1727467925.1666791
252,216,1727467925.1751628
252,218,1727467925.179838
252,222,1727467925.182421
252,227,1727467925.192234
252,240,1727467925.209867
252,243,1727467925.214308
252,247,1727467925.21663
252,250,1727467925.2239249
252,254,1727467925.224585
252,257,1727467925.230897
252,262,1727467925.2335758
251,268,1727467925.241929
251,272,1727467925.24667
251,276,1727467925.249107
251,284,1727467925.259871
251,288,1727467925.2635589
251,292,1727467925.266689
251,295,1727467925.2737339
251,299,1727467925.274719
250,302,1727467925.2802181
250,306,1727467925.282518
250,309,1727467925.29037
250,312,1727467925.291518
250,315,1727467925.296868
250,319,1727467925.2984881
250,322,1727467925.307682
250,325,1727467925.30821
250,328,1727467925.3125901
250,330,1727467925.316226
250,333,1727467925.32381
250,336,1727467925.3244648
250,339,1727467925.330205
250,342,1727467925.332185
250,344,1727467925.340416
250,346,1727467925.341524
251,348,1727467925.347105
251,350,1727467925.3497112
251,352,1727467925.3579662
251,354,1727467925.358332
251,356,1727467925.3634639
251,358,1727467925.365772
251,360,1727467925.3739789
251,361,1727467925.374369
251,363,1727467925.379384
252,365,1727467925.385545
252,366,1727467925.3902469
252,367,1727467925.390636
252,369,1727467925.397402
252,370,1727467925.399584
252,373,1727467925.410964
252,374,1727467925.411972
252,375,1727467925.416407
252,376,1727467925.425889
252,377,1727467925.431819
252,378,1727467925.4407198
253,378,1727467925.516097
254,378,1727467925.5437
255,378,1727467925.5497758
256,378,1727467925.557295
257,378,1727467925.563432
258,378,1727467925.566256
259,378,1727467925.5769012
260,378,1727467925.582665
263,379,1727467925.591532
264,379,1727467925.5960782
265,379,1727467925.601377
268,379,1727467925.6085792
270,380,1727467925.61266
271,380,1727467925.615333
273,380,1727467925.622869
275,380,1727467925.624853
277,381,1727467925.629772
278,381,1727467925.634497
281,381,1727467925.642914
283,381,1727467925.6464021
285,382,1727467925.648879
292,382,1727467925.664958
294,382,1727467925.667302
295,382,1727467925.6733172
298,382,1727467925.675348
300,382,1727467925.680127
301,382,1727467925.6827562
306,383,1727467925.6919549
308,383,1727467925.696335
311,383,1727467925.7000802
316,383,1727467925.709522
318,383,1727467925.71283
320,383,1727467925.715828
325,383,1727467925.727296
326,383,1727467925.73027
329,383,1727467925.734702
331,383,1727467925.7403479
334,383,1727467925.741067
340,383,1727467925.749974
343,383,1727467925.759468
346,382,1727467925.76293
348,382,1727467925.767474
350,382,1727467925.7739441
353,382,1727467925.777826
355,382,1727467925.779778
358,382,1727467925.7863429
362,382,1727467925.791709
365,382,1727467925.796312
367,382,1727467925.79879
372,382,1727467925.808531
374,382,1727467925.813517
378,382,1727467925.8159611
383,382,1727467925.825867
385,382,1727467925.830282
387,382,1727467925.8326678
391,382,1727467925.842091
395,382,1727467925.84689
397,382,1727467925.851271
400,382,1727467925.857076
403,382,1727467925.8587651
408,381,1727467925.866143
409,381,1727467925.873754
413,381,1727467925.8750012
415,381,1727467925.88236
418,381,1727467925.883775
421,380,1727467925.8894022
423,380,1727467925.8912718
426,380,1727467925.897206
428,380,1727467925.89936
430,380,1727467925.905887
432,380,1727467925.908193
434,380,1727467925.9140239
437,380,1727467925.917109
443,380,1727467925.925313
445,380,1727467925.93037
447,380,1727467925.934397
451,380,1727467925.942932
453,380,1727467925.946608
455,380,1727467925.949353
457,380,1727467925.9562838
460,380,1727467925.9576871
462,380,1727467925.963231
464,380,1727467925.966304
467,380,1727467925.972884
468,380,1727467925.9752908
470,380,1727467925.9796638
472,380,1727467925.983398
475,380,1727467925.992526
477,380,1727467925.998386
479,379,1727467926.0010922
482,379,1727467926.010713
484,379,1727467926.013236
485,379,1727467926.016737
487,379,1727467926.024317
488,379,1727467926.025101
489,379,1727467926.029953
491,379,1727467926.0324259
492,379,1727467926.0423281
493,379,1727467926.046401
494,379,1727467926.049504
495,379,1727467926.057617
496,379,1727467926.0582669
497,379,1727467926.0628421
497,378,1727467926.0667698
498,378,1727467926.0760598
499,378,1727467926.080044
500,378,1727467926.0911
501,378,1727467926.096619
502,378,1727467926.099957
503,378,1727467926.116965
503,377,1727467926.131008
503,376,1727467926.146704
