x,y,time
264,199,1727468032.427129
263,199,1727468032.432398
262,199,1727468032.4355168
261,200,1727468032.4438741
260,201,1727468032.458038
259,201,1727468032.460114
259,202,1727468032.490138
260,202,1727468032.494121
261,202,1727468032.499008
262,202,1727468032.507286
263,201,1727468032.51024
264,201,1727468032.515372
265,201,1727468032.524238
267,201,1727468032.527393
268,201,1727468032.532598
270,201,1727468032.540544
271,201,1727468032.541159
273,202,1727468032.543318
274,202,1727468032.549957
276,202,1727468032.557037
277,202,1727468032.558163
280,203,1727468032.559826
281,203,1727468032.56568
286,204,1727468032.57409
289,204,1727468032.577384
292,204,1727468032.581491
295,204,1727468032.590255
299,204,1727468032.590663
301,204,1727468032.593285
305,204,1727468032.598943
307,204,1727468032.601585
316,204,1727468032.6122692
319,204,1727468032.6160672
325,204,1727468032.623772
329,204,1727468032.627688
333,204,1727468032.6322591
341,204,1727468032.6420548
345,204,1727468032.6436448
348,205,1727468032.6488872
352,205,1727468032.652137
357,205,1727468032.659078
361,205,1727468032.6608288
365,205,1727468032.668416
369,205,1727468032.673503
377,205,1727468032.678336
382,204,1727468032.6830258
386,204,1727468032.6900601
390,204,1727468032.6904461
394,203,1727468032.6942332
398,203,1727468032.7009122
402,203,1727468032.7069561
407,202,1727468032.707382
411,202,1727468032.7106361
414,202,1727468032.718125
418,202,1727468032.723399
422,201,1727468032.7238421
426,201,1727468032.727773
431,201,1727468032.732161
433,201,1727468032.740153
437,201,1727468032.741683
440,201,1727468032.743627
444,201,1727468032.750441
448,201,1727468032.756876
451,201,1727468032.757306
454,201,1727468032.7604868
456,201,1727468032.7665129
460,201,1727468032.773869
463,200,1727468032.7746692
466,200,1727468032.777102
469,200,1727468032.782485
472,200,1727468032.7903512
474,199,1727468032.790762
477,199,1727468032.793895
479,198,1727468032.798953
481,198,1727468032.8063629
484,198,1727468032.8086028
486,197,1727468032.810478
487,197,1727468032.8151581
491,196,1727468032.823955
492,196,1727468032.8273358
494,196,1727468032.8325891
496,196,1727468032.8434932
497,196,1727468032.848871
