x,y,time
277,194,1727468014.563755
276,194,1727468014.577475
276,195,1727468014.605823
276,196,1727468014.644691
276,197,1727468014.6576838
277,197,1727468014.660514
277,198,1727468014.664619
277,199,1727468014.6666481
277,200,1727468014.672477
277,201,1727468014.675563
277,202,1727468014.680214
277,204,1727468014.6828952
277,205,1727468014.689466
277,207,1727468014.694358
277,209,1727468014.696518
276,212,1727468014.701597
276,214,1727468014.7058592
276,217,1727468014.708846
276,220,1727468014.713435
275,223,1727468014.717698
274,229,1727468014.7283351
274,232,1727468014.73063
274,235,1727468014.732793
273,238,1727468014.741683
273,241,1727468014.74211
273,244,1727468014.746218
272,247,1727468014.752197
272,250,1727468014.7571
271,254,1727468014.7582898
271,256,1727468014.7638102
271,259,1727468014.766389
271,261,1727468014.773358
270,264,1727468014.775872
270,274,1727468014.7949162
270,276,1727468014.79756
269,279,1727468014.80003
269,281,1727468014.806646
269,283,1727468014.8090649
269,285,1727468014.817903
268,288,1727468014.825065
268,290,1727468014.825697
268,291,1727468014.830536
268,293,1727468014.8330162
268,294,1727468014.842468
268,296,1727468014.860306
268,297,1727468014.9894989
269,297,1727468015.0101619
269,298,1727468015.024052
270,298,1727468015.027136
270,299,1727468015.034954
271,299,1727468015.041397
272,300,1727468015.048682
273,301,1727468015.050739
274,302,1727468015.0588071
275,303,1727468015.063582
276,304,1727468015.067508
276,305,1727468015.073807
277,306,1727468015.075744
279,307,1727468015.081194
280,308,1727468015.083872
281,309,1727468015.092078
281,310,1727468015.092679
282,311,1727468015.096823
284,312,1727468015.100467
285,313,1727468015.107137
286,314,1727468015.109362
288,315,1727468015.117547
288,316,1727468015.118037
290,317,1727468015.124841
291,318,1727468015.125839
293,319,1727468015.130367
294,320,1727468015.133528
295,321,1727468015.140417
297,322,1727468015.141976
298,322,1727468015.150451
300,323,1727468015.151726
300,324,1727468015.157065
302,325,1727468015.159189
303,326,1727468015.163004
304,327,1727468015.17313
305,328,1727468015.1737778
306,329,1727468015.175817
308,330,1727468015.180942
309,331,1727468015.184982
311,331,1727468015.1903832
312,332,1727468015.192587
314,333,1727468015.1974049
316,333,1727468015.201102
318,334,1727468015.208478
319,335,1727468015.2097018
321,335,1727468015.213652
322,336,1727468015.217725
324,337,1727468015.227128
325,338,1727468015.230913
327,338,1727468015.234216
329,339,1727468015.240352
330,340,1727468015.243026
331,340,1727468015.2473888
