x,y,time
494,169,1727462473.02629
492,168,1727462473.032415
489,165,1727462473.0420601
487,163,1727462473.0428731
485,162,1727462473.0478332
483,161,1727462473.052465
482,160,1727462473.055917
480,159,1727462473.059423
478,157,1727462473.064585
476,156,1727462473.06955
473,154,1727462473.073758
471,152,1727462473.075518
467,152,1727462473.08115
464,151,1727462473.086237
460,150,1727462473.089269
457,149,1727462473.092509
453,148,1727462473.097867
448,148,1727462473.103786
444,148,1727462473.106549
439,148,1727462473.1088939
433,148,1727462473.114683
428,149,1727462473.1218529
421,150,1727462473.1223838
415,151,1727462473.1267672
402,155,1727462473.136391
396,158,1727462473.1394088
389,161,1727462473.1427999
374,168,1727462473.1528478
369,172,1727462473.156616
362,177,1727462473.159513
355,182,1727462473.164583
348,187,1727462473.169675
342,192,1727462473.173367
335,198,1727462473.1762
330,204,1727462473.181035
324,210,1727462473.186391
318,217,1727462473.190016
312,224,1727462473.192848
303,241,1727462473.202998
298,250,1727462473.2067719
292,260,1727462473.2093801
289,269,1727462473.214578
285,279,1727462473.2196941
283,289,1727462473.222881
280,297,1727462473.2265868
278,315,1727462473.236329
278,324,1727462473.23956
278,333,1727462473.24277
280,342,1727462473.2475562
283,350,1727462473.252896
286,358,1727462473.257471
289,366,1727462473.259965
293,373,1727462473.2645602
298,379,1727462473.269808
305,385,1727462473.273909
310,390,1727462473.2761998
323,398,1727462473.286379
330,401,1727462473.291015
336,403,1727462473.292852
344,406,1727462473.2979908
350,407,1727462473.303041
357,409,1727462473.306474
364,410,1727462473.309472
372,410,1727462473.314516
380,411,1727462473.3197289
387,411,1727462473.323936
394,411,1727462473.326627
410,408,1727462473.336388
417,407,1727462473.340348
437,401,1727462473.3528588
444,398,1727462473.356089
451,396,1727462473.362562
457,393,1727462473.364625
462,390,1727462473.369463
467,387,1727462473.373439
473,384,1727462473.3759181
482,378,1727462473.386376
486,375,1727462473.389251
491,372,1727462473.392282
494,369,1727462473.397624
498,367,1727462473.402925
505,361,1727462473.420434
