x,y,time
308,176,1727462358.670445
308,175,1727462358.690254
308,174,1727462358.7024798
308,173,1727462358.744097
309,173,1727462358.7512472
310,173,1727462358.758207
310,172,1727462358.7604291
311,172,1727462358.774532
312,171,1727462358.7779
312,170,1727462358.786127
313,170,1727462358.7913542
314,170,1727462358.794256
314,169,1727462358.802192
315,169,1727462358.803066
316,169,1727462358.8075168
317,168,1727462358.81132
318,168,1727462358.818512
319,168,1727462358.819829
320,167,1727462358.824237
321,167,1727462358.827965
322,167,1727462358.835232
323,167,1727462358.836292
324,167,1727462358.841332
325,167,1727462358.844481
326,167,1727462358.8517919
326,166,1727462358.852905
328,166,1727462358.857892
330,166,1727462358.868896
331,166,1727462358.8748832
332,166,1727462358.877811
333,166,1727462358.8871691
334,166,1727462358.890781
335,166,1727462358.894458
337,166,1727462358.9036229
339,166,1727462358.9111192
341,166,1727462358.9192278
342,167,1727462358.9253209
344,167,1727462358.927933
346,167,1727462358.937108
347,167,1727462358.9414568
348,168,1727462358.9441211
349,168,1727462358.953023
350,168,1727462358.954139
351,169,1727462358.957964
353,170,1727462358.969686
354,170,1727462358.974841
355,171,1727462358.97766
356,172,1727462358.9868228
357,173,1727462358.9905028
358,173,1727462358.9938948
358,174,1727462359.001869
360,174,1727462359.0025961
360,175,1727462359.007794
362,176,1727462359.010646
362,177,1727462359.018909
364,178,1727462359.0199308
364,179,1727462359.024747
365,180,1727462359.028113
366,180,1727462359.03547
367,181,1727462359.0363379
367,182,1727462359.041569
368,183,1727462359.044321
369,184,1727462359.0521758
369,185,1727462359.059598
370,185,1727462359.059941
371,186,1727462359.062059
371,187,1727462359.069345
371,188,1727462359.070111
371,189,1727462359.075583
372,190,1727462359.0800982
373,191,1727462359.085952
373,192,1727462359.087109
373,194,1727462359.091584
373,195,1727462359.094665
374,197,1727462359.1063528
374,199,1727462359.108083
374,200,1727462359.110966
374,204,1727462359.1280751
374,205,1727462359.128955
375,208,1727462359.137856
375,210,1727462359.1419652
375,214,1727462359.154125
375,215,1727462359.1589491
375,217,1727462359.161692
375,218,1727462359.169502
375,220,1727462359.16992
375,221,1727462359.1753411
375,223,1727462359.1783009
375,226,1727462359.1895318
374,227,1727462359.191784
374,228,1727462359.1945071
373,231,1727462359.203038
373,232,1727462359.2097259
373,234,1727462359.211
373,235,1727462359.2196639
372,236,1727462359.220076
371,238,1727462359.226345
371,239,1727462359.228338
369,243,1727462359.2388322
369,244,1727462359.242472
367,245,1727462359.244908
367,247,1727462359.253064
366,248,1727462359.253633
364,249,1727462359.2582011
363,251,1727462359.264283
360,253,1727462359.2700212
358,254,1727462359.276101
357,255,1727462359.2777832
355,257,1727462359.285107
353,258,1727462359.2877629
351,259,1727462359.2918668
351,260,1727462359.295719
347,262,1727462359.303547
346,262,1727462359.307939
344,263,1727462359.311056
339,264,1727462359.322089
337,265,1727462359.324539
335,265,1727462359.327502
333,266,1727462359.335432
331,266,1727462359.336712
330,266,1727462359.3420491
328,266,1727462359.344646
326,266,1727462359.352546
324,267,1727462359.35389
323,267,1727462359.358304
321,267,1727462359.36163
319,267,1727462359.370528
317,267,1727462359.3710458
316,267,1727462359.3750231
314,267,1727462359.3792572
310,267,1727462359.3884852
308,266,1727462359.39604
306,266,1727462359.406336
305,265,1727462359.408588
303,265,1727462359.411499
303,264,1727462359.419463
301,263,1727462359.4201002
300,262,1727462359.426379
299,261,1727462359.427667
296,258,1727462359.439361
295,257,1727462359.441644
294,255,1727462359.444885
292,254,1727462359.452791
291,252,1727462359.4540632
290,251,1727462359.4587672
289,249,1727462359.462722
289,247,1727462359.471402
288,246,1727462359.475221
288,245,1727462359.478858
287,243,1727462359.4865952
287,242,1727462359.493045
287,241,1727462359.498533
287,240,1727462359.502669
287,239,1727462359.503299
287,237,1727462359.508831
287,236,1727462359.5121112
287,234,1727462359.519414
287,232,1727462359.51981
287,230,1727462359.526297
287,228,1727462359.528382
287,224,1727462359.538549
288,223,1727462359.541889
288,221,1727462359.544487
289,217,1727462359.554352
289,215,1727462359.558122
290,213,1727462359.5612512
291,209,1727462359.571458
294,203,1727462359.587522
294,202,1727462359.5940201
294,201,1727462359.5972
295,199,1727462359.602817
296,198,1727462359.605369
296,197,1727462359.6077282
297,196,1727462359.6110919
298,194,1727462359.621093
299,192,1727462359.625294
299,191,1727462359.628153
301,189,1727462359.638394
303,185,1727462359.658248
303,184,1727462359.661358
303,183,1727462359.67156
304,182,1727462359.67589
305,182,1727462359.6864798
305,181,1727462359.686904
305,180,1727462359.706104
305,179,1727462359.729831
306,179,1727462359.7375739
306,178,1727462359.7562938
306,177,1727462359.787862
307,177,1727462359.88704
308,177,1727462360.139522
