x,y,time
228,208,1727462416.573132
227,208,1727462416.5776498
226,208,1727462416.5919008
228,208,1727462416.621124
230,208,1727462416.639012
232,208,1727462416.644556
233,208,1727462416.653944
235,207,1727462416.6587038
236,207,1727462416.6604958
238,207,1727462416.670468
239,207,1727462416.6741009
240,207,1727462416.678101
243,206,1727462416.686357
244,206,1727462416.691391
246,206,1727462416.694125
248,205,1727462416.702913
250,205,1727462416.7075908
253,205,1727462416.710755
257,204,1727462416.7222981
262,204,1727462416.728792
268,203,1727462416.736126
271,202,1727462416.7416708
273,202,1727462416.743896
280,201,1727462416.753222
283,201,1727462416.757834
286,201,1727462416.763144
291,200,1727462416.773345
294,200,1727462416.7742898
297,200,1727462416.777475
301,199,1727462416.7859101
307,199,1727462416.7939808
310,199,1727462416.794389
312,199,1727462416.802957
315,199,1727462416.804001
319,199,1727462416.807638
322,199,1727462416.809771
328,199,1727462416.821412
331,199,1727462416.8241851
334,199,1727462416.8270001
341,199,1727462416.839253
344,199,1727462416.841277
348,199,1727462416.843691
351,199,1727462416.8547788
353,199,1727462416.855325
357,199,1727462416.8570628
360,199,1727462416.860097
368,199,1727462416.870062
371,199,1727462416.87446
374,199,1727462416.879324
382,199,1727462416.88658
385,199,1727462416.891455
389,199,1727462416.8941061
397,198,1727462416.906016
401,198,1727462416.9076679
405,198,1727462416.9124532
412,198,1727462416.919914
417,198,1727462416.9254808
420,197,1727462416.928556
428,197,1727462416.941616
432,197,1727462416.942025
435,197,1727462416.9434109
442,196,1727462416.952935
446,196,1727462416.958334
449,196,1727462416.9606552
453,196,1727462416.96946
456,196,1727462416.96987
460,196,1727462416.973999
462,196,1727462416.978178
469,195,1727462416.989365
473,195,1727462416.990912
476,195,1727462416.996576
482,194,1727462417.003184
486,193,1727462417.008378
489,193,1727462417.010855
496,192,1727462417.020576
499,191,1727462417.0243158
501,191,1727462417.0276768
507,190,1727462417.039039
510,190,1727462417.0406559
512,190,1727462417.0435672
515,189,1727462417.0529761
518,189,1727462417.053621
520,189,1727462417.059247
522,189,1727462417.061273
526,189,1727462417.0702112
527,189,1727462417.0749161
529,188,1727462417.078984
532,188,1727462417.088794
535,188,1727462417.090961
537,188,1727462417.0936441
540,188,1727462417.102705
541,188,1727462417.108375
542,187,1727462417.1111429
544,187,1727462417.123803
546,187,1727462417.124803
548,187,1727462417.1364381
549,187,1727462417.144903
550,187,1727462417.153273
551,187,1727462417.157894
552,187,1727462417.169846
553,187,1727462417.179401
554,187,1727462417.191315
555,187,1727462417.203038
556,187,1727462417.223536
557,187,1727462417.227286
556,185,1727462417.323893
