x,y,time
204,134,1727462508.296961
203,134,1727462508.3044531
202,134,1727462508.31339
203,134,1727462508.3444228
204,134,1727462508.353371
205,134,1727462508.356792
207,134,1727462508.360109
208,133,1727462508.363381
210,133,1727462508.369529
212,133,1727462508.3715131
214,132,1727462508.377471
217,132,1727462508.378994
219,131,1727462508.386383
221,130,1727462508.388066
224,130,1727462508.393157
227,129,1727462508.3965068
230,128,1727462508.40288
235,127,1727462508.4052532
239,126,1727462508.409621
242,126,1727462508.413122
246,125,1727462508.419703
251,124,1727462508.420647
255,124,1727462508.4267662
261,123,1727462508.4296489
266,123,1727462508.4361322
270,122,1727462508.438112
275,122,1727462508.443069
280,121,1727462508.445732
287,120,1727462508.452319
292,120,1727462508.454807
298,119,1727462508.4596748
305,118,1727462508.46315
324,115,1727462508.4762628
332,114,1727462508.479042
339,113,1727462508.484983
346,112,1727462508.488945
353,111,1727462508.492377
360,110,1727462508.496782
368,109,1727462508.50309
376,107,1727462508.504183
382,106,1727462508.509116
390,105,1727462508.513047
396,104,1727462508.5189528
404,103,1727462508.5214841
412,102,1727462508.526242
419,102,1727462508.530004
433,101,1727462508.5411258
439,101,1727462508.543016
446,100,1727462508.547046
454,100,1727462508.552385
462,100,1727462508.5543208
467,100,1727462508.561533
475,100,1727462508.562569
481,100,1727462508.5692108
487,100,1727462508.571587
494,100,1727462508.5769029
501,100,1727462508.5797381
507,100,1727462508.58588
513,100,1727462508.587828
519,100,1727462508.5933728
526,100,1727462508.596454
532,100,1727462508.602898
538,99,1727462508.6064682
544,99,1727462508.609494
549,99,1727462508.613641
555,98,1727462508.6194618
561,98,1727462508.622112
566,97,1727462508.6266031
571,97,1727462508.630165
575,97,1727462508.636269
580,97,1727462508.638229
585,96,1727462508.643434
589,96,1727462508.6463091
592,96,1727462508.652883
596,96,1727462508.6547189
600,96,1727462508.659959
603,96,1727462508.6639428
609,97,1727462508.671756
612,97,1727462508.6778371
614,97,1727462508.680223
616,97,1727462508.6862059
619,97,1727462508.688895
622,97,1727462508.6931462
625,97,1727462508.696738
627,97,1727462508.702482
629,97,1727462508.704368
630,97,1727462508.710888
632,96,1727462508.71235
634,96,1727462508.719174
635,96,1727462508.721259
637,96,1727462508.7263958
639,96,1727462508.7361479
641,96,1727462508.743804
642,96,1727462508.754786
642,97,1727462508.76322
643,97,1727462508.771192
644,97,1727462508.776384
644,98,1727462508.788416
645,98,1727462508.804652
646,99,1727462508.819534
646,100,1727462508.843204
647,101,1727462508.8716958
648,101,1727462508.879515
648,102,1727462508.893625
649,102,1727462508.916213
649,103,1727462508.926089
650,103,1727462508.931892
650,104,1727462508.9482172
651,104,1727462508.954653
651,105,1727462508.960192
651,106,1727462508.978463
651,107,1727462508.979558
651,108,1727462508.987676
651,109,1727462508.9888158
651,112,1727462509.0031328
652,113,1727462509.0075321
652,115,1727462509.013269
652,116,1727462509.014817
652,118,1727462509.0196
652,120,1727462509.0218282
652,122,1727462509.026401
652,125,1727462509.031554
651,127,1727462509.036097
651,130,1727462509.038264
651,133,1727462509.044205
651,136,1727462509.0462358
650,138,1727462509.0532942
650,141,1727462509.054497
649,151,1727462509.073666
648,155,1727462509.074073
648,158,1727462509.07587
648,161,1727462509.079288
648,165,1727462509.086256
648,168,1727462509.088526
648,172,1727462509.093485
648,176,1727462509.096368
648,180,1727462509.102867
648,183,1727462509.104846
648,187,1727462509.10956
648,190,1727462509.11549
648,193,1727462509.1203609
648,197,1727462509.121761
648,200,1727462509.1271198
648,203,1727462509.132222
648,207,1727462509.136887
648,210,1727462509.138417
648,213,1727462509.143206
648,218,1727462509.146574
648,224,1727462509.154738
648,228,1727462509.1605198
648,231,1727462509.168787
648,235,1727462509.169438
648,238,1727462509.171838
648,242,1727462509.17666
648,245,1727462509.179971
648,249,1727462509.187828
648,252,1727462509.188956
648,256,1727462509.193413
648,260,1727462509.196694
648,264,1727462509.204612
648,268,1727462509.205575
649,272,1727462509.2098298
649,276,1727462509.213572
649,280,1727462509.219491
649,284,1727462509.2225122
650,288,1727462509.226938
650,291,1727462509.232136
650,294,1727462509.2365382
650,298,1727462509.2381299
650,301,1727462509.243658
650,304,1727462509.252102
650,307,1727462509.253021
650,310,1727462509.255862
650,313,1727462509.259988
651,315,1727462509.263638
651,318,1727462509.270114
651,321,1727462509.2718651
651,323,1727462509.2806458
651,326,1727462509.281139
651,328,1727462509.28644
651,330,1727462509.288456
651,332,1727462509.2952042
651,333,1727462509.296355
650,336,1727462509.306783
650,337,1727462509.310339
650,338,1727462509.312855
650,340,1727462509.3195672
649,341,1727462509.32209
649,342,1727462509.3273149
648,343,1727462509.3295739
648,345,1727462509.339066
647,346,1727462509.343221
647,347,1727462509.3467462
646,347,1727462509.353017
646,348,1727462509.355445
646,349,1727462509.3631082
645,349,1727462509.369525
644,349,1727462509.3767989
644,350,1727462509.386306
644,351,1727462509.4106638
644,352,1727462509.430741
644,353,1727462509.4737332
643,353,1727462509.502989
642,353,1727462509.526994
641,353,1727462509.539121
640,353,1727462509.547413
639,353,1727462509.5531409
638,353,1727462509.5605829
637,353,1727462509.563105
635,352,1727462509.571829
634,352,1727462509.5805619
631,351,1727462509.588757
628,351,1727462509.5978088
626,350,1727462509.6059551
625,350,1727462509.610225
623,350,1727462509.6153972
621,350,1727462509.6196449
619,350,1727462509.6220002
616,350,1727462509.626745
614,349,1727462509.630194
609,349,1727462509.63884
607,349,1727462509.642952
604,349,1727462509.6464598
601,349,1727462509.6542258
598,349,1727462509.655493
595,349,1727462509.661039
591,349,1727462509.6687129
589,349,1727462509.670502
586,349,1727462509.67178
583,349,1727462509.676617
580,349,1727462509.680606
576,349,1727462509.6865711
573,349,1727462509.688799
569,350,1727462509.693272
566,350,1727462509.6969368
563,350,1727462509.7050948
560,350,1727462509.7055051
555,351,1727462509.709501
551,352,1727462509.7136252
548,352,1727462509.721395
544,353,1727462509.722296
541,354,1727462509.726722
537,355,1727462509.729965
532,356,1727462509.7371368
528,356,1727462509.7385721
525,357,1727462509.743797
521,357,1727462509.747138
517,357,1727462509.7545311
514,357,1727462509.755284
508,358,1727462509.760454
505,358,1727462509.763927
501,358,1727462509.77059
497,357,1727462509.773129
492,357,1727462509.777013
489,357,1727462509.780138
483,356,1727462509.787804
480,356,1727462509.7902431
476,356,1727462509.794231
472,356,1727462509.796706
467,355,1727462509.803065
463,355,1727462509.8057349
458,355,1727462509.810024
455,355,1727462509.819202
451,355,1727462509.819911
446,355,1727462509.822318
441,356,1727462509.8271308
436,356,1727462509.835522
431,356,1727462509.836131
426,356,1727462509.838649
421,356,1727462509.8442812
417,356,1727462509.8486888
412,356,1727462509.8530822
407,356,1727462509.857003
401,355,1727462509.860975
396,355,1727462509.863241
387,354,1727462509.872684
