x,y,time
267,162,1727462488.621741
266,162,1727462488.644203
267,162,1727462488.681768
268,162,1727462488.6897001
269,162,1727462488.6942232
271,162,1727462488.6981041
273,162,1727462488.703309
276,162,1727462488.707145
279,161,1727462488.709277
285,161,1727462488.719722
289,161,1727462488.724046
292,160,1727462488.726531
301,160,1727462488.736542
306,160,1727462488.741162
310,159,1727462488.742929
320,159,1727462488.753118
326,159,1727462488.757689
330,158,1727462488.7596622
335,158,1727462488.764727
340,158,1727462488.7697558
346,157,1727462488.7739258
351,157,1727462488.776623
362,157,1727462488.786294
369,156,1727462488.790539
374,156,1727462488.793369
386,155,1727462488.803044
397,155,1727462488.809412
410,155,1727462488.819833
416,155,1727462488.824437
422,155,1727462488.827698
428,155,1727462488.83131
434,155,1727462488.836434
440,155,1727462488.839854
446,154,1727462488.843661
459,154,1727462488.853198
464,154,1727462488.8575559
471,154,1727462488.861065
482,154,1727462488.869628
488,153,1727462488.874658
494,153,1727462488.876996
505,152,1727462488.885633
510,152,1727462488.891299
516,152,1727462488.89335
521,152,1727462488.897761
526,152,1727462488.902975
530,151,1727462488.907443
535,151,1727462488.9097931
541,151,1727462488.914598
544,151,1727462488.919733
548,151,1727462488.925514
553,150,1727462488.926919
560,150,1727462488.936059
564,150,1727462488.941036
566,150,1727462488.9432719
571,150,1727462488.955294
574,150,1727462488.957791
577,150,1727462488.9599528
580,150,1727462488.9646258
582,151,1727462488.9698172
583,151,1727462488.974106
585,151,1727462488.976831
588,151,1727462488.9863381
589,152,1727462488.991771
590,152,1727462488.993131
592,152,1727462489.002827
594,152,1727462489.009481
594,153,1727462489.02088
595,153,1727462489.023173
596,154,1727462489.028399
596,155,1727462489.054431
596,157,1727462489.079433
596,158,1727462489.0850701
596,160,1727462489.091199
596,161,1727462489.0947142
595,164,1727462489.101941
594,166,1727462489.1075258
594,168,1727462489.110681
594,173,1727462489.1186829
593,176,1727462489.125082
593,179,1727462489.1266408
592,182,1727462489.137195
592,187,1727462489.142638
591,190,1727462489.1438348
591,194,1727462489.151562
591,197,1727462489.152843
591,204,1727462489.1598248
591,211,1727462489.1722171
590,216,1727462489.173455
590,220,1727462489.1773288
590,228,1727462489.185792
590,232,1727462489.191283
590,237,1727462489.194029
591,246,1727462489.202365
591,250,1727462489.208417
591,254,1727462489.2102568
591,258,1727462489.21903
591,262,1727462489.219397
592,267,1727462489.2257652
592,270,1727462489.229888
593,277,1727462489.23691
594,281,1727462489.240969
594,286,1727462489.243307
594,297,1727462489.258667
594,301,1727462489.260503
594,311,1727462489.2705312
594,318,1727462489.2745779
594,325,1727462489.277537
593,343,1727462489.2924101
592,349,1727462489.292918
