x,y,time
330,257,1727462564.588507
330,256,1727462564.625628
330,255,1727462564.6392581
330,254,1727462564.642847
330,253,1727462564.6462631
330,252,1727462564.6537411
331,250,1727462564.654102
332,248,1727462564.6585238
333,246,1727462564.661303
333,243,1727462564.668944
335,240,1727462564.670625
337,237,1727462564.6765802
338,233,1727462564.6787908
342,225,1727462564.688437
344,221,1727462564.691519
346,217,1727462564.694437
349,208,1727462564.704045
351,204,1727462564.7083158
353,200,1727462564.712458
354,195,1727462564.719956
356,190,1727462564.720384
357,185,1727462564.7249632
360,181,1727462564.728341
362,176,1727462564.736355
365,171,1727462564.737499
367,166,1727462564.74261
370,161,1727462564.745312
373,152,1727462564.754852
376,147,1727462564.758574
378,143,1727462564.7622101
380,138,1727462564.769588
382,134,1727462564.77
385,130,1727462564.774816
387,127,1727462564.781632
390,120,1727462564.788966
392,117,1727462564.792145
393,114,1727462564.794834
395,109,1727462564.8040042
396,106,1727462564.8080919
397,104,1727462564.811383
398,101,1727462564.819669
399,98,1727462564.821109
401,96,1727462564.8252318
401,94,1727462564.828352
404,91,1727462564.8363242
405,89,1727462564.844008
406,88,1727462564.844821
407,85,1727462564.853322
407,84,1727462564.859013
408,83,1727462564.861484
408,82,1727462564.8700428
409,82,1727462564.87535
409,81,1727462564.902304
410,82,1727462564.970878
410,83,1727462564.986144
410,85,1727462564.9955258
410,86,1727462565.004877
410,87,1727462565.00846
411,88,1727462565.013242
411,90,1727462565.021541
412,91,1727462565.022052
412,93,1727462565.02487
412,94,1727462565.030567
412,96,1727462565.036272
412,98,1727462565.037627
413,101,1727462565.0419352
413,103,1727462565.0450711
414,110,1727462565.0547378
414,113,1727462565.058327
414,116,1727462565.061394
415,120,1727462565.0708952
416,123,1727462565.071302
416,126,1727462565.075558
416,129,1727462565.077972
417,136,1727462565.087992
418,152,1727462565.1045492
418,156,1727462565.108622
419,160,1727462565.111501
419,169,1727462565.123582
419,174,1727462565.124765
419,179,1727462565.128055
419,183,1727462565.135125
420,188,1727462565.13758
421,193,1727462565.1420429
421,198,1727462565.1444721
422,203,1727462565.151723
424,218,1727462565.165518
425,222,1727462565.169735
426,227,1727462565.173128
426,231,1727462565.175148
426,235,1727462565.1780632
428,240,1727462565.186472
428,245,1727462565.1880991
429,249,1727462565.191495
430,253,1727462565.1970649
430,262,1727462565.204555
432,266,1727462565.208582
432,271,1727462565.2116559
433,279,1727462565.2225559
433,284,1727462565.224967
434,288,1727462565.228138
435,298,1727462565.2388291
436,302,1727462565.24259
437,307,1727462565.245194
437,312,1727462565.2525408
437,317,1727462565.253473
438,322,1727462565.25922
439,327,1727462565.261871
439,332,1727462565.269265
440,336,1727462565.270339
441,341,1727462565.2754402
442,346,1727462565.278775
442,351,1727462565.2863429
443,355,1727462565.2870982
444,359,1727462565.2927911
444,363,1727462565.2945762
446,367,1727462565.302819
446,372,1727462565.303568
447,376,1727462565.309556
448,380,1727462565.312011
448,383,1727462565.3195982
450,386,1727462565.3199942
451,390,1727462565.325523
451,393,1727462565.3302982
453,400,1727462565.337322
453,403,1727462565.34274
455,407,1727462565.3461199
455,410,1727462565.353306
455,413,1727462565.3542871
457,416,1727462565.3584158
457,419,1727462565.361578
457,421,1727462565.36942
458,424,1727462565.370535
458,427,1727462565.375808
459,430,1727462565.378995
460,432,1727462565.3863392
460,435,1727462565.3873222
460,437,1727462565.393908
461,439,1727462565.394304
462,443,1727462565.403168
462,444,1727462565.409033
462,445,1727462565.4117491
462,446,1727462565.419564
462,447,1727462565.420765
462,448,1727462565.4250062
463,449,1727462565.4286022
463,450,1727462565.4362009
463,451,1727462565.437842
464,451,1727462565.442461
