x,y,time
519,164,1727462903.520541
516,162,1727462903.520948
513,160,1727462903.527476
510,159,1727462903.529034
506,158,1727462903.5355158
503,157,1727462903.5380101
499,156,1727462903.542287
496,155,1727462903.546926
492,153,1727462903.551548
488,152,1727462903.5552819
483,150,1727462903.5597
479,148,1727462903.562572
475,146,1727462903.5684092
470,145,1727462903.571019
464,143,1727462903.575274
460,142,1727462903.578803
454,141,1727462903.585184
448,139,1727462903.58746
442,139,1727462903.592912
436,138,1727462903.595093
430,138,1727462903.601847
423,138,1727462903.604386
416,139,1727462903.609298
408,140,1727462903.6125288
399,142,1727462903.618902
393,144,1727462903.623869
385,147,1727462903.625537
377,151,1727462903.629374
369,155,1727462903.635107
360,159,1727462903.637745
351,164,1727462903.643384
344,169,1727462903.646847
336,174,1727462903.652874
328,180,1727462903.654635
321,186,1727462903.6595771
312,192,1727462903.6620622
305,199,1727462903.670491
297,206,1727462903.671139
289,213,1727462903.675761
282,221,1727462903.678859
267,239,1727462903.688381
260,248,1727462903.692429
253,257,1727462903.6959271
247,267,1727462903.70243
242,278,1727462903.704703
236,289,1727462903.7109818
230,299,1727462903.7131321
222,322,1727462903.723685
219,334,1727462903.726358
217,346,1727462903.729068
214,358,1727462903.735038
212,371,1727462903.737947
211,381,1727462903.74277
211,391,1727462903.747062
211,402,1727462903.754209
212,412,1727462903.754774
214,421,1727462903.759288
216,430,1727462903.762579
219,437,1727462903.76995
221,444,1727462903.771575
224,451,1727462903.776005
228,458,1727462903.779179
239,470,1727462903.788897
244,477,1727462903.7930949
249,481,1727462903.795135
269,494,1727462903.8105469
276,499,1727462903.812542
283,501,1727462903.819409
289,503,1727462903.821923
296,505,1727462903.827213
303,507,1727462903.830106
311,508,1727462903.8368618
319,509,1727462903.838891
326,509,1727462903.8431711
334,509,1727462903.8463528
342,509,1727462903.852768
351,509,1727462903.85392
359,508,1727462903.8598049
368,508,1727462903.8630872
392,506,1727462903.876121
398,505,1727462903.881688
407,504,1727462903.886086
415,503,1727462903.8878222
422,503,1727462903.893298
430,502,1727462903.89562
437,502,1727462903.9045691
444,500,1727462903.905149
451,499,1727462903.909781
458,498,1727462903.918973
464,496,1727462903.919648
470,494,1727462903.921512
477,492,1727462903.928415
483,489,1727462903.929118
