x,y,time
264,113,1727462947.922163
262,113,1727462947.927231
261,114,1727462947.939577
260,114,1727462947.943834
260,115,1727462947.9627452
261,115,1727462947.972239
262,115,1727462947.977738
263,115,1727462947.979346
264,115,1727462947.986871
266,115,1727462947.988378
267,115,1727462947.993214
269,115,1727462947.9962409
271,115,1727462948.003722
273,115,1727462948.005207
285,113,1727462948.0219069
289,112,1727462948.026088
292,111,1727462948.0296042
297,110,1727462948.037475
301,109,1727462948.038353
306,107,1727462948.043086
310,106,1727462948.046032
315,105,1727462948.053597
319,104,1727462948.054433
324,103,1727462948.05999
328,103,1727462948.0626009
333,102,1727462948.071139
337,101,1727462948.072928
342,101,1727462948.0767272
347,100,1727462948.079073
351,99,1727462948.086174
356,98,1727462948.088323
361,97,1727462948.0927858
367,95,1727462948.096365
372,95,1727462948.102866
376,93,1727462948.104505
382,92,1727462948.1116989
387,91,1727462948.112415
393,89,1727462948.119456
410,84,1727462948.1310568
415,83,1727462948.136173
420,82,1727462948.137963
425,81,1727462948.1428769
432,80,1727462948.145737
437,79,1727462948.152886
441,78,1727462948.155266
446,78,1727462948.1597922
451,77,1727462948.1639411
456,76,1727462948.1694531
460,76,1727462948.1720161
464,75,1727462948.176916
469,75,1727462948.1802711
473,74,1727462948.186265
484,73,1727462948.197203
490,72,1727462948.209114
494,72,1727462948.2100952
496,71,1727462948.212957
500,70,1727462948.219458
501,70,1727462948.221951
503,70,1727462948.226403
505,70,1727462948.231657
514,69,1727462948.256052
516,69,1727462948.258292
517,69,1727462948.261025
519,69,1727462948.270598
520,69,1727462948.286172
519,69,1727462948.337088
519,70,1727462948.34723
518,70,1727462948.3549929
517,70,1727462948.359833
517,72,1727462948.3733492
516,73,1727462948.3797498
515,74,1727462948.3940842
515,75,1727462948.396651
515,76,1727462948.4028869
514,76,1727462948.405036
514,77,1727462948.4102411
514,78,1727462948.4132538
514,79,1727462948.419585
514,80,1727462948.421681
514,81,1727462948.426642
515,82,1727462948.429204
516,84,1727462948.43629
517,85,1727462948.438472
517,87,1727462948.443267
518,89,1727462948.45193
519,91,1727462948.452571
520,93,1727462948.45505
521,95,1727462948.4621298
522,98,1727462948.462868
523,101,1727462948.469578
525,103,1727462948.471767
526,106,1727462948.476824
527,108,1727462948.485151
528,111,1727462948.485961
530,114,1727462948.4881659
532,117,1727462948.494248
535,119,1727462948.496099
537,122,1727462948.503098
539,124,1727462948.5052319
541,127,1727462948.510048
544,130,1727462948.512827
546,133,1727462948.5194528
548,136,1727462948.522034
550,139,1727462948.5286322
552,142,1727462948.529551
555,145,1727462948.53615
558,149,1727462948.538381
560,152,1727462948.544099
563,155,1727462948.547848
566,158,1727462948.55252
567,162,1727462948.555506
570,165,1727462948.559767
573,169,1727462948.56264
576,172,1727462948.570932
578,176,1727462948.572042
582,180,1727462948.5769658
585,184,1727462948.5809631
590,192,1727462948.5911338
592,195,1727462948.5941288
595,199,1727462948.596756
598,203,1727462948.601985
601,207,1727462948.6078029
604,210,1727462948.609396
