x,y,time
361,167,1727583042
358,167,1727583042
357,167,1727583042
356,167,1727583042
355,167,1727583042
351,167,1727583042
350,167,1727583042
349,167,1727583042
347,167,1727583042
345,168,1727583042
344,168,1727583042
343,168,1727583042
342,169,1727583042
340,169,1727583042
338,170,1727583042
337,171,1727583042
336,172,1727583042
334,173,1727583042
332,174,1727583042
330,175,1727583042
328,177,1727583042
326,179,1727583042
324,181,1727583042
322,182,1727583042
320,185,1727583042
319,187,1727583042
317,189,1727583042
315,192,1727583042
313,194,1727583042
310,197,1727583042
308,199,1727583042
306,202,1727583042
303,205,1727583042
302,207,1727583042
300,210,1727583042
298,213,1727583042
297,216,1727583042
296,219,1727583042
294,221,1727583042
292,223,1727583042
290,226,1727583042
289,229,1727583042
288,232,1727583042
285,235,1727583042
284,238,1727583042
283,240,1727583042
282,243,1727583042
281,246,1727583042
280,248,1727583042
279,252,1727583042
279,255,1727583042
278,257,1727583042
278,260,1727583042
277,266,1727583042
277,269,1727583042
277,272,1727583042
277,275,1727583042
276,279,1727583042
276,282,1727583042
276,285,1727583042
276,288,1727583042
276,290,1727583042
276,293,1727583042
277,296,1727583042
277,299,1727583042
278,302,1727583042
278,305,1727583042
278,308,1727583042
279,310,1727583042
280,313,1727583042
280,316,1727583042
282,319,1727583042
283,322,1727583042
284,324,1727583042
285,327,1727583042
286,329,1727583042
291,337,1727583042
292,339,1727583042
295,342,1727583042
296,344,1727583042
297,347,1727583042
300,349,1727583042
301,352,1727583042
302,354,1727583042
304,356,1727583042
307,359,1727583042
308,361,1727583042
312,363,1727583042
314,366,1727583042
316,368,1727583042
319,369,1727583042
321,371,1727583042
324,373,1727583042
326,375,1727583042
328,376,1727583042
331,378,1727583042
334,379,1727583042
338,380,1727583042
340,381,1727583042
344,383,1727583042
346,383,1727583042
350,384,1727583042
353,385,1727583042
357,385,1727583042
361,386,1727583042
364,386,1727583042
370,386,1727583042
374,386,1727583042
379,386,1727583042
382,386,1727583042
387,386,1727583042
390,385,1727583042
394,384,1727583042
398,384,1727583042
403,383,1727583042
406,382,1727583042
410,381,1727583042
414,380,1727583042
418,379,1727583042
422,378,1727583042
426,377,1727583042
429,376,1727583042
434,374,1727583042
436,373,1727583042
440,372,1727583042
444,370,1727583042
448,369,1727583042
451,367,1727583042
454,365,1727583042
458,363,1727583042
460,362,1727583042
464,360,1727583042
468,357,1727583042
470,355,1727583042
474,352,1727583042
476,350,1727583042
478,348,1727583042
482,346,1727583042
485,343,1727583042
488,341,1727583042
491,338,1727583042
493,336,1727583042
495,333,1727583042
497,331,1727583042
500,328,1727583042
501,326,1727583042
504,323,1727583042
506,321,1727583042
508,318,1727583042
510,315,1727583042
513,310,1727583042
514,306,1727583042
515,304,1727583042
516,301,1727583042
517,298,1727583042
518,295,1727583042
520,289,1727583042
522,286,1727583042
522,284,1727583042
523,281,1727583042
524,279,1727583042
524,276,1727583042
524,273,1727583042
524,271,1727583042
524,269,1727583042
524,266,1727583042
524,264,1727583042
524,262,1727583042
523,260,1727583042
523,257,1727583042
522,255,1727583042
521,253,1727583042
520,251,1727583042
519,248,1727583042
518,246,1727583042
518,243,1727583042
517,241,1727583042
516,239,1727583042
515,237,1727583042
514,234,1727583042
513,232,1727583042
512,231,1727583042
511,229,1727583042
510,227,1727583042
508,225,1727583042
506,222,1727583042
505,221,1727583042
500,218,1727583042
499,217,1727583042
496,215,1727583042
494,214,1727583042
493,212,1727583042
492,211,1727583043
489,210,1727583043
488,208,1727583043
486,207,1727583043
480,203,1727583043
477,201,1727583043
476,200,1727583043
474,199,1727583043
471,198,1727583043
470,197,1727583043
468,196,1727583043
466,195,1727583043
464,194,1727583043
463,193,1727583043
460,192,1727583043
458,191,1727583043
456,191,1727583043
453,190,1727583043
452,190,1727583043
450,189,1727583043
447,189,1727583043
446,188,1727583043
444,188,1727583043
442,188,1727583043
440,187,1727583043
438,187,1727583043
435,187,1727583043
433,187,1727583043
432,187,1727583043
429,187,1727583043
428,187,1727583043
427,187,1727583043
425,187,1727583043
423,187,1727583043
421,187,1727583043
419,187,1727583043
417,187,1727583043
416,187,1727583043
414,187,1727583043
412,187,1727583043
410,188,1727583043
409,188,1727583043
408,188,1727583043
406,188,1727583043
405,189,1727583043
404,189,1727583043
403,189,1727583043
402,189,1727583043
400,190,1727583043
399,190,1727583043
398,190,1727583043
397,190,1727583043
396,190,1727583043
396,189,1727583043
397,189,1727583043
398,188,1727583043
